id,_name,elemental_type,skill_type,skill_category,skill_target_type,hit_count,cooldown
210000,공격 강화,Normal,Buff,AttackBuff,Self,1,25
_210001,공격 강화(전체),Normal,Buff,AttackBuff,Ally,1,1 // 미구현
210002,공격 약화,Normal,Debuff,AttackBuff,Enemy,1,10
210003,공격 약화(전체),Normal,Debuff,AttackBuff,Enemies,1,10
210004,공격 강화,Normal,Buff,AttackBuff,Self,1,10
220000,방어 강화,Normal,Buff,DefenseBuff,Self,1,25
_220001,방어 강화(전체),Normal,Buff,DefenseBuff,Ally,1,1 // 미구현
220002,방어 약화,Normal,Debuff,DefenseBuff,Enemy,1,10
220003,방어 약화(전체),Normal,Debuff,DefenseBuff,Enemies,1,10
220004,방어 강화,Normal,Buff,DefenseBuff,Self,1,10
230000,치명 증가,Normal,Buff,CriticalBuff,Self,1,25
_230001,치명 증가(전체),Normal,Buff,CriticalBuff,Ally,1,1 // 미구현
230002,치명 감소,Normal,Debuff,CriticalBuff,Enemy,1,10
230003,치명 감소(전체),Normal,Debuff,CriticalBuff,Enemies,1,10
230004,치명 증가,Normal,Buff,CriticalBuff,Self,1,10
240000,명중 증가,Normal,Buff,HitBuff,Self,1,25
_240001,명중 증가(전체),Normal,Buff,HitBuff,Ally,1,1 // 미구현
240002,명중 감소,Normal,Debuff,HitBuff,Enemy,1,10
240003,명중 감소(전체),Normal,Debuff,HitBuff,Enemies,1,10
240004,명중 증가,Normal,Buff,HitBuff,Self,1,10
250000,속도 증가,Normal,Buff,SpeedBuff,Self,1,25
_250001,속도 증가(전체),Normal,Buff,SpeedBuff,Ally,1,1 // 미구현
250002,속도 감소,Normal,Debuff,SpeedBuff,Enemy,1,10
250003,속도 감소(전체),Normal,Debuff,SpeedBuff,Enemies,1,10
250004,속도 증가,Normal,Buff,SpeedBuff,Self,1,10
300000,힐,Normal,Heal,Heal,Self,1,10
_300001,힐(전체),Normal,Heal,Heal,Ally,1,1 // 미구현
400000,SS 올스텟,Normal,Buff,Buff,Self,1,999
400001,SS 공격 치명,Normal,Buff,AttackBuff,Self,1,999
400002,SS 방어 치명,Normal,Buff,DefenseBuff,Self,1,999
400003,SS 속도 치명,Normal,Buff,SpeedBuff,Self,1,999
400004,SS 명중 치명,Normal,Buff,HitBuff,Self,1,999
400005,S 올스텟,Normal,Buff,Buff,Self,1,999
400006,S 공격 치명,Normal,Buff,AttackBuff,Self,1,999
400007,S 방어 치명,Normal,Buff,DefenseBuff,Self,1,999
400008,S 속도 치명,Normal,Buff,SpeedBuff,Self,1,999
400009,S 명중 치명,Normal,Buff,HitBuff,Self,1,999
400010,S 공격 방어 치명,Normal,Buff,AttackBuff,Self,1,999
400011,S 공격 속도 치명,Normal,Buff,AttackBuff,Self,1,999
400012,S 공격 명중 치명,Normal,Buff,AttackBuff,Self,1,999
400013,S 방어 속도 치명,Normal,Buff,DefenseBuff,Self,1,999
400014,S 방어 명중 치명,Normal,Buff,DefenseBuff,Self,1,999
400015,A 올스텟,Normal,Buff,Buff,Self,1,999
400016,A 공격,Normal,Buff,AttackBuff,Self,1,999
400017,A 방어,Normal,Buff,DefenseBuff,Self,1,999
400018,A 속도,Normal,Buff,SpeedBuff,Self,1,999
400019,A 명중,Normal,Buff,HitBuff,Self,1,999
400020,A 공격 방어,Normal,Buff,AttackBuff,Self,1,999
400021,A 공격 명중,Normal,Buff,AttackBuff,Self,1,999
400022,A 공격 속도,Normal,Buff,AttackBuff,Self,1,999
400023,A 방어 명중,Normal,Buff,DefenseBuff,Self,1,999
400024,A 방어 속도,Normal,Buff,DefenseBuff,Self,1,999
400025,A 명중 속도,Normal,Buff,HitBuff,Self,1,999
400026,A 공격 방어 명중,Normal,Buff,AttackBuff,Self,1,999
400027,A 공격 방어 속도,Normal,Buff,AttackBuff,Self,1,999
400028,A 공격 명중 속도,Normal,Buff,AttackBuff,Self,1,999
400029,A 방어 명중 속도,Normal,Buff,DefenseBuff,Self,1,999
400030,B 올스텟,Normal,Buff,Buff,Self,1,999
400031,B 공격,Normal,Buff,AttackBuff,Self,1,999
400032,B 방어,Normal,Buff,DefenseBuff,Self,1,999
400033,B 속도,Normal,Buff,SpeedBuff,Self,1,999
400034,B 명중,Normal,Buff,HitBuff,Self,1,999
400035,B 치명,Normal,Buff,CriticalBuff,Self,1,999
400036,B 공격 방어,Normal,Buff,AttackBuff,Self,1,999
400037,B 공격 명중,Normal,Buff,AttackBuff,Self,1,999
400038,B 공격 속도,Normal,Buff,AttackBuff,Self,1,999
400039,B 공격 치명,Normal,Buff,AttackBuff,Self,1,999
400040,B 방어 명중,Normal,Buff,DefenseBuff,Self,1,999
400041,B 방어 속도,Normal,Buff,DefenseBuff,Self,1,999
400042,B 방어 치명,Normal,Buff,DefenseBuff,Self,1,999
400043,B 명중 속도,Normal,Buff,HitBuff,Self,1,999
400044,B 명중 치명,Normal,Buff,HitBuff,Self,1,999
400045,B 속도 치명,Normal,Buff,SpeedBuff,Self,1,999
400046,B 공격 방어 명중,Normal,Buff,AttackBuff,Self,1,999
400047,B 공격 방어 속도,Normal,Buff,AttackBuff,Self,1,999
400048,B 공격 방어 치명,Normal,Buff,AttackBuff,Self,1,999
400049,B 공격 명중 속도,Normal,Buff,AttackBuff,Self,1,999
400050,B 공격 명중 치명,Normal,Buff,AttackBuff,Self,1,999
400051,B 공격 속도 치명,Normal,Buff,AttackBuff,Self,1,999
400052,B 방어 명중 속도,Normal,Buff,DefenseBuff,Self,1,999
400053,B 방어명중 치명,Normal,Buff,DefenseBuff,Self,1,999
400054,B 방어 속도 치명,Normal,Buff,DefenseBuff,Self,1,999
400055,B 명중 속도 치명,Normal,Buff,SpeedBuff,Self,1,999
500001,분노,Normal,Attack,BlowAttack,Enemy,1,0
500002,물어뜯기,Normal,Attack,BuffRemovalAttack,Enemy,1,0
500003,할퀴기,Normal,Attack,BlowAttack,Enemy,1,0
500004,할퀴기 Wave 4,Normal,Attack,BlowAttack,Enemy,1,0
500005,할퀴기 Wave 5,Normal,Attack,BlowAttack,Enemy,1,0
500011,분노,Normal,Attack,BlowAttack,Enemy,1,0
500012,부식,Normal,Attack,BlowAttack,Enemy,1,0
500013,연타,Normal,Attack,BlowAttack,Enemy,5,0
500014,진노,Normal,Buff,CriticalBuff,Self,1,0
500015,진노 Wave 4,Normal,Buff,CriticalBuff,Self,1,0
500016,진노 Wave 5,Normal,Buff,CriticalBuff,Self,1,0
510001,광폭화 Wave 1,Normal,Buff,Buff,Self,1,0
510002,광폭화 Wave 2,Normal,Buff,Buff,Self,1,0
510003,광폭화 Wave 3,Normal,Buff,Buff,Self,1,0
510004,광폭화 Wave 4,Normal,Buff,Buff,Self,1,0
510005,광폭화 Wave 5,Normal,Buff,Buff,Self,1,0
600001,출혈,Normal,Debuff,Buff,Enemy,1,15
700001,피해 감소 (고정),Normal,Buff,DamageReductionBuff,Self,1,15
700002,피해 감소 (비율),Normal,Buff,DamageReductionBuff,Self,1,15
700003,치명 데미지 증가,Normal,Buff,CriticalDamageBuff,Self,1,15
