id,group,_name,chance,duration,target_type,stat_type,modify_type,modify_value,is_enhanceable
303010,303000,SS 올스탯,100,150,Self,DEF,Percentage,50,true
303011,303000,S 방어력1,100,150,Self,DEF,Percentage,60,true
303012,303000,SS 방어력,100,150,Self,DEF,Percentage,90,true
304000,304000,치명 증가 (100),100,150,Self,CRI,Percentage,100,true
304001,304000,치명 증가 (250),100,150,Self,CRI,Percentage,250,true
305000,305000,명중 강화 (2),100,150,Self,HIT,Percentage,2,true
305001,305000,명중 강화 (2),100,150,Self,HIT,Percentage,2,true
305002,305000,명중 강화 (3),100,150,Self,HIT,Percentage,3,true
305003,305000,명중 강화 (6),100,150,Self,HIT,Percentage,6,true
305004,305000,명중 강화 (3),100,150,Self,HIT,Percentage,3,true
305005,305000,명중 강화 (5),100,150,Self,HIT,Percentage,5,true
305006,305000,명중 강화 (8),100,150,Self,HIT,Percentage,8,true
305007,305000,S 올스텟,100,150,Self,HIT,Percentage,20,true
305008,305000,S 명중2,100,150,Self,HIT,Percentage,35,true
305009,305000,명중 강화 (18),100,150,Self,HIT,Percentage,18,true
305010,305000,SS 올스탯,100,150,Self,HIT,Percentage,50,true
305011,305000,S 명중1,100,150,Self,HIT,Percentage,60,true
305012,305000,SS 명중,100,150,Self,HIT,Percentage,90,true
306000,306000,속도 강화 (2),100,150,Self,SPD,Percentage,2,true
306001,306000,속도 강화 (2),100,150,Self,SPD,Percentage,2,true
306002,306000,속도 강화 (3),100,150,Self,SPD,Percentage,3,true
306003,306000,속도 강화 (6),100,150,Self,SPD,Percentage,6,true
306004,306000,속도 강화 (3),100,150,Self,SPD,Percentage,3,true
306005,306000,속도 강화 (5),100,150,Self,SPD,Percentage,5,true
306006,306000,속도 강화 (8),100,150,Self,SPD,Percentage,8,true
306007,306000,S 올스텟,100,150,Self,SPD,Percentage,20,true
306008,306000,S 속도2,100,150,Self,SPD,Percentage,35,true
306009,306000,속도 강화 (18),100,150,Self,SPD,Percentage,18,true
306010,306000,SS 올스탯,100,150,Self,SPD,Percentage,50,true
306011,306000,S 속도1,100,150,Self,SPD,Percentage,60,true
306012,306000,SS 속도,100,150,Self,SPD,Percentage,90,true
501001,501001,Fenrir Rage ATK,100,5,Self,ATK,Percentage,50,true
502001,502001,Fenrir Rage SPD,100,5,Self,SPD,Percentage,50,true
503011,503011,Berserk ATK(60) Wave 1,100,150,Self,ATK,Percentage,60,true
503012,503012,Berserk DEF(-100) Wave 1,100,150,Self,DEF,Percentage,-100,true
503021,503011,Berserk ATK(80) Wave 2,100,150,Self,ATK,Percentage,80,true
503022,503012,Berserk DEF(-100) Wave 2,100,150,Self,DEF,Percentage,-100,true
503031,503011,Berserk ATK(100) Wave 3,100,150,Self,ATK,Percentage,100,true
503032,503012,Berserk DEF(-100) Wave 3,100,150,Self,DEF,Percentage,-100,true
503041,503011,Berserk ATK(120) Wave 4,100,150,Self,ATK,Percentage,120,true
503042,503012,Berserk DEF(-100) Wave 4,100,150,Self,DEF,Percentage,-100,true
503051,503011,Berserk ATK(150) Wave 5,100,150,Self,ATK,Percentage,150,true
503052,503012,Berserk DEF(-100) Wave 5,100,150,Self,DEF,Percentage,-100,true
503015,503015,Berserk CRI(1500),100,150,Self,CRI,Percentage,1500,true
504001,504001,Serimnir Rage ATK,100,5,Self,ATK,Percentage,50,true
504002,504002,Serimnir Rage SPD,100,5,Self,SPD,Percentage,50,true
504003,504003,Serimnir Corrosion,100,6,Enemy,DEF,Percentage,-50,true
504004,504004,Serimnir a Series Of Hits,100,3,Self,ATK,Percentage,50,true
504005,504005,Serimnir Furious CRI,100,5,Self,CRI,Add,36,true
504006,504005,Serimnir Furious CRI,100,5,Self,CRI,Add,56,true
504007,504005,Serimnir Furious CRI,100,5,Self,CRI,Add,86,true
504008,504008,Serimnir Furious CDMG,100,5,Self,CDMG,Add,5000,true
504009,504008,Serimnir Furious CDMG,100,5,Self,CDMG,Add,10000,true
504010,504008,Serimnir Furious CDMG,100,5,Self,CDMG,Add,20000,true
504011,504011,Serimnir Furious Enemy CDMG,100,8,Enemy,CDMG,Add,10000,true
701000,701000,DRV (Rune),100,0,Self,DRV,Add,0,true
702000,701000,DRR (Rune),100,0,Self,DRR,Add,0,true
703000,703000,CDMG (Rune),100,0,Self,CDMG,Add,0,true
