id,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max
120,306000,1,1,2,306036,1,1,2,306037,1,1,2,306038,1,1,2,,,,
121,306035,1,1,2,306037,1,1,2,306000,1,1,2,306036,1,1,2,,,,
122,306001,1,1,2,306002,1,1,2,306038,1,1,2,306039,1,1,2,306035,1,1,2
123,306035,1,1,2,306036,1,1,2,306002,1,1,2,306038,1,1,2,306037,1,1,2
124,306036,1,1,2,306000,1,1,2,306002,1,1,2,,,,,,,,
125,306037,1,1,2,306035,1,1,2,306001,1,1,2,306036,1,1,2,306000,1,1,2
126,306002,1,1,2,306039,1,1,2,306037,1,1,2,,,,,,,,
127,306002,1,1,2,306003,1,1,2,306001,1,1,2,306038,1,1,2,306000,1,1,2
128,306035,1,1,2,306039,1,1,2,306003,1,1,2,306038,1,1,2,306000,1,1,2
129,306036,1,1,2,306039,1,1,2,306035,1,1,2,306038,1,1,2,,,,
130,306000,1,1,2,306003,1,1,2,306039,1,1,2,306038,1,1,2,306037,1,1,2
131,306039,1,1,2,306037,1,1,2,306003,1,1,2,306002,1,1,2,306009,1,1,2
132,306036,1,1,2,306010,1,1,2,306002,1,1,2,,,,,,,,
133,306000,1,1,2,306001,1,1,2,306038,1,1,2,306003,1,1,2,306037,1,1,2
134,306003,1,1,2,306009,1,1,2,306038,1,1,2,,,,,,,,
135,306038,1,1,2,306003,1,1,2,306000,1,1,2,306009,1,1,2,306002,1,1,2
136,306003,1,1,2,306001,1,1,2,306002,1,1,2,306037,1,1,2,306000,1,1,2
137,306009,1,1,2,306035,1,1,2,306001,1,1,2,306038,1,1,2,306000,1,1,2
138,306003,1,1,2,306035,1,1,2,306001,1,1,2,,,,,,,,
139,306002,1,1,2,306037,1,1,2,306001,1,1,2,306000,1,1,2,306039,1,1,2
140,306037,1,1,2,306002,1,1,2,306036,1,1,2,306000,1,1,2,306009,1,1,2
141,306003,1,1,2,306036,1,1,2,306000,1,1,2,306009,1,1,2,306001,1,1,2
142,306037,1,1,2,306035,1,1,2,306038,1,1,2,306001,1,1,2,306010,1,1,2
143,306001,1,1,2,306003,1,1,2,306000,1,1,2,306038,1,1,2,306002,1,1,2
144,306001,1,1,2,306003,1,1,2,306002,1,1,2,306038,1,1,2,306037,1,1,2
145,306003,1,1,2,306009,1,1,2,306000,1,1,2,306010,1,1,2,306002,1,1,2
146,306009,1,1,2,306035,1,1,2,306010,1,1,2,306000,1,1,2,306039,1,1,2
147,306000,1,1,2,306036,1,1,2,306003,1,1,2,306038,1,1,2,,,,
148,306037,1,1,2,306036,1,1,2,306010,1,1,2,306001,1,1,2,306000,1,1,2
149,306037,1,1,2,306039,1,1,2,306001,1,1,2,,,,,,,,
150,306036,1,1,2,306010,1,1,2,306001,1,1,2,306003,1,1,2,306002,1,1,2
