id,wave1,wave1lv,wave2,wave2lv,wave3,wave3lv,wave4,wave4lv,wave5,wave5lv,wave6,wave6lv,wave7,wave7lv
107,3100,3,4020,3,4015,3,3006,3,3107,3,3006,3,,3
108,4015,3,3001,3,4015,3,3005,3,4101,3,3106,3,,3
109,3102,4,4020,4,3100,4,3101,4,3200,4,3100,4,,4
110,3005,4,3006,4,4105,4,3005,4,3101,4,3201,4,,4
111,3000,4,3101,4,3002,4,3101,4,3005,4,3009,4,,4
112,3100,4,3003,4,3107,4,3001,4,4015,4,3107,4,,4
113,3105,5,3100,5,3007,5,3105,5,3009,5,3105,5,,5
114,3000,5,3103,5,4015,5,3007,5,3108,5,3108,5,3103,5
115,3106,5,3104,5,3005,5,4015,5,3108,5,3202,5,,5
116,3009,5,3008,5,3106,5,3103,5,3006,5,3009,5,,5
117,4015,6,3002,6,3001,6,3108,6,3109,6,3109,6,,6
118,3003,6,3109,6,3104,6,3003,6,3109,6,3108,6,,6
119,3107,6,3004,6,3004,6,3006,6,3008,6,3008,6,3107,6
120,3105,6,3106,6,4105,6,4020,6,3101,6,3201,6,,6
121,4000,7,4005,7,4020,7,4015,7,4015,7,,7,,7
122,4020,7,3000,7,3009,7,3005,7,3005,7,,7,,7
123,4020,7,4001,7,3001,7,4010,7,3001,7,3001,7,,7
124,3000,7,4020,7,4015,7,3002,7,3103,7,3103,7,,7
125,3002,8,4020,8,3000,8,3001,8,3002,8,3200,8,,8
126,4001,8,4011,8,4020,8,4015,8,3105,8,4101,8,,8
127,3100,8,4020,8,4015,8,3006,8,3107,8,3006,8,,8
128,4015,8,3001,8,4015,8,3005,8,4101,8,3106,8,,8
129,3102,9,4020,9,3100,9,3101,9,3200,9,3100,9,,9
130,3005,9,3006,9,4105,9,3005,9,3101,9,3201,9,,9
131,3000,9,3101,9,3002,9,3101,9,3005,9,3009,9,,9
132,3100,9,3003,9,3107,9,3001,9,4015,9,3107,9,,9
133,3105,10,3100,10,3007,10,3105,10,3009,10,3105,10,,10
134,3000,10,3103,10,4015,10,3007,10,3108,10,3108,10,3103,10
135,3106,10,3104,10,3005,10,4015,10,3108,10,3202,10,,10
136,3009,10,3008,10,3106,10,3103,10,3006,10,3009,10,,10
137,4015,11,3002,11,3001,11,3108,11,3109,11,3109,11,,11
138,3003,11,3109,11,3104,11,3003,11,3109,11,3108,11,,11
139,3107,11,3004,11,3004,11,3006,11,3008,11,3008,11,3107,11
140,3105,11,3106,11,4105,11,4020,11,3101,11,3201,11,,11
141,3000,12,3101,12,3002,12,3101,12,3005,12,3009,12,,12
142,3100,12,3003,12,3107,12,3001,12,4015,12,3107,12,,12
143,3105,12,3100,12,3007,12,3105,12,3009,12,3105,12,,12
144,3000,12,3103,12,4015,12,3007,12,3108,12,3108,12,3103,12
145,3106,13,3104,13,3005,13,4015,13,3108,13,3202,13,,13
146,3009,13,3008,13,3106,13,3103,13,3006,13,3009,13,,13
147,4015,13,3002,13,3001,13,3108,13,3109,13,3109,13,,13
148,3003,13,3109,13,3104,13,3003,13,3109,13,3108,13,,13
149,3107,14,3004,14,3004,14,3006,14,3008,14,3008,14,3107,14
150,3105,14,3106,14,4105,14,4020,14,3101,14,3201,14,,14
10001,4001,10,4001,10,4001,10,4001,10,4001,10,4001,10,4001,10
10002,3100,10,3100,10,3100,10,3100,10,3100,10,3100,10,3100,10
10003,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10
10004,3102,10,3102,10,3102,10,3102,10,3102,10,3102,10,3102,10
10005,3005,10,3005,10,3005,10,3005,10,3005,10,3005,10,3005,10
10006,3000,10,3000,10,3000,10,3000,10,3000,10,3000,10,3000,10
10007,3100,10,3100,10,3100,10,3100,10,3100,10,3100,10,3100,10
10008,3105,10,3105,10,3105,10,3105,10,3105,10,3105,10,3105,10
10009,3000,10,3000,10,3000,10,3000,10,3000,10,3000,10,3000,10
10010,3106,10,3106,10,3106,10,3106,10,3106,10,3106,10,3106,10
10011,3009,10,3009,10,3009,10,3009,10,3009,10,3009,10,3009,10
10012,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10
10013,3003,10,3003,10,3003,10,3003,10,3003,10,3003,10,3003,10
10014,3107,10,3107,10,3107,10,3107,10,3107,10,3107,10,3107,10
10015,3105,10,3105,10,3105,10,3105,10,3105,10,3105,10,3105,10
10016,4021,10,4021,10,4021,10,4021,10,4021,10,4021,10,4021,10
10017,4021,10,4021,10,4021,10,4021,10,4021,10,4021,10,4021,10
10018,5002,10,5002,10,5002,10,5002,10,5002,10,5002,10,5002,10
10019,4001,10,4001,10,4001,10,4001,10,4001,10,4001,10,4001,10
10020,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10
10021,5102,10,5102,10,5102,10,5102,10,5102,10,5102,10,5102,10
10022,5005,10,5005,10,5005,10,5005,10,5005,10,5005,10,5005,10
10023,5000,10,5000,10,5000,10,5000,10,5000,10,5000,10,5000,10
10024,5100,10,5100,10,5100,10,5100,10,5100,10,5100,10,5100,10
10025,5000,10,5000,10,5000,10,5000,10,5000,10,5000,10,5000,10
10026,5106,10,5106,10,5106,10,5106,10,5106,10,5106,10,5106,10
10027,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10,4015,10
10028,5003,10,5003,10,5003,10,5003,10,5003,10,5003,10,5003,10
10029,5107,10,5107,10,5107,10,5107,10,5107,10,5107,10,5107,10
10030,5105,10,5105,10,5105,10,5105,10,5105,10,5105,10,5105,10
