id,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max
122,306039,1,1,2,306037,1,1,2,306038,1,1,2,306035,1,1,2,,,,
123,306038,1,1,2,306037,1,1,2,306036,1,1,2,306035,1,1,2,306039,1,1,2
124,306037,1,1,2,306036,1,1,2,306038,1,1,2,306039,1,1,2,306035,1,1,2
125,306039,1,1,2,306037,1,1,2,306035,1,1,2,306038,1,1,2,306036,1,1,2
126,306027,1,1,2,306039,1,1,2,306038,1,1,2,306035,1,1,2,306036,1,1,2
127,306039,1,1,2,306036,1,1,2,306035,1,1,2,306038,1,1,2,,,,
128,306039,1,1,2,306036,1,1,2,306038,1,1,2,,,,,,,,
129,303302,1,1,2,306012,1,1,2,306027,1,1,2,306038,1,1,2,306037,1,1,2
130,302004,1,1,2,306034,1,1,2,306039,1,1,2,306027,1,1,2,306038,1,1,2
131,306037,1,1,2,306027,1,1,2,306038,1,1,2,,,,,,,,
132,306037,1,1,2,306036,1,1,2,306039,1,1,2,306027,1,1,2,306012,1,1,2
133,306038,1,1,2,306037,1,1,2,306012,1,1,2,306039,1,1,2,306029,1,1,2
134,306037,1,1,2,306038,1,1,2,306029,1,1,2,306039,1,1,2,,,,
135,306039,1,1,2,306037,1,1,2,306038,1,1,2,306029,1,1,2,,,,
136,306038,1,1,2,306037,1,1,2,306027,1,1,2,,,,,,,,
137,306029,1,1,2,306038,1,1,2,306027,1,1,2,,,,,,,,
138,306029,1,1,2,306027,1,1,2,306039,1,1,2,306038,1,1,2,306012,1,1,2
139,303402,1,1,2,306029,1,1,2,306038,1,1,2,306027,1,1,2,306039,1,1,2
140,302005,1,1,2,306034,1,1,2,306038,1,1,2,306039,1,1,2,306027,1,1,2
141,306015,1,1,2,306039,1,1,2,306027,1,1,2,306038,1,1,2,,,,
142,306029,1,1,2,306019,1,1,2,306039,1,1,2,306012,1,1,2,306015,1,1,2
143,306029,1,1,2,306019,1,1,2,306039,1,1,2,306015,1,1,2,,,,
144,306019,1,1,2,306027,1,1,2,306015,1,1,2,,,,,,,,
145,306039,1,1,2,306015,1,1,2,306012,1,1,2,306029,1,1,2,306027,1,1,2
146,306027,1,1,2,306019,1,1,2,306015,1,1,2,306012,1,1,2,306039,1,1,2
147,306029,1,1,2,306027,1,1,2,306015,1,1,2,306019,1,1,2,306033,1,1,2
148,306015,1,1,2,306012,1,1,2,306027,1,1,2,306029,1,1,2,,,,
149,303002,1,1,2,306033,1,1,2,306012,1,1,2,306027,1,1,2,,,,
150,302006,1,1,2,306034,1,1,2,306029,1,1,2,306027,1,1,2,306033,1,1,2
