id,stage,wave,monster1_id,monster1_level,monster1_visual,monster1_count,monster2_id,monster2_level,monster2_visual,monster2_count,monster3_id,monster3_level,monster3_visual,monster3_count,monster4_id,monster4_level,monster4_visual,monster4_count,is_boss,reward,exp
48,12,3,204001,12,,1,204002,12,,1,204003,12,,1,,,,,0,12,114
49,13,1,204001,13,,1,,,,,,,,,,,,,0,0,0
50,13,2,204002,13,,1,,,,,,,,,,,,,0,0,0
51,13,3,204001,13,,1,204003,13,,1,,,,,,,,,0,0,0
52,13,4,204000,13,,1,204004,13,,1,,,,,,,,,0,13,121
53,14,1,204003,14,,1,,,,,,,,,,,,,0,0,0
54,14,2,204000,14,,1,204004,14,,1,,,,,,,,,0,0,0
55,14,3,204000,14,,1,204003,14,,2,,,,,,,,,0,0,0
56,14,4,204000,14,,1,204001,14,,1,204002,14,,1,204003,14,,1,0,0,0
57,14,5,204000,14,,1,204003,14,,1,,,,,,,,,0,14,128
58,15,1,204003,15,,1,,,,,,,,,,,,,0,0,0
59,15,2,204000,15,,1,204004,15,,1,,,,,,,,,0,0,0
60,15,3,204002,15,,2,,,,,,,,,,,,,0,0,0
61,15,4,201004,15,,1,204000,15,,2,204002,15,,1,,,,,1,15,135
62,16,1,204002,16,,1,,,,,,,,,,,,,0,0,0
63,16,2,204004,16,,1,,,,,,,,,,,,,0,0,0
64,16,3,204000,16,,1,204004,16,,2,,,,,,,,,0,16,142
65,17,1,204002,17,,1,,,,,,,,,,,,,0,0,0
66,17,2,204003,17,,1,204004,17,,1,,,,,,,,,0,0,0
67,17,3,204004,17,,1,,,,,,,,,,,,,0,0,0
68,17,4,201000,17,,1,204000,17,,1,,,,,,,,,0,17,149
69,18,1,204000,18,,1,,,,,,,,,,,,,0,0,0
70,18,2,204001,18,,1,204003,18,,1,,,,,,,,,0,0,0
71,18,3,201000,18,,1,204004,18,,1,,,,,,,,,0,0,0
72,18,4,204000,18,,1,204002,18,,1,204004,18,,1,,,,,0,18,156
73,19,1,201000,19,,1,,,,,,,,,,,,,0,0,0
74,19,2,204000,19,,1,204003,19,,1,,,,,,,,,0,0,0
75,19,3,204000,19,,1,204002,19,,1,204004,19,,1,,,,,0,0,0
76,19,4,204000,19,,1,204001,19,,1,204003,19,,1,,,,,0,19,163
77,20,1,204003,20,,1,,,,,,,,,,,,,0,0,0
78,20,2,201001,20,,1,204003,20,,1,,,,,,,,,0,0,0
79,20,3,201005,20,,1,204000,20,,1,204002,20,,1,204003,20,,1,1,20,170
80,21,1,204004,21,,1,,,,,,,,,,,,,0,0,0
81,21,2,201000,21,,1,,,,,,,,,,,,,0,0,0
82,21,3,204000,21,,1,,,,,,,,,,,,,0,0,0
83,21,4,201000,21,,1,204000,21,,1,204002,21,,1,,,,,0,21,177
84,22,1,204002,22,,1,,,,,,,,,,,,,0,0,0
85,22,2,204000,22,,1,204003,22,,1,,,,,,,,,0,0,0
86,22,3,201000,22,,1,204001,22,,1,204004,22,,1,,,,,0,22,184
87,23,1,204002,23,,1,,,,,,,,,,,,,0,0,0
88,23,2,204002,23,,1,,,,,,,,,,,,,0,0,0
89,23,3,201000,23,,1,201001,23,,1,,,,,,,,,0,23,191
90,24,1,204000,24,,1,,,,,,,,,,,,,0,0,0
91,24,2,204004,24,,1,,,,,,,,,,,,,0,0,0
92,24,3,201000,24,,1,204002,24,,1,,,,,,,,,0,0,0
93,24,4,201001,24,,1,204001,24,,1,204002,24,,1,204004,24,,1,0,24,198
94,25,1,204000,25,,1,,,,,,,,,,,,,0,0,0
95,25,2,204001,25,,2,,,,,,,,,,,,,0,0,0
96,25,3,201001,25,,1,204001,25,,1,204003,25,,1,,,,,0,0,0
97,25,4,201000,25,,1,201002,25,,1,204000,25,,1,204003,25,,1,1,25,205
98,26,1,201002,26,,1,,,,,,,,,,,,,0,0,0
99,26,2,204000,26,,1,,,,,,,,,,,,,0,0,0
100,26,3,201002,26,,1,,,,,,,,,,,,,0,26,212
101,27,1,204001,27,,1,,,,,,,,,,,,,0,0,0
102,27,2,201002,27,,1,204000,27,,1,,,,,,,,,0,0,0
103,27,3,201002,27,,1,201004,27,,1,,,,,,,,,0,0,0
104,27,4,204000,27,,1,,,,,,,,,,,,,0,0,0
105,27,5,204001,27,,1,204002,27,,1,204004,27,,1,,,,,0,27,219
106,28,1,204000,28,,1,,,,,,,,,,,,,0,0,0
107,28,2,201001,28,,1,204003,28,,1,,,,,,,,,0,0,0
108,28,3,204003,28,,1,,,,,,,,,,,,,0,28,226
109,29,1,204001,29,,1,,,,,,,,,,,,,0,0,0
110,29,2,202000,29,,1,,,,,,,,,,,,,0,0,0
111,29,3,201000,29,,1,,,,,,,,,,,,,0,29,233
112,30,1,202000,30,,1,,,,,,,,,,,,,0,0,0
113,30,2,201001,30,,1,,,,,,,,,,,,,0,0,0
114,30,3,201002,30,,1,202003,30,,1,204001,30,,1,204004,30,,1,1,30,240
115,31,1,201000,31,,1,,,,,,,,,,,,,0,0,0
116,31,2,204002,31,,1,,,,,,,,,,,,,0,0,0
117,31,3,201001,31,,2,201002,31,,1,,,,,,,,,0,31,247
118,32,1,204000,32,,1,,,,,,,,,,,,,0,0,0
119,32,2,204004,32,,1,,,,,,,,,,,,,0,0,0
120,32,3,204002,32,,1,,,,,,,,,,,,,0,0,0
121,32,4,202001,32,,1,204002,32,,2,204003,32,,1,,,,,0,32,254
122,33,1,201001,33,,1,,,,,,,,,,,,,0,0,0
123,33,2,201000,33,,1,,,,,,,,,,,,,0,0,0
124,33,3,201000,33,,2,201004,33,,1,,,,,,,,,0,33,261
125,34,1,204002,34,,1,,,,,,,,,,,,,0,0,0
126,34,2,204003,34,,1,204004,34,,1,,,,,,,,,0,0,0
127,34,3,201001,34,,1,204003,34,,1,,,,,,,,,0,0,0
128,34,4,204001,34,,1,,,,,,,,,,,,,0,0,0
129,34,5,201001,34,,1,201002,34,,1,201004,34,,1,202000,34,,1,0,34,268
130,35,1,201001,35,,1,,,,,,,,,,,,,0,0,0
131,35,2,202001,35,,2,,,,,,,,,,,,,0,0,0
132,35,3,201002,35,,1,,,,,,,,,,,,,0,0,0
133,35,4,201000,35,,1,202001,35,,1,204001,35,,1,204003,35,,1,0,0,0
134,35,5,201000,35,,1,202004,35,,1,204000,35,,1,204001,35,,1,1,35,275
135,36,1,202001,36,,1,,,,,,,,,,,,,0,0,0
136,36,2,201002,36,,1,,,,,,,,,,,,,0,0,0
137,36,3,202001,36,,1,202002,36,,1,,,,,,,,,0,36,282
138,37,1,204000,37,,1,,,,,,,,,,,,,0,0,0
139,37,2,204001,37,,1,,,,,,,,,,,,,0,0,0
140,37,3,204001,37,,3,,,,,,,,,,,,,0,0,0
141,37,4,201000,37,,1,201004,37,,1,204001,37,,1,204003,37,,1,0,37,289
142,38,1,204002,38,,1,,,,,,,,,,,,,0,0,0
143,38,2,204004,38,,2,,,,,,,,,,,,,0,0,0
144,38,3,202001,38,,1,202002,38,,1,204004,38,,1,,,,,0,38,296
145,39,1,201000,39,,1,,,,,,,,,,,,,0,0,0
146,39,2,201000,39,,1,204000,39,,1,,,,,,,,,0,0,0
147,39,3,201002,39,,1,202002,39,,1,202003,39,,1,,,,,0,39,303
148,40,1,201004,40,,1,,,,,,,,,,,,,0,0,0
149,40,2,201004,40,,1,202001,40,,1,,,,,,,,,0,0,0
150,40,3,201001,40,,1,202002,40,,1,,,,,,,,,0,0,0
151,40,4,201002,40,,1,202005,40,,1,204003,40,,1,204004,40,,1,1,40,310
152,41,1,201001,41,,1,,,,,,,,,,,,,0,0,0
153,41,2,204003,41,,1,,,,,,,,,,,,,0,0,0
154,41,3,201004,41,,1,,,,,,,,,,,,,0,41,317
155,42,1,202003,42,,1,,,,,,,,,,,,,0,0,0
156,42,2,201001,42,,1,,,,,,,,,,,,,0,0,0
157,42,3,201002,42,,1,204003,42,,1,,,,,,,,,0,0,0
158,42,4,204004,42,,1,,,,,,,,,,,,,0,0,0
159,42,5,202002,42,,1,204002,42,,1,,,,,,,,,0,42,324
160,43,1,202002,43,,1,,,,,,,,,,,,,0,0,0
161,43,2,201004,43,,1,,,,,,,,,,,,,0,0,0
162,43,3,202004,43,,1,,,,,,,,,,,,,0,0,0
163,43,4,202001,43,,1,204002,43,,1,,,,,,,,,0,43,331
164,44,1,204001,44,,1,,,,,,,,,,,,,0,0,0
165,44,2,204001,44,,1,,,,,,,,,,,,,0,0,0
166,44,3,201000,44,,1,,,,,,,,,,,,,0,44,338
167,45,1,202000,45,,1,,,,,,,,,,,,,0,0,0
168,45,2,202004,45,,2,,,,,,,,,,,,,0,0,0
169,45,3,201002,45,,1,202003,45,,1,202004,45,,1,202006,45,,1,1,45,345
170,46,1,204004,46,,1,,,,,,,,,,,,,0,0,0
171,46,2,201001,46,,1,202003,46,,1,,,,,,,,,0,0,0
172,46,3,202000,46,,1,202001,46,,1,,,,,,,,,0,46,352
173,47,1,201000,47,,1,,,,,,,,,,,,,0,0,0
174,47,2,204000,47,,2,,,,,,,,,,,,,0,0,0
175,47,3,201001,47,,1,202002,47,,1,204001,47,,1,,,,,0,0,0
176,47,4,202005,47,,1,204001,47,,1,,,,,,,,,0,0,0
177,47,5,201004,47,,1,202000,47,,1,204004,47,,1,,,,,0,47,359
178,48,1,201001,48,,1,,,,,,,,,,,,,0,0,0
179,48,2,204001,48,,1,,,,,,,,,,,,,0,0,0
180,48,3,201002,48,,1,201004,48,,1,202001,48,,1,,,,,0,48,366
181,49,1,202005,49,,1,,,,,,,,,,,,,0,0,0
182,49,2,201002,49,,1,202006,49,,1,,,,,,,,,0,0,0
183,49,3,201000,49,,1,,,,,,,,,,,,,0,49,373
184,50,1,202006,50,,1,,,,,,,,,,,,,0,0,0
185,50,2,202001,50,,1,,,,,,,,,,,,,0,0,0
186,50,3,202000,50,,1,202007,50,,1,204002,50,,1,204003,50,,1,1,50,380
187,51,1,204000,51,,1,,,,,,,,,,,,,0,0,0
188,51,2,204000,51,,1,,,,,,,,,,,,,0,0,0
189,51,3,204000,51,,3,,,,,,,,,,,,,0,51,37
190,52,1,204000,52,,1,,,,,,,,,,,,,0,0,0
191,52,2,204000,52,,1,,,,,,,,,,,,,0,0,0
192,52,3,204000,52,,2,,,,,,,,,,,,,0,0,0
193,52,4,204000,52,,1,,,,,,,,,,,,,0,0,0
194,52,5,204000,52,,1,,,,,,,,,,,,,0,52,44
195,53,1,204000,53,,1,,,,,,,,,,,,,0,0,0
196,53,2,204000,53,,1,,,,,,,,,,,,,0,0,0
197,53,3,204000,53,,1,,,,,,,,,,,,,0,0,0
198,53,4,204000,53,,4,,,,,,,,,,,,,0,53,51
199,54,1,204000,54,,1,,,,,,,,,,,,,0,0,0
200,54,2,204000,54,,2,,,,,,,,,,,,,0,0,0
201,54,3,204000,54,,2,,,,,,,,,,,,,0,0,0
202,54,4,204000,54,,1,,,,,,,,,,,,,0,54,58
203,55,1,204001,55,,1,,,,,,,,,,,,,0,0,0
204,55,2,204001,55,,1,,,,,,,,,,,,,0,0,0
205,55,3,204000,55,,1,204001,55,,2,,,,,,,,,0,0,0
206,55,4,204000,55,,1,,,,,,,,,,,,,0,0,0
207,55,5,203005,55,,1,204000,55,,1,204001,55,,2,,,,,1,55,65
208,56,1,204001,56,,1,,,,,,,,,,,,,0,0,0
209,56,2,204001,56,,1,,,,,,,,,,,,,0,0,0
210,56,3,204000,56,,1,204001,56,,1,,,,,,,,,0,56,72
211,57,1,204001,57,,1,,,,,,,,,,,,,0,0,0
212,57,2,204001,57,,1,,,,,,,,,,,,,0,0,0
213,57,3,204000,57,,2,,,,,,,,,,,,,0,0,0
214,57,4,204000,57,,1,204001,57,,1,,,,,,,,,0,57,79
215,58,1,204001,58,,1,,,,,,,,,,,,,0,0,0
216,58,2,204001,58,,2,,,,,,,,,,,,,0,0,0
217,58,3,204000,58,,1,,,,,,,,,,,,,0,0,0
218,58,4,204000,58,,1,204001,58,,1,,,,,,,,,0,58,86
219,59,1,204000,59,,1,,,,,,,,,,,,,0,0,0
220,59,2,204000,59,,1,204002,59,,1,,,,,,,,,0,0,0
221,59,3,204001,59,,1,,,,,,,,,,,,,0,59,93
222,60,1,204000,60,,1,,,,,,,,,,,,,0,0,0
223,60,2,204000,60,,1,,,,,,,,,,,,,0,0,0
224,60,3,203005,60,,1,204001,60,,1,204002,60,,2,,,,,1,60,100
225,61,1,204001,61,,1,,,,,,,,,,,,,0,0,0
226,61,2,204002,61,,1,,,,,,,,,,,,,0,0,0
227,61,3,204001,61,,1,204002,61,,1,,,,,,,,,0,61,107
228,62,1,204000,62,,1,,,,,,,,,,,,,0,0,0
229,62,2,204000,62,,1,204002,62,,1,,,,,,,,,0,0,0
230,62,3,204000,62,,1,,,,,,,,,,,,,0,0,0
231,62,4,204000,62,,1,204001,62,,1,,,,,,,,,0,0,0
232,62,5,204000,62,,1,204002,62,,2,,,,,,,,,0,62,114
233,63,1,204002,63,,1,,,,,,,,,,,,,0,0,0
234,63,2,204000,63,,1,204001,63,,1,,,,,,,,,0,0,0
235,63,3,204002,63,,1,,,,,,,,,,,,,0,63,121
236,64,1,204000,64,,1,,,,,,,,,,,,,0,0,0
237,64,2,204000,64,,1,204003,64,,1,,,,,,,,,0,0,0
238,64,3,204000,64,,1,204003,64,,2,,,,,,,,,0,0,0
239,64,4,204000,64,,1,204001,64,,2,,,,,,,,,0,64,128
240,65,1,204003,65,,1,,,,,,,,,,,,,0,0,0
241,65,2,204000,65,,1,,,,,,,,,,,,,0,0,0
242,65,3,204000,65,,1,,,,,,,,,,,,,0,0,0
243,65,4,204003,65,,1,,,,,,,,,,,,,0,65,135
244,66,1,204001,66,,1,,,,,,,,,,,,,0,0,0
245,66,2,204002,66,,1,,,,,,,,,,,,,0,0,0
246,66,3,204002,66,,2,,,,,,,,,,,,,0,0,0
247,66,4,204000,66,,1,204003,66,,2,,,,,,,,,0,0,0
248,66,5,204000,66,,1,204001,66,,1,204002,66,,2,,,,,0,66,142
249,67,1,204001,67,,1,,,,,,,,,,,,,0,0,0
250,67,2,204003,67,,1,,,,,,,,,,,,,0,0,0
251,67,3,204003,67,,2,,,,,,,,,,,,,0,0,0
252,67,4,204003,67,,2,,,,,,,,,,,,,0,67,149
253,68,1,204000,68,,1,,,,,,,,,,,,,0,0,0
254,68,2,204002,68,,1,,,,,,,,,,,,,0,0,0
255,68,3,204000,68,,1,204001,68,,1,204002,68,,1,,,,,0,0,0
256,68,4,204002,68,,1,204004,68,,1,,,,,,,,,0,68,156
257,69,1,204000,69,,1,,,,,,,,,,,,,0,0,0
258,69,2,204000,69,,1,204001,69,,1,,,,,,,,,0,0,0
259,69,3,204000,69,,1,204001,69,,1,,,,,,,,,0,0,0
260,69,4,204001,69,,2,,,,,,,,,,,,,0,69,163
261,70,1,204001,70,,1,,,,,,,,,,,,,0,0,0
262,70,2,204001,70,,1,,,,,,,,,,,,,0,0,0
263,70,3,204000,70,,1,204002,70,,1,204003,70,,1,,,,,0,0,0
264,70,4,204003,70,,1,,,,,,,,,,,,,0,0,0
265,70,5,203007,70,,1,204001,70,,1,204002,70,,1,204004,70,,1,1,70,170
266,71,1,204002,71,,1,,,,,,,,,,,,,0,0,0
267,71,2,204002,71,,1,204003,71,,1,,,,,,,,,0,0,0
268,71,3,204001,71,,1,,,,,,,,,,,,,0,0,0
269,71,4,204001,71,,2,204004,71,,2,,,,,,,,,0,0,0
270,71,5,204001,71,,2,204003,71,,1,204004,71,,1,,,,,0,71,177
271,72,1,204000,72,,1,,,,,,,,,,,,,0,0,0
272,72,2,204003,72,,1,,,,,,,,,,,,,0,0,0
273,72,3,204004,72,,1,,,,,,,,,,,,,0,0,0
274,72,4,204002,72,,2,204003,72,,1,,,,,,,,,0,72,184
275,73,1,204001,73,,1,,,,,,,,,,,,,0,0,0
276,73,2,203000,73,,1,,,,,,,,,,,,,0,0,0
277,73,3,204000,73,,1,,,,,,,,,,,,,0,73,191
278,74,1,204003,74,,1,,,,,,,,,,,,,0,0,0
279,74,2,203000,74,,1,,,,,,,,,,,,,0,0,0
280,74,3,204000,74,,1,,,,,,,,,,,,,0,0,0
281,74,4,204000,74,,1,204002,74,,1,204004,74,,1,,,,,0,0,0
282,74,5,203000,74,,1,204002,74,,2,204004,74,,1,,,,,0,74,198
283,75,1,204003,75,,1,,,,,,,,,,,,,0,0,0
284,75,2,204003,75,,1,,,,,,,,,,,,,0,0,0
285,75,3,204000,75,,2,204002,75,,1,,,,,,,,,0,75,205
286,76,1,203001,76,,1,,,,,,,,,,,,,0,0,0
287,76,2,204000,76,,1,,,,,,,,,,,,,0,0,0
288,76,3,204003,76,,1,,,,,,,,,,,,,0,0,0
289,76,4,203000,76,,1,203001,76,,1,204002,76,,1,204004,76,,1,0,0,0
290,76,5,203001,76,,1,204000,76,,1,204001,76,,1,204002,76,,1,0,76,212
291,77,1,204002,77,,1,,,,,,,,,,,,,0,0,0
292,77,2,203000,77,,1,,,,,,,,,,,,,0,0,0
293,77,3,203001,77,,1,204003,77,,1,,,,,,,,,0,0,0
294,77,4,204004,77,,1,,,,,,,,,,,,,0,77,219
295,78,1,204004,78,,1,,,,,,,,,,,,,0,0,0
296,78,2,204003,78,,1,204004,78,,1,,,,,,,,,0,0,0
297,78,3,204004,78,,1,,,,,,,,,,,,,0,78,226
298,79,1,204003,79,,1,,,,,,,,,,,,,0,0,0
299,79,2,203001,79,,1,,,,,,,,,,,,,0,0,0
300,79,3,203000,79,,1,204001,79,,1,204004,79,,1,,,,,0,0,0
301,79,4,203000,79,,1,,,,,,,,,,,,,0,79,233
302,80,1,204000,80,,1,,,,,,,,,,,,,0,0,0
303,80,2,204000,80,,1,204004,80,,1,,,,,,,,,0,0,0
304,80,3,203001,80,,1,204000,80,,1,204003,80,,1,,,,,0,0,0
305,80,4,204004,80,,1,,,,,,,,,,,,,0,80,240
306,81,1,204001,81,,1,,,,,,,,,,,,,0,0,0
307,81,2,203000,81,,1,,,,,,,,,,,,,0,0,0
308,81,3,203000,81,,1,203002,81,,1,,,,,,,,,0,0,0
309,81,4,203000,81,,1,,,,,,,,,,,,,0,81,247
310,82,1,203002,82,,1,,,,,,,,,,,,,0,0,0
311,82,2,203000,82,,1,,,,,,,,,,,,,0,0,0
312,82,3,204003,82,,1,204004,82,,1,,,,,,,,,0,82,254
313,83,1,204000,83,,1,,,,,,,,,,,,,0,0,0
314,83,2,203002,83,,1,204001,83,,1,,,,,,,,,0,0,0
315,83,3,203000,83,,1,204001,83,,1,,,,,,,,,0,0,0
316,83,4,203001,83,,1,204000,83,,2,204003,83,,1,,,,,0,83,261
317,84,1,204003,84,,1,,,,,,,,,,,,,0,0,0
318,84,2,204000,84,,1,,,,,,,,,,,,,0,0,0
319,84,3,203000,84,,1,,,,,,,,,,,,,0,0,0
320,84,4,203000,84,,3,204001,84,,1,,,,,,,,,0,84,268
321,85,1,204002,85,,1,,,,,,,,,,,,,0,0,0
322,85,2,204001,85,,1,,,,,,,,,,,,,0,0,0
323,85,3,204001,85,,1,,,,,,,,,,,,,0,85,275
324,86,1,203003,86,,1,,,,,,,,,,,,,0,0,0
325,86,2,204002,86,,1,204004,86,,1,,,,,,,,,0,0,0
326,86,3,203003,86,,1,204000,86,,1,204001,86,,1,,,,,0,86,282
327,87,1,204003,87,,1,,,,,,,,,,,,,0,0,0
328,87,2,204001,87,,1,204002,87,,1,,,,,,,,,0,0,0
329,87,3,203002,87,,1,204003,87,,1,204004,87,,1,,,,,0,0,0
330,87,4,203002,87,,1,203003,87,,1,,,,,,,,,0,0,0
331,87,5,203000,87,,1,204000,87,,1,204001,87,,1,204004,87,,1,0,87,289
332,88,1,204004,88,,1,,,,,,,,,,,,,0,0,0
333,88,2,204004,88,,1,,,,,,,,,,,,,0,0,0
334,88,3,204002,88,,1,,,,,,,,,,,,,0,0,0
335,88,4,203001,88,,1,203003,88,,1,204003,88,,1,,,,,0,0,0
336,88,5,203001,88,,1,203002,88,,1,204001,88,,1,,,,,0,88,296
337,89,1,203002,89,,1,,,,,,,,,,,,,0,0,0
338,89,2,204003,89,,1,,,,,,,,,,,,,0,0,0
339,89,3,204003,89,,1,,,,,,,,,,,,,0,0,0
340,89,4,203002,89,,3,204004,89,,1,,,,,,,,,0,0,0
341,89,5,203001,89,,1,203004,89,,2,204000,89,,1,204002,89,,1,0,89,303
342,90,1,203001,90,,1,,,,,,,,,,,,,0,0,0
343,90,2,203000,90,,1,204001,90,,1,,,,,,,,,0,0,0
344,90,3,204000,90,,1,,,,,,,,,,,,,0,0,0
345,90,4,203000,90,,1,204004,90,,1,,,,,,,,,0,90,310
346,91,1,203003,91,,1,,,,,,,,,,,,,0,0,0
347,91,2,204001,91,,1,204004,91,,1,,,,,,,,,0,0,0
348,91,3,203000,91,,1,203004,91,,1,,,,,,,,,0,0,0
349,91,4,203001,91,,2,204000,91,,1,204001,91,,1,,,,,0,0,0
350,91,5,203000,91,,1,204002,91,,1,,,,,,,,,0,91,317
351,92,1,203001,92,,1,,,,,,,,,,,,,0,0,0
352,92,2,203002,92,,1,204003,92,,1,,,,,,,,,0,0,0
353,92,3,203000,92,,1,203003,92,,1,203004,92,,1,,,,,0,92,324
354,93,1,204004,93,,1,,,,,,,,,,,,,0,0,0
355,93,2,203004,93,,1,204002,93,,1,,,,,,,,,0,0,0
356,93,3,203002,93,,1,204000,93,,1,,,,,,,,,0,0,0
357,93,4,203002,93,,2,204002,93,,1,,,,,,,,,0,0,0
358,93,5,203000,93,,1,203001,93,,1,203004,93,,1,203005,93,,2,0,93,331
359,94,1,204002,94,,1,,,,,,,,,,,,,0,0,0
360,94,2,203002,94,,1,204003,94,,1,,,,,,,,,0,0,0
361,94,3,204001,94,,1,,,,,,,,,,,,,0,0,0
362,94,4,203001,94,,1,204000,94,,1,,,,,,,,,0,0,0
363,94,5,203005,94,,1,204003,94,,1,,,,,,,,,0,94,338
364,95,1,204003,95,,1,,,,,,,,,,,,,0,0,0
365,95,2,204002,95,,1,,,,,,,,,,,,,0,0,0
366,95,3,203001,95,,1,203002,95,,1,204003,95,,1,,,,,0,0,0
367,95,4,203003,95,,1,204000,95,,1,,,,,,,,,0,0,0
368,95,5,203005,95,,1,204001,95,,1,204004,95,,1,,,,,0,95,345
369,96,1,203001,96,,1,,,,,,,,,,,,,0,0,0
370,96,2,203005,96,,1,,,,,,,,,,,,,0,0,0
371,96,3,204000,96,,1,,,,,,,,,,,,,0,0,0
372,96,4,203003,96,,1,204003,96,,1,204004,96,,2,,,,,0,96,352
373,97,1,204003,97,,1,,,,,,,,,,,,,0,0,0
374,97,2,204003,97,,1,,,,,,,,,,,,,0,0,0
375,97,3,204004,97,,1,,,,,,,,,,,,,0,0,0
376,97,4,203000,97,,1,203003,97,,1,204003,97,,1,,,,,0,0,0
377,97,5,203003,97,,1,203004,97,,2,204003,97,,2,,,,,0,97,359
378,98,1,203003,98,,1,,,,,,,,,,,,,0,0,0
379,98,2,204004,98,,1,,,,,,,,,,,,,0,0,0
380,98,3,204001,98,,1,,,,,,,,,,,,,0,98,366
381,99,1,204003,99,,1,,,,,,,,,,,,,0,0,0
382,99,2,203001,99,,1,204000,99,,1,,,,,,,,,0,0,0
383,99,3,203002,99,,1,,,,,,,,,,,,,0,0,0
384,99,4,203000,99,,1,203002,99,,1,204000,99,,1,,,,,0,99,373
385,100,1,203001,100,,1,,,,,,,,,,,,,0,0,0
386,100,2,204001,100,,1,,,,,,,,,,,,,0,0,0
387,100,3,204001,100,,1,,,,,,,,,,,,,0,100,380
388,101,1,204000,101,,1,,,,,,,,,,,,,0,0,0
389,101,2,204000,101,,1,,,,,,,,,,,,,0,0,0
390,101,3,204000,101,,3,,,,,,,,,,,,,0,0,0
391,101,4,204000,101,,1,,,,,,,,,,,,,0,101,37
392,102,1,204000,102,,1,,,,,,,,,,,,,0,0,0
393,102,2,204000,102,,1,,,,,,,,,,,,,0,0,0
394,102,3,204000,102,,3,,,,,,,,,,,,,0,0,0
395,102,4,204000,102,,2,,,,,,,,,,,,,0,102,44
396,103,1,204000,103,,1,,,,,,,,,,,,,0,0,0
397,103,2,204000,103,,1,,,,,,,,,,,,,0,0,0
398,103,3,204000,103,,1,,,,,,,,,,,,,0,0,0
399,103,4,204000,103,,2,,,,,,,,,,,,,0,103,51
400,104,1,204000,104,,1,,,,,,,,,,,,,0,0,0
401,104,2,204001,104,,1,,,,,,,,,,,,,0,0,0
402,104,3,204000,104,,1,204001,104,,1,,,,,,,,,0,0,0
