id,_name,item_sub_type,grade,elemental_type,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
306008,물의 나무줄기,MonsterPart,3,Water,ATK,26,106,,,,,
306009,대지의 하찮은 자갈,MonsterPart,1,Land,ATK,5,23,,,,,
306010,대지의 돌날,MonsterPart,1,Land,HP,22,88,,,,,
306011,대지의 두건,MonsterPart,1,Land,SPD,3,13,,,,,
306012,대지의 여우 꼬리,MonsterPart,1,Land,HIT,6,26,,,,,
306013,대지의 칼자루,MonsterPart,2,Land,ATK,11,44,,,,,
306014,대지의 큰 칼날,MonsterPart,2,Land,HP,41,165,,,,,
306015,대지의 부러진 지팡이,MonsterPart,2,Land,SPD,6,24,,,,,
306016,대지의 부러진 지팡이,MonsterPart,2,Land,HIT,12,49,,,,,
306017,대지의 망토 조각,MonsterPart,3,Land,ATK,26,106,,,,,
306018,대지의 마력 구슬,MonsterPart,3,Land,HP,99,399,,,,,
306019,대지의 여우 가죽,MonsterPart,3,Land,SPD,14,59,,,,,
306020,대지의 여우 송곳니,MonsterPart,3,Land,HIT,29,119,,,,,
306021,대지의 창 날,MonsterPart,3,Land,HP,1,2,,,,,
306022,대지의 견장,MonsterPart,3,Land,HP,1,2,,,,,
306023,화염의 나무둔기,MonsterPart,1,Fire,ATK,5,23,,,,,
306024,화염의 작은 투구,MonsterPart,1,Fire,HP,22,88,,,,,
306025,화염의 멧돼지뿔,MonsterPart,1,Fire,SPD,3,13,,,,,
306026,화염의 허리가방,MonsterPart,1,Fire,HIT,6,26,,,,,
306027,화염의 둔기 조각,MonsterPart,2,Fire,ATK,11,44,,,,,
306028,화염의 하얀 털다발,MonsterPart,2,Fire,HP,41,165,,,,,
306029,화염의 큰 멧돼지뿔,MonsterPart,2,Fire,SPD,6,24,,,,,
306030,화염의 무거운 견장,MonsterPart,2,Fire,HIT,12,49,,,,,
306031,화염의 달궈진 쇠사슬,MonsterPart,3,Fire,ATK,26,106,,,,,
306032,화염의 부러진 지팡이,MonsterPart,3,Fire,HP,99,399,,,,,
306033,화염의 제림니르 도끼,MonsterPart,3,Fire,SPD,14,59,,,,,
306034,화염의 제림니르 철퇴,MonsterPart,3,Fire,HIT,29,119,,,,,
306035,수액 덩어리,MonsterPart,2,Normal,ATK,6,22,,,,,
306036,화염의 수액 덩어리,MonsterPart,2,Fire,ATK,1,2,,,,,
306037,바람의 수액 덩어리,MonsterPart,2,Wind,ATK,1,2,,,,,
306038,대지의 수액 덩어리,MonsterPart,2,Land,ATK,1,2,,,,,
306039,물의 수액 덩어리,MonsterPart,2,Water,ATK,1,2,,,,,
306040,수액 덩어리(소),MonsterPart,1,Normal,ATK,2,11,,,,,
306041,화염의 수액 덩어리(소),MonsterPart,1,Fire,ATK,1,2,,,,,
306042,바람의 수액 덩어리(소),MonsterPart,1,Wind,ATK,1,2,,,,,
306043,대지의 수액 덩어리(소),MonsterPart,1,Land,ATK,1,2,,,,,
306044,물의 수액 덩어리(소),MonsterPart,1,Water,ATK,1,2,,,,,
306045,수액 덩어리(대),MonsterPart,3,Normal,ATK,13,53,,,,,
306046,화염의 수액 덩어리(대),MonsterPart,3,Fire,ATK,1,2,,,,,
306047,바람의 수액 덩어리(대),MonsterPart,3,Wind,ATK,1,2,,,,,
306048,대지의 수액 덩어리(대),MonsterPart,3,Land,ATK,1,2,,,,,
306049,물의 수액 덩어리(대),MonsterPart,3,Water,ATK,1,2,,,,,
306050,유령의 투구,MonsterPart,3,Wind,HP,99,399,,,,,
306051,유령의 검 조각,MonsterPart,3,Wind,SPD,14,59,,,,,
306052,유령의 혼,MonsterPart,3,Wind,HIT,29,119,,,,,
306053,펜리르의 발톱,MonsterPart,4,Wind,HP,1,2,,,,,
306054,펜리르의 황금 족쇄,MonsterPart,4,Wind,HP,1,2,,,,,
306055,펜리르의 갈기,MonsterPart,5,Wind,HP,1,2,,,,,
