id,required_action_point,required_gold,required_block_index,unlock_stage,material_id,material_count,material_2_id,material_2_count,material_3_id,material_3_count,option_id,option_ratio,option_2_id,option_2_ratio,option_3_id,option_3_ratio,option_4_id,option_4_ratio,max_option_limit
120,0,0,0,356,306035,5,306053,5,306055,5,437,0.5,438,0.2,439,0.15,440,0.15,2
121,0,0,0,73,306040,3,306041,3,306027,3,441,0.76,442,0.2,443,0.04,,,1
122,0,0,0,124,306041,3,306027,3,306028,3,444,0.46,445,0.37,446,0.11,447,0.06,1
123,0,0,0,198,306040,4,306027,4,306028,4,448,0.58,449,0.2,450,0.18,451,0.04,2
124,0,0,0,91,306040,3,306044,3,306003,3,452,0.56,453,0.32,454,0.12,,,1
125,0,0,0,148,306044,3,306004,3,306005,3,455,0.76,456,0.12,457,0.09,458,0.03,1
126,0,0,0,227,306040,4,306003,4,306005,4,459,0.71,460,0.16,461,0.08,462,0.05,2
127,0,0,0,197,306040,4,306043,4,306012,4,463,0.62,464,0.24,465,0.14,,,1
128,0,0,0,280,306040,4,306043,4,306013,4,466,0.31,467,0.24,468,0.25,469,0.2,1
129,0,0,0,390,306015,5,306016,5,306017,5,470,0.5,471,0.23,472,0.15,473,0.12,2
130,0,0,0,271,306035,5,306037,5,306053,5,474,0.64,475,0.19,476,0.17,,,1
131,0,0,0,367,306053,5,306054,5,306055,5,477,0.69,478,0.15,479,0.08,480,0.08,1
132,0,0,0,504,306037,6,306053,6,306055,6,481,0.5,482,0.2,483,0.15,484,0.15,2
133,0,0,0,145,306040,3,306041,3,306027,3,485,0.76,486,0.2,487,0.04,,,1
134,0,0,0,215,306040,4,306041,4,306026,4,488,0.46,489,0.37,490,0.11,491,0.06,1
135,0,0,0,308,306036,5,306030,5,306031,5,492,0.58,493,0.2,494,0.18,495,0.04,2
136,0,0,0,161,306040,3,306044,3,306004,3,496,0.56,497,0.32,498,0.12,,,1
137,0,0,0,235,306044,4,306003,4,306004,4,499,0.76,500,0.12,501,0.09,502,0.03,1
138,0,0,0,332,306039,5,306006,5,306007,5,503,0.71,504,0.16,505,0.08,506,0.05,2
139,0,0,0,286,306040,4,306012,4,306014,4,507,0.62,508,0.24,509,0.14,,,1
140,0,0,0,388,306015,5,306016,5,306017,5,510,0.31,511,0.24,512,0.25,513,0.2,1
141,0,0,0,530,306038,6,306016,6,306017,6,514,0.5,515,0.23,516,0.15,517,0.12,2
142,0,0,0,368,306035,5,306037,5,306053,5,518,0.64,519,0.19,520,0.17,,,1
143,0,0,0,494,306037,6,306054,6,306055,6,521,0.69,522,0.15,523,0.08,524,0.08,1
144,0,0,0,662,306037,7,306054,7,306055,7,525,0.5,526,0.2,527,0.15,528,0.15,2
145,0,0,0,231,306041,4,306026,4,306027,4,529,0.76,530,0.2,531,0.04,,,1
146,0,0,0,318,306040,4,306041,4,306027,4,532,0.46,533,0.37,534,0.11,535,0.06,1
147,0,0,0,440,306036,5,306029,5,306031,5,536,0.58,537,0.2,538,0.18,539,0.04,2
148,0,0,0,251,306040,4,306044,4,306005,4,540,0.56,541,0.32,542,0.12,,,1
149,0,0,0,342,306040,4,306004,4,306005,4,543,0.76,544,0.12,545,0.09,546,0.03,1
150,0,0,0,472,306035,5,306039,5,306007,5,547,0.71,548,0.16,549,0.08,550,0.05,2
151,0,0,0,403,306035,5,306015,5,306016,5,551,0.62,552,0.24,553,0.14,,,1
152,0,0,0,537,306035,5,306038,5,306015,5,554,0.31,555,0.24,556,0.25,557,0.2,1
153,0,0,0,714,306035,6,306015,6,306016,6,558,0.5,559,0.23,560,0.15,561,0.12,2
154,0,0,0,538,306035,6,306037,6,306054,6,562,0.64,563,0.19,564,0.17,,,1
155,0,0,0,701,306053,6,306054,6,306055,6,565,0.69,566,0.15,567,0.08,568,0.08,1
156,0,0,0,910,306037,7,306053,7,306054,7,569,0.5,570,0.2,571,0.15,572,0.15,2
157,0,0,0,319,306040,4,306041,4,306028,4,573,0.76,574,0.2,575,0.04,,,1
158,0,0,0,430,306035,5,306036,5,306029,5,576,0.46,577,0.37,578,0.11,579,0.06,1
159,0,0,0,584,306035,6,306029,6,306031,6,580,0.58,581,0.2,582,0.18,583,0.04,2
160,0,0,0,337,306040,4,306003,4,306004,4,584,0.56,585,0.32,586,0.12,,,1
161,0,0,0,454,306039,5,306006,5,306008,5,587,0.76,588,0.12,589,0.09,590,0.03,1
162,0,0,0,612,306035,6,306039,6,306006,6,591,0.71,592,0.16,593,0.08,594,0.05,2
163,0,0,0,583,306035,5,306038,5,306017,5,595,0.62,596,0.24,597,0.14,,,1
164,0,0,0,756,306035,6,306015,6,306016,6,598,0.31,599,0.24,600,0.25,601,0.2,1
165,0,0,0,974,306038,7,306019,7,306020,7,602,0.5,603,0.23,604,0.15,605,0.12,2
166,0,0,0,681,306037,6,306054,6,306055,6,606,0.64,607,0.19,608,0.17,,,1
167,0,0,0,872,306035,7,306037,7,306055,7,609,0.69,610,0.15,611,0.08,612,0.08,1
168,0,0,0,1108,306053,8,306054,8,306055,8,613,0.5,614,0.2,615,0.15,616,0.15,2
169,0,0,0,455,306035,5,306036,5,306030,5,617,0.76,618,0.2,619,0.04,,,1
170,0,0,0,600,306035,5,306029,5,306031,5,620,0.46,621,0.37,622,0.11,623,0.06,1
171,0,0,0,791,306036,6,306030,6,306031,6,624,0.58,625,0.2,626,0.18,627,0.04,2
172,0,0,0,495,306035,5,306006,5,306008,5,628,0.56,629,0.32,630,0.12,,,1
173,0,0,0,650,306035,5,306006,5,306007,5,631,0.76,632,0.12,633,0.09,634,0.03,1
174,0,0,0,850,306006,6,306007,6,306008,6,635,0.71,636,0.16,637,0.08,638,0.05,2
175,0,0,0,702,306035,6,306038,6,306015,6,639,0.62,640,0.24,641,0.14,,,1
176,0,0,0,896,306035,6,306038,6,306017,6,642,0.31,643,0.24,644,0.25,645,0.2,1
177,0,0,0,1136,306038,7,306018,7,306020,7,646,0.5,647,0.23,648,0.15,649,0.12,2
178,0,0,0,757,306035,7,306037,7,306055,7,650,0.64,651,0.19,652,0.17,,,1
179,0,0,0,959,306035,7,306037,7,306055,7,653,0.69,654,0.15,655,0.08,656,0.08,1
180,0,0,0,1207,306053,8,306054,8,306055,8,657,0.5,658,0.2,659,0.15,660,0.15,2
181,0,0,0,641,306035,5,306036,5,306031,5,661,0.76,662,0.2,663,0.04,,,1
182,0,0,0,824,306035,6,306029,6,306031,6,664,0.46,665,0.37,666,0.11,667,0.06,1
183,0,0,0,1052,306036,7,306032,7,306033,7,668,0.58,669,0.2,670,0.18,671,0.04,2
184,0,0,0,661,306035,5,306039,5,306008,5,672,0.56,673,0.32,674,0.12,,,1
185,0,0,0,848,306035,6,306006,6,306008,6,675,0.76,676,0.12,677,0.09,678,0.03,1
186,0,0,0,1080,306039,7,306007,7,306008,7,679,0.71,680,0.16,681,0.08,682,0.05,2
187,0,0,0,813,306035,6,306038,6,306015,6,683,0.62,684,0.24,685,0.14,,,1
188,0,0,0,1024,306035,7,306038,7,306018,7,686,0.31,687,0.24,688,0.25,689,0.2,1
189,0,0,0,1282,306035,8,306019,8,306020,8,690,0.5,691,0.23,692,0.15,693,0.12,2
190,0,0,0,837,306035,7,306037,7,306053,7,694,0.64,695,0.19,696,0.17,,,1
191,0,0,0,1050,306035,8,306037,8,306055,8,697,0.69,698,0.15,699,0.08,700,0.08,1
192,0,0,0,1312,306037,9,306054,9,306055,9,701,0.5,702,0.2,703,0.15,704,0.15,2
193,0,0,0,14,306040,1,306041,1,306025,1,705,0.76,706,0.2,707,0.04,,,1
194,0,0,0,39,306040,1,306041,1,306025,1,708,0.46,709,0.37,710,0.11,711,0.06,1
195,0,0,0,86,306041,2,306024,2,306025,2,712,0.58,713,0.2,714,0.18,715,0.04,2
196,0,0,0,17,306040,1,306000,1,306001,1,716,0.56,717,0.32,718,0.12,,,1
197,0,0,0,49,306044,1,306000,1,306002,1,719,0.76,720,0.12,721,0.09,722,0.03,1
198,0,0,0,101,306044,2,306001,2,306002,2,723,0.71,724,0.16,725,0.08,726,0.05,2
199,0,0,0,64,306040,2,306043,2,306009,2,727,0.62,728,0.24,729,0.14,,,1
200,0,0,0,114,306043,2,306009,2,306011,2,730,0.31,731,0.24,732,0.25,733,0.2,1
201,0,0,0,186,306043,3,306012,3,306014,3,734,0.5,735,0.23,736,0.15,737,0.12,2
202,0,0,0,133,306040,3,306050,3,306051,3,738,0.64,739,0.19,740,0.17,,,1
203,0,0,0,200,306040,3,306042,3,306051,3,741,0.69,742,0.15,743,0.08,744,0.08,1
204,0,0,0,292,306040,4,306050,4,306051,4,745,0.5,746,0.2,747,0.15,748,0.15,2
205,0,0,0,36,306040,2,306041,2,306023,2,749,0.76,750,0.2,751,0.04,,,1
206,0,0,0,75,306040,2,306023,2,306025,2,752,0.46,753,0.37,754,0.11,755,0.06,1
207,0,0,0,134,306041,3,306026,3,306027,3,756,0.58,757,0.2,758,0.18,759,0.04,2
208,0,0,0,48,306040,2,306044,2,306000,2,760,0.56,761,0.32,762,0.12,,,1
209,0,0,0,93,306040,2,306000,2,306002,2,763,0.76,764,0.12,765,0.09,766,0.03,1
210,0,0,0,158,306040,3,306003,3,306005,3,767,0.71,768,0.16,769,0.08,770,0.05,2
211,0,0,0,157,306040,3,306043,3,306012,3,771,0.62,772,0.24,773,0.14,,,1
212,0,0,0,230,306040,3,306043,3,306012,3,774,0.31,775,0.24,776,0.25,777,0.2,1
213,0,0,0,326,306043,4,306012,4,306014,4,778,0.5,779,0.23,780,0.15,781,0.12,2
214,0,0,0,266,306040,4,306050,4,306051,4,782,0.64,783,0.19,784,0.17,,,1
215,0,0,0,360,306040,4,306042,4,306051,4,785,0.69,786,0.15,787,0.08,788,0.08,1
216,0,0,0,496,306037,5,306053,5,306055,5,789,0.5,790,0.2,791,0.15,792,0.15,2
217,0,0,0,85,306040,3,306041,3,306026,3,793,0.76,794,0.2,795,0.04,,,1
218,0,0,0,140,306041,3,306027,3,306028,3,796,0.46,797,0.37,798,0.11,799,0.06,1
219,0,0,0,217,306026,4,306027,4,306028,4,800,0.58,801,0.2,802,0.18,803,0.04,2
220,0,0,0,103,306040,3,306044,3,306004,3,804,0.56,805,0.32,806,0.12,,,1
221,0,0,0,164,306040,3,306044,3,306004,3,807,0.76,808,0.12,809,0.09,810,0.03,1
222,0,0,0,247,306003,4,306004,4,306005,4,811,0.71,812,0.16,813,0.08,814,0.05,2
223,0,0,0,307,306040,4,306012,4,306013,4,815,0.62,816,0.24,817,0.14,,,1
224,0,0,0,416,306040,4,306043,4,306013,4,818,0.31,819,0.24,820,0.25,821,0.2,1
225,0,0,0,566,306038,5,306016,5,306017,5,822,0.5,823,0.23,824,0.15,825,0.12,2
226,0,0,0,479,306035,5,306037,5,306055,5,826,0.64,827,0.19,828,0.17,,,1
227,0,0,0,630,306035,5,306054,5,306055,5,829,0.69,830,0.15,831,0.08,832,0.08,1
228,0,0,0,826,306053,6,306054,6,306055,6,833,0.5,834,0.2,835,0.15,836,0.15,2
229,0,0,0,185,306040,4,306041,4,306026,4,837,0.76,838,0.2,839,0.04,,,1
230,0,0,0,265,306040,4,306041,4,306027,4,840,0.46,841,0.37,842,0.11,843,0.06,1
231,0,0,0,369,306029,5,306030,5,306031,5,844,0.58,845,0.2,846,0.18,847,0.04,2
232,0,0,0,221,306040,4,306044,4,306004,4,848,0.56,849,0.32,850,0.12,,,1
233,0,0,0,306,306040,4,306044,4,306003,4,851,0.76,852,0.12,853,0.09,854,0.03,1
234,0,0,0,425,306039,5,306007,5,306008,5,855,0.71,856,0.16,857,0.08,858,0.05,2
235,0,0,0,520,306035,5,306038,5,306015,5,859,0.62,860,0.24,861,0.14,,,1
236,0,0,0,680,306035,5,306038,5,306016,5,862,0.31,863,0.24,864,0.25,865,0.2,1
237,0,0,0,886,306038,6,306015,6,306016,6,866,0.5,867,0.23,868,0.15,869,0.12,2
238,0,0,0,565,306035,6,306037,6,306054,6,870,0.64,871,0.19,872,0.17,,,1
239,0,0,0,734,306035,6,306037,6,306054,6,873,0.69,874,0.15,875,0.08,876,0.08,1
240,0,0,0,948,306035,7,306054,7,306055,7,877,0.5,878,0.2,879,0.15,880,0.15,2
241,0,0,0,361,306035,5,306036,5,306030,5,881,0.76,882,0.2,883,0.04,,,1
242,0,0,0,486,306036,5,306030,5,306031,5,884,0.46,885,0.37,886,0.11,887,0.06,1
243,0,0,0,652,306035,6,306030,6,306031,6,888,0.58,889,0.2,890,0.18,891,0.04,2
244,0,0,0,439,306035,5,306006,5,306007,5,892,0.56,893,0.32,894,0.12,,,1
245,0,0,0,582,306006,5,306007,5,306008,5,895,0.76,896,0.12,897,0.09,898,0.03,1
246,0,0,0,769,306035,6,306007,6,306008,6,899,0.71,900,0.16,901,0.08,902,0.05,2
247,0,0,0,713,306038,6,306015,6,306016,6,903,0.62,904,0.24,905,0.14,,,1
248,0,0,0,908,306035,6,306038,6,306017,6,906,0.31,907,0.24,908,0.25,909,0.2,1
249,0,0,0,1150,306038,7,306018,7,306020,7,910,0.5,911,0.23,912,0.15,913,0.12,2
250,0,0,0,768,306035,7,306037,7,306054,7,914,0.64,915,0.19,916,0.17,,,1
251,0,0,0,972,306035,7,306053,7,306054,7,917,0.69,918,0.15,919,0.08,920,0.08,1
252,0,0,0,1222,306035,8,306037,8,306054,8,921,0.5,922,0.2,923,0.15,924,0.15,2
253,0,0,0,17,306040,1,306041,1,306025,1,925,0.76,926,0.2,927,0.04,,,1
254,0,0,0,43,306041,1,306023,1,306024,1,928,0.46,929,0.37,930,0.11,931,0.06,1
255,0,0,0,92,306041,2,306023,2,306024,2,932,0.58,933,0.2,934,0.18,935,0.04,2
256,0,0,0,26,306040,1,306044,1,306001,1,936,0.56,937,0.32,938,0.12,,,1
257,0,0,0,60,306040,1,306044,1,306002,1,939,0.76,940,0.12,941,0.09,942,0.03,1
258,0,0,0,116,306000,2,306001,2,306002,2,943,0.71,944,0.16,945,0.08,946,0.05,2
259,0,0,0,76,306040,2,306043,2,306009,2,947,0.62,948,0.24,949,0.14,,,1
260,0,0,0,128,306040,2,306010,2,306011,2,950,0.31,951,0.24,952,0.25,953,0.2,1
261,0,0,0,202,306040,3,306013,3,306014,3,954,0.5,955,0.23,956,0.15,957,0.12,2
262,0,0,0,149,306040,3,306042,3,306051,3,958,0.64,959,0.19,960,0.17,,,1
263,0,0,0,220,306040,3,306042,3,306051,3,961,0.69,962,0.15,963,0.08,964,0.08,1
264,0,0,0,314,306040,4,306042,4,306051,4,965,0.5,966,0.2,967,0.15,968,0.15,2
265,0,0,0,44,306040,2,306041,2,306024,2,969,0.76,970,0.2,971,0.04,,,1
266,0,0,0,87,306040,2,306024,2,306025,2,972,0.46,973,0.37,974,0.11,975,0.06,1
267,0,0,0,150,306041,3,306026,3,306027,3,976,0.58,977,0.2,978,0.18,979,0.04,2
268,0,0,0,56,306040,2,306044,2,306000,2,980,0.56,981,0.32,982,0.12,,,1
269,0,0,0,105,306040,2,306044,2,306002,2,983,0.76,984,0.12,985,0.09,986,0.03,1
270,0,0,0,174,306040,3,306003,3,306005,3,987,0.71,988,0.16,989,0.08,990,0.05,2
271,0,0,0,173,306040,3,306013,3,306014,3,991,0.62,992,0.24,993,0.14,,,1
272,0,0,0,250,306043,3,306013,3,306014,3,994,0.31,995,0.24,996,0.25,997,0.2,1
273,0,0,0,350,306043,4,306012,4,306013,4,998,0.5,999,0.23,1000,0.15,1001,0.12,2
274,0,0,0,291,306040,4,306042,4,306052,4,1002,0.64,1003,0.19,1004,0.17,,,1
275,0,0,0,395,306042,4,306051,4,306052,4,1005,0.69,1006,0.15,1007,0.08,1008,0.08,1
276,0,0,0,539,306053,5,306054,5,306055,5,1009,0.5,1010,0.2,1011,0.15,1012,0.15,2
