id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max,grade
460,DEF,34,42,,,,,,2
461,HP,577,705,,,,,,1
462,SPD,195,239,,,,,,1
463,HP,3374,6267,,,,,,1
464,DEF,168,313,,,,,,2
465,HP,5062,9401,,,,,,1
466,DEF,253,470,,,,,,1
467,HP,5062,9401,,,,,,1
468,HP,7593,14102,,,,,,2
469,,,,220000,,,8,16,1
470,HP,2531,4700,,,,,,1
471,DEF,126,235,,,,,,1
472,HP,2531,4700,,,,,,2
473,SPD,885,1645,,,,,,1
474,HP,3653,8524,,,,,,1
475,DEF,223,520,,,,,,1
476,HP,5479,12786,,,,,,2
477,DEF,334,781,,,,,,1
478,HP,5479,12786,,,,,,1
479,HP,8219,19179,,,,,,1
480,,,,220000,,,8,16,2
481,HP,1826,4262,,,,,,1
482,DEF,106,248,,,,,,1
483,CRI,8,19,,,,,,1
484,HP,3653,8524,,,,,,2
485,HP,1104,1657,,,,,,1
486,DEF,44,66,,,,,,1
487,HP,1657,2485,,,,,,1
488,DEF,54,81,,,,,,2
489,HP,1353,2029,,,,,,1
490,HP,2029,3044,,,,,,1
491,,,,220000,,,8,16,1
492,HP,828,1242,,,,,,2
493,DEF,33,49,,,,,,1
494,HP,828,1242,,,,,,1
495,SPD,347,521,,,,,,1
496,HP,1492,1824,,,,,,2
497,DEF,90,110,,,,,,1
498,HP,2239,2736,,,,,,1
499,DEF,110,135,,,,,,1
500,HP,1828,2234,,,,,,2
501,HP,2742,3351,,,,,,1
502,,,,220000,,,8,16,1
503,HP,1119,1368,,,,,,1
504,DEF,67,82,,,,,,2
505,HP,1119,1368,,,,,,1
506,SPD,379,464,,,,,,1
507,HP,3086,5731,,,,,,1
508,DEF,154,286,,,,,,2
509,HP,4629,8597,,,,,,1
510,DEF,188,350,,,,,,1
511,HP,3779,7019,,,,,,1
512,HP,5669,10529,,,,,,2
513,,,,220000,,,8,16,1
514,HP,2314,4298,,,,,,1
515,DEF,115,214,,,,,,1
516,HP,2314,4298,,,,,,2
517,SPD,810,1504,,,,,,1
518,HP,3179,7419,,,,,,1
519,DEF,185,432,,,,,,1
520,HP,4769,11129,,,,,,2
521,DEF,227,530,,,,,,1
522,HP,3894,9087,,,,,,1
523,HP,5841,13631,,,,,,1
524,,,,220000,,,8,16,2
525,HP,2384,5564,,,,,,1
526,DEF,139,324,,,,,,1
527,CRI,6,15,,,,,,1
528,HP,4769,11129,,,,,,2
529,HP,2609,3914,,,,,,1
530,DEF,104,156,,,,,,1
531,HP,3914,5871,,,,,,1
532,DEF,127,191,,,,,,2
533,HP,3195,4793,,,,,,1
534,HP,4793,7190,,,,,,1
535,,,,220000,,,8,16,1
536,HP,1957,2935,,,,,,2
537,DEF,78,117,,,,,,1
538,HP,1957,2935,,,,,,1
539,SPD,821,1232,,,,,,1
540,HP,3406,4162,,,,,,2
541,DEF,206,252,,,,,,1
542,HP,5109,6244,,,,,,1
543,DEF,252,308,,,,,,1
544,HP,4171,5098,,,,,,2
545,HP,6257,7647,,,,,,1
546,,,,220000,,,8,16,1
547,HP,2554,3122,,,,,,1
548,DEF,154,189,,,,,,2
549,HP,2554,3122,,,,,,1
550,SPD,866,1059,,,,,,1
551,HP,6089,11309,,,,,,1
552,DEF,304,565,,,,,,2
553,HP,9134,16964,,,,,,1
554,DEF,372,692,,,,,,1
555,HP,7458,13851,,,,,,1
556,HP,11187,20777,,,,,,2
557,,,,220000,,,8,16,1
558,HP,4567,8482,,,,,,1
559,DEF,228,424,,,,,,1
560,HP,4567,8482,,,,,,2
561,SPD,1598,2968,,,,,,1
562,HP,5679,13251,,,,,,1
563,DEF,331,773,,,,,,1
564,HP,8518,19877,,,,,,2
565,DEF,405,946,,,,,,1
566,HP,6955,16229,,,,,,1
567,HP,10433,24344,,,,,,1
568,,,,220000,,,8,16,2
569,HP,4259,9938,,,,,,1
570,DEF,248,579,,,,,,1
571,CRI,8,19,,,,,,1
572,HP,8518,19877,,,,,,2
573,HP,3755,5633,,,,,,1
574,DEF,150,225,,,,,,1
575,HP,5633,8450,,,,,,1
576,DEF,183,275,,,,,,2
577,HP,4599,6899,,,,,,1
578,HP,6899,10349,,,,,,1
579,,,,220000,,,8,16,1
580,HP,2816,4225,,,,,,2
581,DEF,112,169,,,,,,1
582,HP,2816,4225,,,,,,1
583,SPD,1183,1774,,,,,,1
584,HP,4907,5998,,,,,,2
585,DEF,297,363,,,,,,1
586,HP,7361,8997,,,,,,1
587,DEF,364,445,,,,,,1
588,HP,6010,7346,,,,,,2
589,HP,9015,11019,,,,,,1
590,,,,220000,,,8,16,1
591,HP,3680,4498,,,,,,1
592,DEF,223,272,,,,,,2
593,HP,3680,4498,,,,,,1
594,SPD,1249,1526,,,,,,1
595,HP,10765,19992,,,,,,1
596,DEF,538,999,,,,,,2
597,HP,16147,29989,,,,,,1
598,DEF,659,1224,,,,,,1
599,HP,13184,24485,,,,,,1
600,HP,19777,36728,,,,,,2
601,,,,220000,,,8,16,1
602,HP,8073,14994,,,,,,1
603,DEF,403,749,,,,,,1
604,HP,8073,14994,,,,,,2
605,SPD,2825,5248,,,,,,1
606,HP,8794,20519,,,,,,1
607,DEF,512,1196,,,,,,1
608,HP,13191,30779,,,,,,2
609,DEF,628,1465,,,,,,1
610,HP,10770,25131,,,,,,1
611,HP,16155,37696,,,,,,1
612,,,,220000,,,8,16,2
613,HP,6595,15389,,,,,,1
614,DEF,384,897,,,,,,1
615,CRI,10,23,,,,,,1
616,HP,13191,30779,,,,,,2
617,HP,6542,9814,,,,,,1
618,DEF,261,392,,,,,,1
619,HP,9814,14721,,,,,,1
620,DEF,320,480,,,,,,2
621,HP,8013,12019,,,,,,1
622,HP,12019,18029,,,,,,1
623,,,,220000,,,8,16,1
624,HP,4907,7360,,,,,,2
625,DEF,196,294,,,,,,1
626,HP,4907,7360,,,,,,1
627,SPD,2060,3091,,,,,,1
628,HP,8803,10760,,,,,,2
629,DEF,533,652,,,,,,1
630,HP,13205,16140,,,,,,1
631,DEF,653,798,,,,,,1
632,HP,10782,13178,,,,,,2
633,HP,16173,19767,,,,,,1
634,,,,220000,,,8,16,1
635,HP,6602,8070,,,,,,1
636,DEF,400,489,,,,,,2
637,HP,6602,8070,,,,,,1
638,SPD,2240,2738,,,,,,1
639,HP,15862,29458,,,,,,1
640,DEF,793,1472,,,,,,2
641,HP,23793,44187,,,,,,1
642,DEF,971,1803,,,,,,1
643,HP,19427,36078,,,,,,1
644,HP,29140,54118,,,,,,2
645,,,,220000,,,8,16,1
646,HP,11896,22093,,,,,,1
647,DEF,594,1104,,,,,,1
648,HP,11896,22093,,,,,,2
649,SPD,4163,7732,,,,,,1
650,HP,11967,27923,,,,,,1
651,DEF,698,1628,,,,,,1
652,HP,17950,41885,,,,,,2
653,DEF,854,1994,,,,,,1
654,HP,14656,34199,,,,,,1
655,HP,21985,51298,,,,,,1
656,,,,220000,,,8,16,2
657,HP,8975,20942,,,,,,1
658,DEF,523,1221,,,,,,1
659,CRI,12,28,,,,,,1
660,HP,17950,41885,,,,,,2
661,HP,11267,16901,,,,,,1
662,DEF,450,676,,,,,,1
663,HP,16901,25351,,,,,,1
664,DEF,551,827,,,,,,2
665,HP,13799,20699,,,,,,1
666,HP,20699,31049,,,,,,1
667,,,,220000,,,8,16,1
668,HP,8450,12675,,,,,,2
669,DEF,338,507,,,,,,1
670,HP,8450,12675,,,,,,1
671,SPD,3549,5323,,,,,,1
672,HP,14376,17571,,,,,,2
673,DEF,871,1064,,,,,,1
674,HP,21564,26356,,,,,,1
675,DEF,1067,1304,,,,,,1
676,HP,17607,21520,,,,,,2
677,HP,26411,32280,,,,,,1
678,,,,220000,,,8,16,1
679,HP,10782,13178,,,,,,1
680,DEF,653,798,,,,,,2
681,HP,10782,13178,,,,,,1
682,SPD,3659,4472,,,,,,1
683,HP,22485,41759,,,,,,1
684,DEF,1124,2087,,,,,,2
685,HP,33728,62639,,,,,,1
686,DEF,1376,2557,,,,,,1
687,HP,27539,51144,,,,,,1
688,HP,41309,76717,,,,,,2
689,,,,220000,,,8,16,1
690,HP,16864,31319,,,,,,1
691,DEF,843,1565,,,,,,1
692,HP,16864,31319,,,,,,2
693,SPD,5902,10961,,,,,,1
694,HP,16199,37799,,,,,,1
695,DEF,944,2204,,,,,,1
696,HP,24299,56698,,,,,,2
697,DEF,1157,2700,,,,,,1
698,HP,19840,46294,,,,,,1
699,HP,29760,69441,,,,,,1
700,,,,220000,,,8,16,2
701,HP,12149,28349,,,,,,1
702,DEF,708,1653,,,,,,1
703,CRI,15,35,,,,,,1
704,HP,24299,56698,,,,,,2
705,HIT,34,51,,,,,,1
706,ATK,7,11,,,,,,1
707,SPD,29,44,,,,,,1
708,SPD,24,36,,,,,,2
709,ATK,9,13,,,,,,1
710,HIT,62,93,,,,,,1
711,,,,250000,,,8,16,1
712,SPD,367,551,,,,,,2
713,ATK,140,210,,,,,,1
714,SPD,551,827,,,,,,1
715,HIT,946,1419,,,,,,1
716,HIT,38,46,,,,,,2
717,ATK,8,10,,,,,,1
718,SPD,35,43,,,,,,1
719,SPD,29,35,,,,,,1
720,ATK,10,12,,,,,,2
721,HIT,69,85,,,,,,1
722,,,,250000,,,8,16,1
723,SPD,447,547,,,,,,1
724,ATK,159,195,,,,,,2
725,SPD,671,821,,,,,,1
726,HIT,1079,1319,,,,,,1
727,HIT,92,172,,,,,,1
728,ATK,22,42,,,,,,2
729,SPD,108,201,,,,,,1
730,SPD,88,164,,,,,,1
731,ATK,28,52,,,,,,1
732,HIT,170,317,,,,,,2
733,,,,250000,,,8,16,1
734,SPD,520,965,,,,,,1
735,ATK,165,306,,,,,,1
736,SPD,780,1448,,,,,,2
737,HIT,1003,1862,,,,,,1
738,HIT,254,593,,,,,,1
739,ATK,56,131,,,,,,1
740,SPD,323,755,,,,,,2
741,SPD,264,617,,,,,,1
742,ATK,69,161,,,,,,1
743,HIT,467,1091,,,,,,1
744,,,,250000,,,8,16,2
745,SPD,161,377,,,,,,1
746,ATK,42,98,,,,,,1
747,CRI,2,6,,,,,,1
748,HIT,381,890,,,,,,2
749,HIT,80,121,,,,,,1
750,ATK,17,26,,,,,,1
751,SPD,70,106,,,,,,1
752,SPD,57,86,,,,,,2
753,ATK,22,33,,,,,,1
754,HIT,148,222,,,,,,1
755,,,,250000,,,8,16,1
756,SPD,35,53,,,,,,2
757,ATK,13,20,,,,,,1
758,CRI,2,3,,,,,,1
759,HIT,121,181,,,,,,1
760,HIT,89,109,,,,,,2
761,ATK,19,24,,,,,,1
762,SPD,83,102,,,,,,1
763,SPD,68,83,,,,,,1
764,ATK,24,29,,,,,,2
765,HIT,164,201,,,,,,1
766,,,,250000,,,8,16,1
767,SPD,41,51,,,,,,1
768,ATK,14,18,,,,,,2
769,CRI,2,2,,,,,,1
770,HIT,134,164,,,,,,1
771,HIT,278,518,,,,,,1
772,ATK,68,127,,,,,,2
773,SPD,325,604,,,,,,1
774,SPD,265,493,,,,,,1
775,ATK,84,156,,,,,,1
776,HIT,512,951,,,,,,2
777,,,,250000,,,8,16,1
778,SPD,162,302,,,,,,1
779,ATK,51,95,,,,,,1
780,CRI,3,6,,,,,,2
781,HIT,418,777,,,,,,1
782,HIT,535,1248,,,,,,1
