level,exp,exp_need
354,166000,1000
355,167000,1000
356,168000,1000
357,169000,1000
358,170000,1000
359,171000,1000
360,172000,1000
361,173000,1000
362,174000,1000
363,175000,1000
364,176000,1000
365,177000,1000
366,178000,1000
367,179000,1000
368,180000,1000
369,181000,1000
370,182000,1000
371,183000,1000
372,184000,1000
373,185000,1000
374,186000,1000
375,187000,1000
376,188000,1000
377,189000,1000
378,190000,1000
379,191000,1000
380,192000,1000
381,193000,1000
382,194000,1000
383,195000,1000
384,196000,1000
385,197000,1000
386,198000,1000
387,199000,1000
388,200000,1000
389,201000,1000
390,202000,1000
391,203000,1000
392,204000,1000
393,205000,1000
394,206000,1000
395,207000,1000
396,208000,1000
397,209000,1000
398,210000,1000
399,211000,1000
400,212000,1000
