id,item_sub_type,grade,level,cost,success_ratio,great_success_ratio,fail_ratio,success_required_block_index,great_success_required_block_index,fail_required_block_index,base_stat_growth_min,base_stat_growth_max,extra_stat_growth_min,extra_stat_growth_max,extra_skill_damage_growth_min,extra_skill_damage_growth_max,extra_skill_chance_growth_min,extra_skill_chance_growth_max
24,Weapon,2,3,0,7500,2500,0,187,233,50,800,1200,0,0,0,0,0,0
25,Weapon,2,4,20,7500,2500,0,937,1171,50,800,1200,2500,3500,2500,3500,1200,1800
26,Weapon,2,5,0,7625,2375,0,1387,1733,50,800,1200,0,0,0,0,0,0
27,Weapon,2,6,0,7750,2250,0,1950,2437,50,800,1200,0,0,0,0,0,0
28,Weapon,2,7,40,7625,2375,0,3750,4687,50,800,1200,2500,3500,2500,3500,1200,1800
29,Weapon,2,8,0,7750,2250,0,4462,5577,50,800,1200,600,1000,600,1000,400,600
30,Weapon,2,9,0,7850,2150,0,5250,6562,50,800,1200,600,1000,600,1000,400,600
31,Weapon,2,10,80,7625,2375,0,7125,8906,50,800,1200,1100,1700,1100,1700,700,1100
32,Weapon,2,11,0,7950,2050,0,7500,9375,50,800,1200,600,1000,600,1000,400,600
33,Weapon,2,12,0,8025,1975,0,7875,9843,50,800,1200,600,1000,600,1000,400,600
34,Weapon,2,13,160,7825,2175,0,8250,10312,50,800,1200,1100,1700,1100,1700,700,1100
35,Weapon,2,14,0,8100,1900,0,8625,10781,50,800,1200,600,1000,600,1000,400,600
36,Weapon,2,15,0,8175,1825,0,9000,11250,50,800,1200,600,1000,600,1000,400,600
37,Weapon,2,16,320,8000,2000,0,9375,11718,50,800,1200,1100,1700,1100,1700,700,1100
38,Weapon,2,17,0,8225,1775,0,9750,12187,50,800,1200,600,1000,600,1000,400,600
39,Weapon,2,18,0,8275,1725,0,10125,12656,50,800,1200,600,1000,600,1000,400,600
40,Weapon,2,19,640,8125,1875,0,10500,13125,50,800,1200,1100,1700,1100,1700,700,1100
41,Weapon,2,20,0,8750,1250,0,10875,13593,50,800,1200,800,1200,800,1200,400,600
42,Weapon,2,21,0,8750,1250,0,11250,14062,50,800,1200,800,1200,800,1200,400,600
43,Weapon,3,1,0,7500,2500,0,75,93,50,800,1200,0,0,0,0,0,0
44,Weapon,3,2,0,7500,2500,0,187,233,50,800,1200,0,0,0,0,0,0
45,Weapon,3,3,0,7500,2500,0,375,468,50,800,1200,0,0,0,0,0,0
46,Weapon,3,4,30,7500,2500,0,1875,2343,50,800,1200,2500,3500,2500,3500,1200,1800
47,Weapon,3,5,0,7625,2375,0,2775,3468,50,800,1200,0,0,0,0,0,0
48,Weapon,3,6,0,7750,2250,0,3900,4875,50,800,1200,0,0,0,0,0,0
49,Weapon,3,7,60,7625,2375,0,7500,9375,50,800,1200,2500,3500,2500,3500,1200,1800
50,Weapon,3,8,0,7750,2250,0,8925,11156,50,800,1200,600,1000,600,1000,400,600
51,Weapon,3,9,0,7850,2150,0,10500,13125,50,800,1200,600,1000,600,1000,400,600
52,Weapon,3,10,120,7625,2375,0,14250,17812,50,800,1200,1100,1700,1100,1700,700,1100
53,Weapon,3,11,0,7950,2050,0,15000,18750,50,800,1200,600,1000,600,1000,400,600
54,Weapon,3,12,0,8025,1975,0,15750,19687,50,800,1200,600,1000,600,1000,400,600
55,Weapon,3,13,240,7825,2175,0,16500,20625,50,800,1200,1100,1700,1100,1700,700,1100
56,Weapon,3,14,0,8100,1900,0,17250,21562,50,800,1200,600,1000,600,1000,400,600
57,Weapon,3,15,0,8175,1825,0,18000,22500,50,800,1200,600,1000,600,1000,400,600
58,Weapon,3,16,480,8000,2000,0,18750,23437,50,800,1200,1100,1700,1100,1700,700,1100
59,Weapon,3,17,0,8225,1775,0,19500,24375,50,800,1200,600,1000,600,1000,400,600
60,Weapon,3,18,0,8275,1725,0,20250,25312,50,800,1200,600,1000,600,1000,400,600
61,Weapon,3,19,960,8125,1875,0,21000,26250,50,800,1200,1100,1700,1100,1700,700,1100
62,Weapon,3,20,0,8750,1250,0,21750,27187,50,800,1200,800,1200,800,1200,400,600
63,Weapon,3,21,0,8750,1250,0,22500,28125,50,800,1200,800,1200,800,1200,400,600
64,Weapon,4,1,0,7500,2500,0,162,202,50,800,1200,0,0,0,0,0,0
65,Weapon,4,2,0,7500,2500,0,406,507,50,800,1200,0,0,0,0,0,0
66,Weapon,4,3,0,7500,2500,0,812,1015,50,800,1200,0,0,0,0,0,0
67,Weapon,4,4,40,7500,2500,0,4062,5077,50,800,1200,2500,3500,2500,3500,1200,1800
68,Weapon,4,5,0,7625,2375,0,6012,7515,50,800,1200,0,0,0,0,0,0
69,Weapon,4,6,0,7750,2250,0,8450,10562,50,800,1200,0,0,0,0,0,0
70,Weapon,4,7,80,7625,2375,0,16250,20312,50,800,1200,2500,3500,2500,3500,1200,1800
71,Weapon,4,8,0,7750,2250,0,19337,24171,50,800,1200,600,1000,600,1000,400,600
72,Weapon,4,9,0,7850,2150,0,22750,28437,50,800,1200,600,1000,600,1000,400,600
73,Weapon,4,10,160,7625,2375,0,30875,38593,50,800,1200,1100,1700,1100,1700,700,1100
74,Weapon,4,11,0,7950,2050,0,32500,40625,50,800,1200,600,1000,600,1000,400,600
75,Weapon,4,12,0,8025,1975,0,34125,42656,50,800,1200,600,1000,600,1000,400,600
76,Weapon,4,13,320,7825,2175,0,35750,44687,50,800,1200,1100,1700,1100,1700,700,1100
77,Weapon,4,14,0,8100,1900,0,37375,46718,50,800,1200,600,1000,600,1000,400,600
78,Weapon,4,15,0,8175,1825,0,39000,48750,50,800,1200,600,1000,600,1000,400,600
79,Weapon,4,16,640,8000,2000,0,40625,50781,50,800,1200,1100,1700,1100,1700,700,1100
80,Weapon,4,17,0,8225,1775,0,42250,52812,50,800,1200,600,1000,600,1000,400,600
81,Weapon,4,18,0,8275,1725,0,43875,54843,50,800,1200,600,1000,600,1000,400,600
82,Weapon,4,19,1280,8125,1875,0,45500,56875,50,800,1200,1100,1700,1100,1700,700,1100
83,Weapon,4,20,0,8750,1250,0,47125,58906,50,800,1200,800,1200,800,1200,400,600
84,Weapon,4,21,0,8750,1250,0,48750,60937,50,800,1200,800,1200,800,1200,400,600
85,Weapon,5,1,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
86,Weapon,5,2,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
87,Weapon,5,3,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
88,Weapon,5,4,20,7500,2500,0,3600,7200,0,3500,3600,3500,3600,2000,2000,1500,1500
89,Weapon,5,5,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
90,Weapon,5,6,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,2000,2000,1500,1500
91,Weapon,5,7,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
92,Weapon,5,8,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
93,Weapon,5,9,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,2000,2000,1500,1500
94,Weapon,5,10,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
95,Weapon,5,11,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
96,Weapon,5,12,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
97,Weapon,5,13,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
98,Weapon,5,14,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
99,Weapon,5,15,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
100,Weapon,5,16,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
101,Weapon,5,17,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
102,Weapon,5,18,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
103,Weapon,5,19,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
104,Weapon,5,20,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
105,Weapon,5,21,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
106,Armor,1,1,0,7500,2500,0,20,25,50,800,1200,0,0,0,0,0,0
107,Armor,1,2,0,7500,2500,0,50,62,50,800,1200,0,0,0,0,0,0
108,Armor,1,3,0,7500,2500,0,100,125,50,800,1200,0,0,0,0,0,0
109,Armor,1,4,10,7500,2500,0,500,625,50,800,1200,2500,3500,2500,3500,1200,1800
110,Armor,1,5,0,7625,2375,0,740,925,50,800,1200,0,0,0,0,0,0
111,Armor,1,6,0,7750,2250,0,1040,1300,50,800,1200,0,0,0,0,0,0
112,Armor,1,7,20,7625,2375,0,2000,2500,50,800,1200,2500,3500,2500,3500,1200,1800
113,Armor,1,8,0,7750,2250,0,2380,2975,50,800,1200,600,1000,600,1000,400,600
114,Armor,1,9,0,7850,2150,0,2800,3500,50,800,1200,600,1000,600,1000,400,600
115,Armor,1,10,40,7625,2375,0,3800,4750,50,800,1200,1100,1700,1100,1700,700,1100
116,Armor,1,11,0,7950,2050,0,4000,5000,50,800,1200,600,1000,600,1000,400,600
117,Armor,1,12,0,8025,1975,0,4200,5250,50,800,1200,600,1000,600,1000,400,600
118,Armor,1,13,80,7825,2175,0,4400,5500,50,800,1200,1100,1700,1100,1700,700,1100
119,Armor,1,14,0,8100,1900,0,4600,5750,50,800,1200,600,1000,600,1000,400,600
120,Armor,1,15,0,8175,1825,0,4800,6000,50,800,1200,600,1000,600,1000,400,600
121,Armor,1,16,160,8000,2000,0,5000,6250,50,800,1200,1100,1700,1100,1700,700,1100
122,Armor,1,17,0,8225,1775,0,5200,6500,50,800,1200,600,1000,600,1000,400,600
123,Armor,1,18,0,8275,1725,0,5400,6750,50,800,1200,600,1000,600,1000,400,600
124,Armor,1,19,320,8125,1875,0,5600,7000,50,800,1200,1100,1700,1100,1700,700,1100
125,Armor,1,20,0,8750,1250,0,5800,7250,50,800,1200,800,1200,800,1200,400,600
126,Armor,1,21,0,8750,1250,0,6000,7500,50,800,1200,800,1200,800,1200,400,600
127,Armor,2,1,0,7500,2500,0,30,37,50,800,1200,0,0,0,0,0,0
128,Armor,2,2,0,7500,2500,0,75,93,50,800,1200,0,0,0,0,0,0
129,Armor,2,3,0,7500,2500,0,150,187,50,800,1200,0,0,0,0,0,0
130,Armor,2,4,20,7500,2500,0,750,937,50,800,1200,2500,3500,2500,3500,1200,1800
131,Armor,2,5,0,7625,2375,0,1110,1387,50,800,1200,0,0,0,0,0,0
132,Armor,2,6,0,7750,2250,0,1560,1950,50,800,1200,0,0,0,0,0,0
133,Armor,2,7,40,7625,2375,0,3000,3750,50,800,1200,2500,3500,2500,3500,1200,1800
134,Armor,2,8,0,7750,2250,0,3570,4462,50,800,1200,600,1000,600,1000,400,600
135,Armor,2,9,0,7850,2150,0,4200,5250,50,800,1200,600,1000,600,1000,400,600
136,Armor,2,10,80,7625,2375,0,5700,7125,50,800,1200,1100,1700,1100,1700,700,1100
137,Armor,2,11,0,7950,2050,0,6000,7500,50,800,1200,600,1000,600,1000,400,600
138,Armor,2,12,0,8025,1975,0,6300,7875,50,800,1200,600,1000,600,1000,400,600
139,Armor,2,13,160,7825,2175,0,6600,8250,50,800,1200,1100,1700,1100,1700,700,1100
140,Armor,2,14,0,8100,1900,0,6900,8625,50,800,1200,600,1000,600,1000,400,600
141,Armor,2,15,0,8175,1825,0,7200,9000,50,800,1200,600,1000,600,1000,400,600
142,Armor,2,16,320,8000,2000,0,7500,9375,50,800,1200,1100,1700,1100,1700,700,1100
143,Armor,2,17,0,8225,1775,0,7800,9750,50,800,1200,600,1000,600,1000,400,600
144,Armor,2,18,0,8275,1725,0,8100,10125,50,800,1200,600,1000,600,1000,400,600
145,Armor,2,19,640,8125,1875,0,8400,10500,50,800,1200,1100,1700,1100,1700,700,1100
146,Armor,2,20,0,8750,1250,0,8700,10875,50,800,1200,800,1200,800,1200,400,600
147,Armor,2,21,0,8750,1250,0,9000,11250,50,800,1200,800,1200,800,1200,400,600
148,Armor,3,1,0,7500,2500,0,60,75,50,800,1200,0,0,0,0,0,0
149,Armor,3,2,0,7500,2500,0,150,187,50,800,1200,0,0,0,0,0,0
150,Armor,3,3,0,7500,2500,0,300,375,50,800,1200,0,0,0,0,0,0
151,Armor,3,4,30,7500,2500,0,1500,1875,50,800,1200,2500,3500,2500,3500,1200,1800
152,Armor,3,5,0,7625,2375,0,2220,2775,50,800,1200,0,0,0,0,0,0
153,Armor,3,6,0,7750,2250,0,3120,3900,50,800,1200,0,0,0,0,0,0
154,Armor,3,7,60,7625,2375,0,6000,7500,50,800,1200,2500,3500,2500,3500,1200,1800
155,Armor,3,8,0,7750,2250,0,7140,8925,50,800,1200,600,1000,600,1000,400,600
156,Armor,3,9,0,7850,2150,0,8400,10500,50,800,1200,600,1000,600,1000,400,600
157,Armor,3,10,120,7625,2375,0,11400,14250,50,800,1200,1100,1700,1100,1700,700,1100
158,Armor,3,11,0,7950,2050,0,12000,15000,50,800,1200,600,1000,600,1000,400,600
159,Armor,3,12,0,8025,1975,0,12600,15750,50,800,1200,600,1000,600,1000,400,600
160,Armor,3,13,240,7825,2175,0,13200,16500,50,800,1200,1100,1700,1100,1700,700,1100
161,Armor,3,14,0,8100,1900,0,13800,17250,50,800,1200,600,1000,600,1000,400,600
162,Armor,3,15,0,8175,1825,0,14400,18000,50,800,1200,600,1000,600,1000,400,600
163,Armor,3,16,480,8000,2000,0,15000,18750,50,800,1200,1100,1700,1100,1700,700,1100
164,Armor,3,17,0,8225,1775,0,15600,19500,50,800,1200,600,1000,600,1000,400,600
165,Armor,3,18,0,8275,1725,0,16200,20250,50,800,1200,600,1000,600,1000,400,600
166,Armor,3,19,960,8125,1875,0,16800,21000,50,800,1200,1100,1700,1100,1700,700,1100
167,Armor,3,20,0,8750,1250,0,17400,21750,50,800,1200,800,1200,800,1200,400,600
168,Armor,3,21,0,8750,1250,0,18000,22500,50,800,1200,800,1200,800,1200,400,600
169,Armor,4,1,0,7500,2500,0,130,162,50,800,1200,0,0,0,0,0,0
170,Armor,4,2,0,7500,2500,0,325,406,50,800,1200,0,0,0,0,0,0
171,Armor,4,3,0,7500,2500,0,650,812,50,800,1200,0,0,0,0,0,0
172,Armor,4,4,40,7500,2500,0,3250,4062,50,800,1200,2500,3500,2500,3500,1200,1800
173,Armor,4,5,0,7625,2375,0,4810,6012,50,800,1200,0,0,0,0,0,0
174,Armor,4,6,0,7750,2250,0,6760,8450,50,800,1200,0,0,0,0,0,0
175,Armor,4,7,80,7625,2375,0,13000,16250,50,800,1200,2500,3500,2500,3500,1200,1800
176,Armor,4,8,0,7750,2250,0,15470,19337,50,800,1200,600,1000,600,1000,400,600
177,Armor,4,9,0,7850,2150,0,18200,22750,50,800,1200,600,1000,600,1000,400,600
178,Armor,4,10,160,7625,2375,0,24700,30875,50,800,1200,1100,1700,1100,1700,700,1100
179,Armor,4,11,0,7950,2050,0,26000,32500,50,800,1200,600,1000,600,1000,400,600
180,Armor,4,12,0,8025,1975,0,27300,34125,50,800,1200,600,1000,600,1000,400,600
181,Armor,4,13,320,7825,2175,0,28600,35750,50,800,1200,1100,1700,1100,1700,700,1100
182,Armor,4,14,0,8100,1900,0,29900,37375,50,800,1200,600,1000,600,1000,400,600
183,Armor,4,15,0,8175,1825,0,31200,39000,50,800,1200,600,1000,600,1000,400,600
184,Armor,4,16,640,8000,2000,0,32500,40625,50,800,1200,1100,1700,1100,1700,700,1100
185,Armor,4,17,0,8225,1775,0,33800,42250,50,800,1200,600,1000,600,1000,400,600
186,Armor,4,18,0,8275,1725,0,35100,43875,50,800,1200,600,1000,600,1000,400,600
187,Armor,4,19,1280,8125,1875,0,36400,45500,50,800,1200,1100,1700,1100,1700,700,1100
188,Armor,4,20,0,8750,1250,0,37700,47125,50,800,1200,800,1200,800,1200,400,600
189,Armor,4,21,0,8750,1250,0,39000,48750,50,800,1200,800,1200,800,1200,400,600
190,Armor,5,1,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
191,Armor,5,2,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
192,Armor,5,3,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
193,Armor,5,4,20,7500,2500,0,3600,7200,0,3500,3600,3500,3600,2000,2000,1500,1500
194,Armor,5,5,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
195,Armor,5,6,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,2000,2000,1500,1500
196,Armor,5,7,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
197,Armor,5,8,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
198,Armor,5,9,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,2000,2000,1500,1500
199,Armor,5,10,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
200,Armor,5,11,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
201,Armor,5,12,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
202,Armor,5,13,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
203,Armor,5,14,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
204,Armor,5,15,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
205,Armor,5,16,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
206,Armor,5,17,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
207,Armor,5,18,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
208,Armor,5,19,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
209,Armor,5,20,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
210,Armor,5,21,0,7500,2500,0,3600,7200,0,1300,1400,1200,1300,0,0,0,0
211,Belt,1,1,0,7500,2500,0,20,25,50,800,1200,0,0,0,0,0,0
212,Belt,1,2,0,7500,2500,0,50,62,50,800,1200,0,0,0,0,0,0
213,Belt,1,3,0,7500,2500,0,100,125,50,800,1200,0,0,0,0,0,0
214,Belt,1,4,10,7500,2500,0,500,625,50,800,1200,2500,3500,2500,3500,1200,1800
215,Belt,1,5,0,7625,2375,0,740,925,50,800,1200,0,0,0,0,0,0
216,Belt,1,6,0,7750,2250,0,1040,1300,50,800,1200,0,0,0,0,0,0
217,Belt,1,7,20,7625,2375,0,2000,2500,50,800,1200,2500,3500,2500,3500,1200,1800
218,Belt,1,8,0,7750,2250,0,2380,2975,50,800,1200,600,1000,600,1000,400,600
219,Belt,1,9,0,7850,2150,0,2800,3500,50,800,1200,600,1000,600,1000,400,600
220,Belt,1,10,40,7625,2375,0,3800,4750,50,800,1200,1100,1700,1100,1700,700,1100
221,Belt,1,11,0,7950,2050,0,4000,5000,50,800,1200,600,1000,600,1000,400,600
222,Belt,1,12,0,8025,1975,0,4200,5250,50,800,1200,600,1000,600,1000,400,600
223,Belt,1,13,80,7825,2175,0,4400,5500,50,800,1200,1100,1700,1100,1700,700,1100
224,Belt,1,14,0,8100,1900,0,4600,5750,50,800,1200,600,1000,600,1000,400,600
225,Belt,1,15,0,8175,1825,0,4800,6000,50,800,1200,600,1000,600,1000,400,600
226,Belt,1,16,160,8000,2000,0,5000,6250,50,800,1200,1100,1700,1100,1700,700,1100
227,Belt,1,17,0,8225,1775,0,5200,6500,50,800,1200,600,1000,600,1000,400,600
228,Belt,1,18,0,8275,1725,0,5400,6750,50,800,1200,600,1000,600,1000,400,600
229,Belt,1,19,320,8125,1875,0,5600,7000,50,800,1200,1100,1700,1100,1700,700,1100
230,Belt,1,20,0,8750,1250,0,5800,7250,50,800,1200,800,1200,800,1200,400,600
231,Belt,1,21,0,8750,1250,0,6000,7500,50,800,1200,800,1200,800,1200,400,600
232,Belt,2,1,0,7500,2500,0,30,37,50,800,1200,0,0,0,0,0,0
233,Belt,2,2,0,7500,2500,0,75,93,50,800,1200,0,0,0,0,0,0
234,Belt,2,3,0,7500,2500,0,150,187,50,800,1200,0,0,0,0,0,0
235,Belt,2,4,20,7500,2500,0,750,937,50,800,1200,2500,3500,2500,3500,1200,1800
236,Belt,2,5,0,7625,2375,0,1110,1387,50,800,1200,0,0,0,0,0,0
237,Belt,2,6,0,7750,2250,0,1560,1950,50,800,1200,0,0,0,0,0,0
238,Belt,2,7,40,7625,2375,0,3000,3750,50,800,1200,2500,3500,2500,3500,1200,1800
239,Belt,2,8,0,7750,2250,0,3570,4462,50,800,1200,600,1000,600,1000,400,600
240,Belt,2,9,0,7850,2150,0,4200,5250,50,800,1200,600,1000,600,1000,400,600
241,Belt,2,10,80,7625,2375,0,5700,7125,50,800,1200,1100,1700,1100,1700,700,1100
242,Belt,2,11,0,7950,2050,0,6000,7500,50,800,1200,600,1000,600,1000,400,600
243,Belt,2,12,0,8025,1975,0,6300,7875,50,800,1200,600,1000,600,1000,400,600
244,Belt,2,13,160,7825,2175,0,6600,8250,50,800,1200,1100,1700,1100,1700,700,1100
245,Belt,2,14,0,8100,1900,0,6900,8625,50,800,1200,600,1000,600,1000,400,600
246,Belt,2,15,0,8175,1825,0,7200,9000,50,800,1200,600,1000,600,1000,400,600
247,Belt,2,16,320,8000,2000,0,7500,9375,50,800,1200,1100,1700,1100,1700,700,1100
248,Belt,2,17,0,8225,1775,0,7800,9750,50,800,1200,600,1000,600,1000,400,600
249,Belt,2,18,0,8275,1725,0,8100,10125,50,800,1200,600,1000,600,1000,400,600
250,Belt,2,19,640,8125,1875,0,8400,10500,50,800,1200,1100,1700,1100,1700,700,1100
251,Belt,2,20,0,8750,1250,0,8700,10875,50,800,1200,800,1200,800,1200,400,600
252,Belt,2,21,0,8750,1250,0,9000,11250,50,800,1200,800,1200,800,1200,400,600
253,Belt,3,1,0,7500,2500,0,60,75,50,800,1200,0,0,0,0,0,0
254,Belt,3,2,0,7500,2500,0,150,187,50,800,1200,0,0,0,0,0,0
255,Belt,3,3,0,7500,2500,0,300,375,50,800,1200,0,0,0,0,0,0
256,Belt,3,4,30,7500,2500,0,1500,1875,50,800,1200,2500,3500,2500,3500,1200,1800
257,Belt,3,5,0,7625,2375,0,2220,2775,50,800,1200,0,0,0,0,0,0
258,Belt,3,6,0,7750,2250,0,3120,3900,50,800,1200,0,0,0,0,0,0
259,Belt,3,7,60,7625,2375,0,6000,7500,50,800,1200,2500,3500,2500,3500,1200,1800
260,Belt,3,8,0,7750,2250,0,7140,8925,50,800,1200,600,1000,600,1000,400,600
261,Belt,3,9,0,7850,2150,0,8400,10500,50,800,1200,600,1000,600,1000,400,600
262,Belt,3,10,120,7625,2375,0,11400,14250,50,800,1200,1100,1700,1100,1700,700,1100
263,Belt,3,11,0,7950,2050,0,12000,15000,50,800,1200,600,1000,600,1000,400,600
264,Belt,3,12,0,8025,1975,0,12600,15750,50,800,1200,600,1000,600,1000,400,600
265,Belt,3,13,240,7825,2175,0,13200,16500,50,800,1200,1100,1700,1100,1700,700,1100
266,Belt,3,14,0,8100,1900,0,13800,17250,50,800,1200,600,1000,600,1000,400,600
267,Belt,3,15,0,8175,1825,0,14400,18000,50,800,1200,600,1000,600,1000,400,600
268,Belt,3,16,480,8000,2000,0,15000,18750,50,800,1200,1100,1700,1100,1700,700,1100
269,Belt,3,17,0,8225,1775,0,15600,19500,50,800,1200,600,1000,600,1000,400,600
270,Belt,3,18,0,8275,1725,0,16200,20250,50,800,1200,600,1000,600,1000,400,600
271,Belt,3,19,960,8125,1875,0,16800,21000,50,800,1200,1100,1700,1100,1700,700,1100
272,Belt,3,20,0,8750,1250,0,17400,21750,50,800,1200,800,1200,800,1200,400,600
273,Belt,3,21,0,8750,1250,0,18000,22500,50,800,1200,800,1200,800,1200,400,600
274,Belt,4,1,0,7500,2500,0,130,162,50,800,1200,0,0,0,0,0,0
275,Belt,4,2,0,7500,2500,0,325,406,50,800,1200,0,0,0,0,0,0
276,Belt,4,3,0,7500,2500,0,650,812,50,800,1200,0,0,0,0,0,0
277,Belt,4,4,40,7500,2500,0,3250,4062,50,800,1200,2500,3500,2500,3500,1200,1800
278,Belt,4,5,0,7625,2375,0,4810,6012,50,800,1200,0,0,0,0,0,0
279,Belt,4,6,0,7750,2250,0,6760,8450,50,800,1200,0,0,0,0,0,0
280,Belt,4,7,80,7625,2375,0,13000,16250,50,800,1200,2500,3500,2500,3500,1200,1800
281,Belt,4,8,0,7750,2250,0,15470,19337,50,800,1200,600,1000,600,1000,400,600
282,Belt,4,9,0,7850,2150,0,18200,22750,50,800,1200,600,1000,600,1000,400,600
283,Belt,4,10,160,7625,2375,0,24700,30875,50,800,1200,1100,1700,1100,1700,700,1100
284,Belt,4,11,0,7950,2050,0,26000,32500,50,800,1200,600,1000,600,1000,400,600
285,Belt,4,12,0,8025,1975,0,27300,34125,50,800,1200,600,1000,600,1000,400,600
286,Belt,4,13,320,7825,2175,0,28600,35750,50,800,1200,1100,1700,1100,1700,700,1100
