id,item_sub_type,grade,level,cost,exp,required_block_index,base_stat_growth_min,base_stat_growth_max,extra_stat_growth_min,extra_stat_growth_max,extra_skill_damage_growth_min,extra_skill_damage_growth_max,extra_skill_chance_growth_min,extra_skill_chance_growth_max
32,Weapon,2,11,2560,163840,7500,800,1200,600,1000,600,1000,400,600
33,Weapon,2,12,5120,327680,7875,800,1200,600,1000,600,1000,400,600
34,Weapon,2,13,10240,655360,8250,800,1200,1100,1700,1100,1700,700,1100
35,Weapon,2,14,20480,1310720,8625,800,1200,600,1000,600,1000,400,600
36,Weapon,2,15,40960,2621440,9000,800,1200,600,1000,600,1000,400,600
37,Weapon,2,16,81920,5242880,9375,800,1200,1100,1700,1100,1700,700,1100
38,Weapon,2,17,163840,10485760,9750,800,1200,600,1000,600,1000,400,600
39,Weapon,2,18,327680,20971520,10125,800,1200,600,1000,600,1000,400,600
40,Weapon,2,19,655360,41943040,10500,800,1200,1100,1700,1100,1700,700,1100
41,Weapon,2,20,1310720,83886080,10875,800,1200,800,1200,800,1200,400,600
42,Weapon,2,21,2621440,167772160,11250,800,1200,800,1200,800,1200,400,600
43,Weapon,3,1,0,32040,75,800,1200,0,0,0,0,0,0
44,Weapon,3,2,0,64080,187,800,1200,0,0,0,0,0,0
45,Weapon,3,3,0,128160,375,800,1200,0,0,0,0,0,0
46,Weapon,3,4,20,256320,1875,800,1200,2500,3500,2500,3500,1200,1800
47,Weapon,3,5,40,512640,2775,800,1200,0,0,0,0,0,0
48,Weapon,3,6,80,1025280,3900,800,1200,0,0,0,0,0,0
49,Weapon,3,7,160,2050560,7500,800,1200,2500,3500,2500,3500,1200,1800
50,Weapon,3,8,320,4101120,8925,800,1200,600,1000,600,1000,400,600
51,Weapon,3,9,640,8202240,10500,800,1200,600,1000,600,1000,400,600
52,Weapon,3,10,1280,16404480,14250,800,1200,1100,1700,1100,1700,700,1100
53,Weapon,3,11,2560,32808960,15000,800,1200,600,1000,600,1000,400,600
54,Weapon,3,12,5120,65617920,15750,800,1200,600,1000,600,1000,400,600
55,Weapon,3,13,10240,131235840,16500,800,1200,1100,1700,1100,1700,700,1100
56,Weapon,3,14,20480,262471680,17250,800,1200,600,1000,600,1000,400,600
57,Weapon,3,15,40960,524943360,18000,800,1200,600,1000,600,1000,400,600
58,Weapon,3,16,81920,1049886720,18750,800,1200,1100,1700,1100,1700,700,1100
59,Weapon,3,17,163840,2099773440,19500,800,1200,600,1000,600,1000,400,600
60,Weapon,3,18,327680,4199546880,20250,800,1200,600,1000,600,1000,400,600
61,Weapon,3,19,655360,8399093760,21000,800,1200,1100,1700,1100,1700,700,1100
62,Weapon,3,20,1310720,16798187520,21750,800,1200,800,1200,800,1200,400,600
63,Weapon,3,21,2621440,33596375040,22500,800,1200,800,1200,800,1200,400,600
64,Weapon,4,1,0,852000,162,800,1200,0,0,0,0,0,0
65,Weapon,4,2,0,1704000,406,800,1200,0,0,0,0,0,0
66,Weapon,4,3,0,3408000,812,800,1200,0,0,0,0,0,0
67,Weapon,4,4,20,6816000,4062,800,1200,2500,3500,2500,3500,1200,1800
68,Weapon,4,5,40,13632000,6012,800,1200,0,0,0,0,0,0
69,Weapon,4,6,80,27264000,8450,800,1200,0,0,0,0,0,0
70,Weapon,4,7,160,54528000,16250,800,1200,2500,3500,2500,3500,1200,1800
71,Weapon,4,8,320,109056000,19337,800,1200,600,1000,600,1000,400,600
72,Weapon,4,9,640,218112000,22750,800,1200,600,1000,600,1000,400,600
73,Weapon,4,10,1280,436224000,30875,800,1200,1100,1700,1100,1700,700,1100
74,Weapon,4,11,2560,872448000,32500,800,1200,600,1000,600,1000,400,600
75,Weapon,4,12,5120,1744896000,34125,800,1200,600,1000,600,1000,400,600
76,Weapon,4,13,10240,3489792000,35750,800,1200,1100,1700,1100,1700,700,1100
77,Weapon,4,14,20480,6979584000,37375,800,1200,600,1000,600,1000,400,600
78,Weapon,4,15,40960,13959168000,39000,800,1200,600,1000,600,1000,400,600
79,Weapon,4,16,81920,27918336000,40625,800,1200,1100,1700,1100,1700,700,1100
80,Weapon,4,17,163840,55836672000,42250,800,1200,600,1000,600,1000,400,600
81,Weapon,4,18,327680,111673344000,43875,800,1200,600,1000,600,1000,400,600
82,Weapon,4,19,655360,223346688000,45500,800,1200,1100,1700,1100,1700,700,1100
83,Weapon,4,20,1310720,446693376000,47125,800,1200,800,1200,800,1200,400,600
84,Weapon,4,21,2621440,893386752000,48750,800,1200,800,1200,800,1200,400,600
85,Weapon,5,1,0,13520000,3600,1300,1400,1200,1300,0,0,0,0
86,Weapon,5,2,0,27040000,3600,1300,1400,1200,1300,0,0,0,0
87,Weapon,5,3,0,54080000,3600,1300,1400,1200,1300,0,0,0,0
88,Weapon,5,4,20,108160000,3600,3500,3600,3500,3600,2000,2000,1500,1500
89,Weapon,5,5,40,216320000,3600,1300,1400,1200,1300,0,0,0,0
90,Weapon,5,6,80,432640000,3600,1300,1400,1200,1300,2000,2000,1500,1500
91,Weapon,5,7,160,865280000,3600,1300,1400,1200,1300,0,0,0,0
92,Weapon,5,8,320,1730560000,3600,1300,1400,1200,1300,0,0,0,0
93,Weapon,5,9,640,3461120000,3600,1300,1400,1200,1300,2000,2000,1500,1500
94,Weapon,5,10,1280,6922240000,3600,1300,1400,1200,1300,0,0,0,0
95,Weapon,5,11,2560,13844480000,3600,1300,1400,1200,1300,0,0,0,0
96,Weapon,5,12,5120,27688960000,3600,1300,1400,1200,1300,0,0,0,0
97,Weapon,5,13,10240,55377920000,3600,1300,1400,1200,1300,0,0,0,0
98,Weapon,5,14,20480,110755840000,3600,1300,1400,1200,1300,0,0,0,0
99,Weapon,5,15,40960,221511680000,3600,1300,1400,1200,1300,0,0,0,0
100,Weapon,5,16,81920,443023360000,3600,1300,1400,1200,1300,0,0,0,0
101,Weapon,5,17,163840,886046720000,3600,1300,1400,1200,1300,0,0,0,0
102,Weapon,5,18,327680,1772093440000,3600,1300,1400,1200,1300,0,0,0,0
103,Weapon,5,19,655360,3544186880000,3600,1300,1400,1200,1300,0,0,0,0
104,Weapon,5,20,1310720,7088373760000,3600,1300,1400,1200,1300,0,0,0,0
105,Weapon,5,21,2621440,14176747520000,3600,1300,1400,1200,1300,0,0,0,0
106,Armor,1,1,0,38,20,800,1200,0,0,0,0,0,0
107,Armor,1,2,0,76,50,800,1200,0,0,0,0,0,0
108,Armor,1,3,0,152,100,800,1200,0,0,0,0,0,0
109,Armor,1,4,20,304,500,800,1200,2500,3500,2500,3500,1200,1800
110,Armor,1,5,40,608,740,800,1200,0,0,0,0,0,0
111,Armor,1,6,80,1216,1040,800,1200,0,0,0,0,0,0
112,Armor,1,7,160,2432,2000,800,1200,2500,3500,2500,3500,1200,1800
113,Armor,1,8,320,4864,2380,800,1200,600,1000,600,1000,400,600
114,Armor,1,9,640,9728,2800,800,1200,600,1000,600,1000,400,600
115,Armor,1,10,1280,19456,3800,800,1200,1100,1700,1100,1700,700,1100
116,Armor,1,11,2560,38912,4000,800,1200,600,1000,600,1000,400,600
117,Armor,1,12,5120,77824,4200,800,1200,600,1000,600,1000,400,600
118,Armor,1,13,10240,155648,4400,800,1200,1100,1700,1100,1700,700,1100
119,Armor,1,14,20480,311296,4600,800,1200,600,1000,600,1000,400,600
120,Armor,1,15,40960,622592,4800,800,1200,600,1000,600,1000,400,600
121,Armor,1,16,81920,1245184,5000,800,1200,1100,1700,1100,1700,700,1100
122,Armor,1,17,163840,2490368,5200,800,1200,600,1000,600,1000,400,600
123,Armor,1,18,327680,4980736,5400,800,1200,600,1000,600,1000,400,600
124,Armor,1,19,655360,9961472,5600,800,1200,1100,1700,1100,1700,700,1100
125,Armor,1,20,1310720,19922944,5800,800,1200,800,1200,800,1200,400,600
126,Armor,1,21,2621440,39845888,6000,800,1200,800,1200,800,1200,400,600
127,Armor,2,1,0,206,30,800,1200,0,0,0,0,0,0
128,Armor,2,2,0,412,75,800,1200,0,0,0,0,0,0
129,Armor,2,3,0,824,150,800,1200,0,0,0,0,0,0
130,Armor,2,4,20,1648,750,800,1200,2500,3500,2500,3500,1200,1800
131,Armor,2,5,40,3296,1110,800,1200,0,0,0,0,0,0
132,Armor,2,6,80,6592,1560,800,1200,0,0,0,0,0,0
133,Armor,2,7,160,13184,3000,800,1200,2500,3500,2500,3500,1200,1800
134,Armor,2,8,320,26368,3570,800,1200,600,1000,600,1000,400,600
135,Armor,2,9,640,52736,4200,800,1200,600,1000,600,1000,400,600
136,Armor,2,10,1280,105472,5700,800,1200,1100,1700,1100,1700,700,1100
137,Armor,2,11,2560,210944,6000,800,1200,600,1000,600,1000,400,600
138,Armor,2,12,5120,421888,6300,800,1200,600,1000,600,1000,400,600
139,Armor,2,13,10240,843776,6600,800,1200,1100,1700,1100,1700,700,1100
140,Armor,2,14,20480,1687552,6900,800,1200,600,1000,600,1000,400,600
141,Armor,2,15,40960,3375104,7200,800,1200,600,1000,600,1000,400,600
142,Armor,2,16,81920,6750208,7500,800,1200,1100,1700,1100,1700,700,1100
143,Armor,2,17,163840,13500416,7800,800,1200,600,1000,600,1000,400,600
144,Armor,2,18,327680,27000832,8100,800,1200,600,1000,600,1000,400,600
145,Armor,2,19,655360,54001664,8400,800,1200,1100,1700,1100,1700,700,1100
146,Armor,2,20,1310720,108003328,8700,800,1200,800,1200,800,1200,400,600
147,Armor,2,21,2621440,216006656,9000,800,1200,800,1200,800,1200,400,600
148,Armor,3,1,0,19200,60,800,1200,0,0,0,0,0,0
149,Armor,3,2,0,38400,150,800,1200,0,0,0,0,0,0
150,Armor,3,3,0,76800,300,800,1200,0,0,0,0,0,0
151,Armor,3,4,20,153600,1500,800,1200,2500,3500,2500,3500,1200,1800
152,Armor,3,5,40,307200,2220,800,1200,0,0,0,0,0,0
153,Armor,3,6,80,614400,3120,800,1200,0,0,0,0,0,0
154,Armor,3,7,160,1228800,6000,800,1200,2500,3500,2500,3500,1200,1800
155,Armor,3,8,320,2457600,7140,800,1200,600,1000,600,1000,400,600
156,Armor,3,9,640,4915200,8400,800,1200,600,1000,600,1000,400,600
157,Armor,3,10,1280,9830400,11400,800,1200,1100,1700,1100,1700,700,1100
158,Armor,3,11,2560,19660800,12000,800,1200,600,1000,600,1000,400,600
159,Armor,3,12,5120,39321600,12600,800,1200,600,1000,600,1000,400,600
160,Armor,3,13,10240,78643200,13200,800,1200,1100,1700,1100,1700,700,1100
161,Armor,3,14,20480,157286400,13800,800,1200,600,1000,600,1000,400,600
162,Armor,3,15,40960,314572800,14400,800,1200,600,1000,600,1000,400,600
163,Armor,3,16,81920,629145600,15000,800,1200,1100,1700,1100,1700,700,1100
164,Armor,3,17,163840,1258291200,15600,800,1200,600,1000,600,1000,400,600
165,Armor,3,18,327680,2516582400,16200,800,1200,600,1000,600,1000,400,600
166,Armor,3,19,655360,5033164800,16800,800,1200,1100,1700,1100,1700,700,1100
167,Armor,3,20,1310720,10066329600,17400,800,1200,800,1200,800,1200,400,600
168,Armor,3,21,2621440,20132659200,18000,800,1200,800,1200,800,1200,400,600
169,Armor,4,1,0,852000,130,800,1200,0,0,0,0,0,0
170,Armor,4,2,0,1704000,325,800,1200,0,0,0,0,0,0
171,Armor,4,3,0,3408000,650,800,1200,0,0,0,0,0,0
172,Armor,4,4,20,6816000,3250,800,1200,2500,3500,2500,3500,1200,1800
173,Armor,4,5,40,13632000,4810,800,1200,0,0,0,0,0,0
174,Armor,4,6,80,27264000,6760,800,1200,0,0,0,0,0,0
175,Armor,4,7,160,54528000,13000,800,1200,2500,3500,2500,3500,1200,1800
176,Armor,4,8,320,109056000,15470,800,1200,600,1000,600,1000,400,600
177,Armor,4,9,640,218112000,18200,800,1200,600,1000,600,1000,400,600
178,Armor,4,10,1280,436224000,24700,800,1200,1100,1700,1100,1700,700,1100
179,Armor,4,11,2560,872448000,26000,800,1200,600,1000,600,1000,400,600
180,Armor,4,12,5120,1744896000,27300,800,1200,600,1000,600,1000,400,600
181,Armor,4,13,10240,3489792000,28600,800,1200,1100,1700,1100,1700,700,1100
182,Armor,4,14,20480,6979584000,29900,800,1200,600,1000,600,1000,400,600
183,Armor,4,15,40960,13959168000,31200,800,1200,600,1000,600,1000,400,600
184,Armor,4,16,81920,27918336000,32500,800,1200,1100,1700,1100,1700,700,1100
185,Armor,4,17,163840,55836672000,33800,800,1200,600,1000,600,1000,400,600
186,Armor,4,18,327680,111673344000,35100,800,1200,600,1000,600,1000,400,600
187,Armor,4,19,655360,223346688000,36400,800,1200,1100,1700,1100,1700,700,1100
188,Armor,4,20,1310720,446693376000,37700,800,1200,800,1200,800,1200,400,600
189,Armor,4,21,2621440,893386752000,39000,800,1200,800,1200,800,1200,400,600
190,Armor,5,1,0,13520000,3600,1300,1400,1200,1300,0,0,0,0
191,Armor,5,2,0,27040000,3600,1300,1400,1200,1300,0,0,0,0
192,Armor,5,3,0,54080000,3600,1300,1400,1200,1300,0,0,0,0
193,Armor,5,4,20,108160000,3600,3500,3600,3500,3600,2000,2000,1500,1500
194,Armor,5,5,40,216320000,3600,1300,1400,1200,1300,0,0,0,0
195,Armor,5,6,80,432640000,3600,1300,1400,1200,1300,2000,2000,1500,1500
196,Armor,5,7,160,865280000,3600,1300,1400,1200,1300,0,0,0,0
197,Armor,5,8,320,1730560000,3600,1300,1400,1200,1300,0,0,0,0
198,Armor,5,9,640,3461120000,3600,1300,1400,1200,1300,2000,2000,1500,1500
199,Armor,5,10,1280,6922240000,3600,1300,1400,1200,1300,0,0,0,0
200,Armor,5,11,2560,13844480000,3600,1300,1400,1200,1300,0,0,0,0
201,Armor,5,12,5120,27688960000,3600,1300,1400,1200,1300,0,0,0,0
202,Armor,5,13,10240,55377920000,3600,1300,1400,1200,1300,0,0,0,0
203,Armor,5,14,20480,110755840000,3600,1300,1400,1200,1300,0,0,0,0
204,Armor,5,15,40960,221511680000,3600,1300,1400,1200,1300,0,0,0,0
205,Armor,5,16,81920,443023360000,3600,1300,1400,1200,1300,0,0,0,0
206,Armor,5,17,163840,886046720000,3600,1300,1400,1200,1300,0,0,0,0
207,Armor,5,18,327680,1772093440000,3600,1300,1400,1200,1300,0,0,0,0
208,Armor,5,19,655360,3544186880000,3600,1300,1400,1200,1300,0,0,0,0
209,Armor,5,20,1310720,7088373760000,3600,1300,1400,1200,1300,0,0,0,0
210,Armor,5,21,2621440,14176747520000,3600,1300,1400,1200,1300,0,0,0,0
211,Belt,1,1,0,1908,20,800,1200,0,0,0,0,0,0
212,Belt,1,2,0,3816,50,800,1200,0,0,0,0,0,0
213,Belt,1,3,0,7632,100,800,1200,0,0,0,0,0,0
214,Belt,1,4,20,15264,500,800,1200,2500,3500,2500,3500,1200,1800
215,Belt,1,5,40,30528,740,800,1200,0,0,0,0,0,0
216,Belt,1,6,80,61056,1040,800,1200,0,0,0,0,0,0
217,Belt,1,7,160,122112,2000,800,1200,2500,3500,2500,3500,1200,1800
218,Belt,1,8,320,244224,2380,800,1200,600,1000,600,1000,400,600
219,Belt,1,9,640,488448,2800,800,1200,600,1000,600,1000,400,600
220,Belt,1,10,1280,976896,3800,800,1200,1100,1700,1100,1700,700,1100
221,Belt,1,11,2560,1953792,4000,800,1200,600,1000,600,1000,400,600
222,Belt,1,12,5120,3907584,4200,800,1200,600,1000,600,1000,400,600
223,Belt,1,13,10240,7815168,4400,800,1200,1100,1700,1100,1700,700,1100
224,Belt,1,14,20480,15630336,4600,800,1200,600,1000,600,1000,400,600
225,Belt,1,15,40960,31260672,4800,800,1200,600,1000,600,1000,400,600
226,Belt,1,16,81920,62521344,5000,800,1200,1100,1700,1100,1700,700,1100
227,Belt,1,17,163840,125042688,5200,800,1200,600,1000,600,1000,400,600
228,Belt,1,18,327680,250085376,5400,800,1200,600,1000,600,1000,400,600
229,Belt,1,19,655360,500170752,5600,800,1200,1100,1700,1100,1700,700,1100
230,Belt,1,20,1310720,1000341504,5800,800,1200,800,1200,800,1200,400,600
231,Belt,1,21,2621440,2000683008,6000,800,1200,800,1200,800,1200,400,600
232,Belt,2,1,0,2992,30,800,1200,0,0,0,0,0,0
233,Belt,2,2,0,5984,75,800,1200,0,0,0,0,0,0
234,Belt,2,3,0,11968,150,800,1200,0,0,0,0,0,0
235,Belt,2,4,20,23936,750,800,1200,2500,3500,2500,3500,1200,1800
236,Belt,2,5,40,47872,1110,800,1200,0,0,0,0,0,0
237,Belt,2,6,80,95744,1560,800,1200,0,0,0,0,0,0
238,Belt,2,7,160,191488,3000,800,1200,2500,3500,2500,3500,1200,1800
239,Belt,2,8,320,382976,3570,800,1200,600,1000,600,1000,400,600
240,Belt,2,9,640,765952,4200,800,1200,600,1000,600,1000,400,600
241,Belt,2,10,1280,1531904,5700,800,1200,1100,1700,1100,1700,700,1100
242,Belt,2,11,2560,3063808,6000,800,1200,600,1000,600,1000,400,600
243,Belt,2,12,5120,6127616,6300,800,1200,600,1000,600,1000,400,600
244,Belt,2,13,10240,12255232,6600,800,1200,1100,1700,1100,1700,700,1100
245,Belt,2,14,20480,24510464,6900,800,1200,600,1000,600,1000,400,600
246,Belt,2,15,40960,49020928,7200,800,1200,600,1000,600,1000,400,600
247,Belt,2,16,81920,98041856,7500,800,1200,1100,1700,1100,1700,700,1100
248,Belt,2,17,163840,196083712,7800,800,1200,600,1000,600,1000,400,600
249,Belt,2,18,327680,392167424,8100,800,1200,600,1000,600,1000,400,600
250,Belt,2,19,655360,784334848,8400,800,1200,1100,1700,1100,1700,700,1100
251,Belt,2,20,1310720,1568669696,8700,800,1200,800,1200,800,1200,400,600
252,Belt,2,21,2621440,3137339392,9000,800,1200,800,1200,800,1200,400,600
253,Belt,3,1,0,7728,60,800,1200,0,0,0,0,0,0
254,Belt,3,2,0,15456,150,800,1200,0,0,0,0,0,0
255,Belt,3,3,0,30912,300,800,1200,0,0,0,0,0,0
256,Belt,3,4,20,61824,1500,800,1200,2500,3500,2500,3500,1200,1800
257,Belt,3,5,40,123648,2220,800,1200,0,0,0,0,0,0
258,Belt,3,6,80,247296,3120,800,1200,0,0,0,0,0,0
259,Belt,3,7,160,494592,6000,800,1200,2500,3500,2500,3500,1200,1800
260,Belt,3,8,320,989184,7140,800,1200,600,1000,600,1000,400,600
261,Belt,3,9,640,1978368,8400,800,1200,600,1000,600,1000,400,600
262,Belt,3,10,1280,3956736,11400,800,1200,1100,1700,1100,1700,700,1100
263,Belt,3,11,2560,7913472,12000,800,1200,600,1000,600,1000,400,600
264,Belt,3,12,5120,15826944,12600,800,1200,600,1000,600,1000,400,600
265,Belt,3,13,10240,31653888,13200,800,1200,1100,1700,1100,1700,700,1100
266,Belt,3,14,20480,63307776,13800,800,1200,600,1000,600,1000,400,600
267,Belt,3,15,40960,126615552,14400,800,1200,600,1000,600,1000,400,600
268,Belt,3,16,81920,253231104,15000,800,1200,1100,1700,1100,1700,700,1100
269,Belt,3,17,163840,506462208,15600,800,1200,600,1000,600,1000,400,600
270,Belt,3,18,327680,1012924416,16200,800,1200,600,1000,600,1000,400,600
271,Belt,3,19,655360,2025848832,16800,800,1200,1100,1700,1100,1700,700,1100
272,Belt,3,20,1310720,4051697664,17400,800,1200,800,1200,800,1200,400,600
273,Belt,3,21,2621440,8103395328,18000,800,1200,800,1200,800,1200,400,600
274,Belt,4,1,0,193200,130,800,1200,0,0,0,0,0,0
275,Belt,4,2,0,386400,325,800,1200,0,0,0,0,0,0
276,Belt,4,3,0,772800,650,800,1200,0,0,0,0,0,0
277,Belt,4,4,20,1545600,3250,800,1200,2500,3500,2500,3500,1200,1800
278,Belt,4,5,40,3091200,4810,800,1200,0,0,0,0,0,0
279,Belt,4,6,80,6182400,6760,800,1200,0,0,0,0,0,0
280,Belt,4,7,160,12364800,13000,800,1200,2500,3500,2500,3500,1200,1800
281,Belt,4,8,320,24729600,15470,800,1200,600,1000,600,1000,400,600
282,Belt,4,9,640,49459200,18200,800,1200,600,1000,600,1000,400,600
283,Belt,4,10,1280,98918400,24700,800,1200,1100,1700,1100,1700,700,1100
284,Belt,4,11,2560,197836800,26000,800,1200,600,1000,600,1000,400,600
285,Belt,4,12,5120,395673600,27300,800,1200,600,1000,600,1000,400,600
286,Belt,4,13,10240,791347200,28600,800,1200,1100,1700,1100,1700,700,1100
287,Belt,4,14,20480,1582694400,29900,800,1200,600,1000,600,1000,400,600
288,Belt,4,15,40960,3165388800,31200,800,1200,600,1000,600,1000,400,600
289,Belt,4,16,81920,6330777600,32500,800,1200,1100,1700,1100,1700,700,1100
290,Belt,4,17,163840,12661555200,33800,800,1200,600,1000,600,1000,400,600
291,Belt,4,18,327680,25323110400,35100,800,1200,600,1000,600,1000,400,600
292,Belt,4,19,655360,50646220800,36400,800,1200,1100,1700,1100,1700,700,1100
293,Belt,4,20,1310720,101292441600,37700,800,1200,800,1200,800,1200,400,600
294,Belt,4,21,2621440,202584883200,39000,800,1200,800,1200,800,1200,400,600
295,Belt,5,1,0,13520000,3600,1300,1400,1200,1300,0,0,0,0
296,Belt,5,2,0,27040000,3600,1300,1400,1200,1300,0,0,0,0
297,Belt,5,3,0,54080000,3600,1300,1400,1200,1300,0,0,0,0
298,Belt,5,4,20,108160000,3600,3500,3600,3500,3600,2000,2000,1500,1500
299,Belt,5,5,40,216320000,3600,1300,1400,1200,1300,0,0,0,0
300,Belt,5,6,80,432640000,3600,1300,1400,1200,1300,2000,2000,1500,1500
301,Belt,5,7,160,865280000,3600,1300,1400,1200,1300,0,0,0,0
302,Belt,5,8,320,1730560000,3600,1300,1400,1200,1300,0,0,0,0
303,Belt,5,9,640,3461120000,3600,1300,1400,1200,1300,2000,2000,1500,1500
304,Belt,5,10,1280,6922240000,3600,1300,1400,1200,1300,0,0,0,0
305,Belt,5,11,2560,13844480000,3600,1300,1400,1200,1300,0,0,0,0
306,Belt,5,12,5120,27688960000,3600,1300,1400,1200,1300,0,0,0,0
307,Belt,5,13,10240,55377920000,3600,1300,1400,1200,1300,0,0,0,0
308,Belt,5,14,20480,110755840000,3600,1300,1400,1200,1300,0,0,0,0
309,Belt,5,15,40960,221511680000,3600,1300,1400,1200,1300,0,0,0,0
310,Belt,5,16,81920,443023360000,3600,1300,1400,1200,1300,0,0,0,0
311,Belt,5,17,163840,886046720000,3600,1300,1400,1200,1300,0,0,0,0
312,Belt,5,18,327680,1772093440000,3600,1300,1400,1200,1300,0,0,0,0
313,Belt,5,19,655360,3544186880000,3600,1300,1400,1200,1300,0,0,0,0
314,Belt,5,20,1310720,7088373760000,3600,1300,1400,1200,1300,0,0,0,0
315,Belt,5,21,2621440,14176747520000,3600,1300,1400,1200,1300,0,0,0,0
316,Necklace,1,1,0,630,25,800,1200,0,0,0,0,0,0
317,Necklace,1,2,0,1260,62,800,1200,0,0,0,0,0,0
318,Necklace,1,3,0,2520,125,800,1200,0,0,0,0,0,0
319,Necklace,1,4,20,5040,625,800,1200,2500,3500,2500,3500,1200,1800
320,Necklace,1,5,40,10080,925,800,1200,0,0,0,0,0,0
321,Necklace,1,6,80,20160,1300,800,1200,0,0,0,0,0,0
322,Necklace,1,7,160,40320,2500,800,1200,2500,3500,2500,3500,1200,1800
323,Necklace,1,8,320,80640,2975,800,1200,600,1000,600,1000,400,600
324,Necklace,1,9,640,161280,3500,800,1200,600,1000,600,1000,400,600
325,Necklace,1,10,1280,322560,4750,800,1200,1100,1700,1100,1700,700,1100
326,Necklace,1,11,2560,645120,5000,800,1200,600,1000,600,1000,400,600
327,Necklace,1,12,5120,1290240,5250,800,1200,600,1000,600,1000,400,600
328,Necklace,1,13,10240,2580480,5500,800,1200,1100,1700,1100,1700,700,1100
329,Necklace,1,14,20480,5160960,5750,800,1200,600,1000,600,1000,400,600
330,Necklace,1,15,40960,10321920,6000,800,1200,600,1000,600,1000,400,600
331,Necklace,1,16,81920,20643840,6250,800,1200,1100,1700,1100,1700,700,1100
332,Necklace,1,17,163840,41287680,6500,800,1200,600,1000,600,1000,400,600
333,Necklace,1,18,327680,82575360,6750,800,1200,600,1000,600,1000,400,600
334,Necklace,1,19,655360,165150720,7000,800,1200,1100,1700,1100,1700,700,1100
335,Necklace,1,20,1310720,330301440,7250,800,1200,800,1200,800,1200,400,600
336,Necklace,1,21,2621440,660602880,7500,800,1200,800,1200,800,1200,400,600
337,Necklace,2,1,0,3472,37,800,1200,0,0,0,0,0,0
338,Necklace,2,2,0,6944,93,800,1200,0,0,0,0,0,0
339,Necklace,2,3,0,13888,187,800,1200,0,0,0,0,0,0
340,Necklace,2,4,20,27776,937,800,1200,2500,3500,2500,3500,1200,1800
341,Necklace,2,5,40,55552,1387,800,1200,0,0,0,0,0,0
342,Necklace,2,6,80,111104,1950,800,1200,0,0,0,0,0,0
343,Necklace,2,7,160,222208,3750,800,1200,2500,3500,2500,3500,1200,1800
344,Necklace,2,8,320,444416,4462,800,1200,600,1000,600,1000,400,600
345,Necklace,2,9,640,888832,5250,800,1200,600,1000,600,1000,400,600
346,Necklace,2,10,1280,1777664,7125,800,1200,1100,1700,1100,1700,700,1100
347,Necklace,2,11,2560,3555328,7500,800,1200,600,1000,600,1000,400,600
348,Necklace,2,12,5120,7110656,7875,800,1200,600,1000,600,1000,400,600
