id,result_equipment_id,material_id,material_count,required_action_point,required_gold,required_block_index,unlock_stage,sub_recipe_id,sub_recipe_id_2,sub_recipe_id_3,required_crystal,item_sub_type
59,10232001,303102,23,0,0,6189,166,136,137,138,49860,Armor
60,10233001,303102,67,0,0,31056,228,139,140,141,231900,Armor
61,10234001,303102,76,0,0,36195,246,142,143,144,376200,Armor
62,10240000,303103,77,0,0,38175,999,412,413,414,9999999,Armor
63,10241000,303103,77,0,0,38715,999,145,146,147,9999999,Armor
64,10242000,303103,78,0,0,39315,999,148,149,150,9999999,Armor
65,10243000,303103,78,0,0,39975,999,151,152,153,9999999,Armor
66,10244000,303103,78,0,0,40695,999,154,155,156,9999999,Armor
67,10240001,303103,82,0,0,52575,999,415,416,417,9999999,Armor
68,10241001,303103,82,0,0,54015,999,157,158,159,9999999,Armor
69,10242001,303103,83,0,0,55515,999,160,161,162,9999999,Armor
70,10243001,303103,83,0,0,57075,999,163,164,165,9999999,Armor
71,10244001,303103,84,0,0,58695,999,166,167,168,9999999,Armor
72,10250000,303104,88,0,0,69675,999,418,419,420,9999999,Armor
73,10251000,303104,88,0,0,71715,999,169,170,171,9999999,Armor
74,10252000,303104,89,0,0,73815,999,172,173,174,9999999,Armor
75,10253000,303104,90,0,0,75975,999,175,176,177,9999999,Armor
76,10254000,303104,90,0,0,78195,999,178,179,180,9999999,Armor
77,10250001,303104,111,0,0,138675,999,421,422,423,9999999,Armor
78,10251001,303104,112,0,0,142215,999,181,182,183,9999999,Armor
79,10252001,303104,113,0,0,145815,999,184,185,186,9999999,Armor
80,10253001,303104,114,0,0,149475,999,187,188,189,9999999,Armor
81,10254001,303104,115,0,0,153195,999,190,191,192,9999999,Armor
82,10255000,303104,123,0,0,176775,999,424,425,426,9999999,Armor
83,10310000,303200,2,0,0,5,9,427,428,429,10,Belt
84,10311000,303200,2,0,0,5,20,193,194,195,19,Belt
85,10312000,303200,4,0,0,30,25,196,197,198,41,Belt
86,10313000,303200,12,0,0,274,69,199,200,201,252,Belt
87,10314000,303200,18,0,0,1560,134,202,203,204,522,Belt
88,10320000,303201,6,0,0,99,41,430,431,432,360,Belt
89,10321000,303201,6,0,0,109,43,205,206,207,384,Belt
90,10322000,303201,9,0,0,181,55,208,209,210,576,Belt
91,10323000,303201,22,0,0,5796,162,211,212,213,1848,Belt
92,10324000,303201,45,0,0,20472,203,214,215,216,28740,Belt
93,10330000,303202,10,0,0,389,87,433,434,435,18060,Belt
94,10331000,303202,11,0,0,410,90,217,218,219,20076,Belt
95,10332000,303202,14,0,0,1119,111,220,221,222,25536,Belt
96,10333000,303202,58,0,0,26637,216,223,224,225,137460,Belt
97,10334000,303202,126,0,0,185115,999,226,227,228,9999999,Belt
98,10340000,303203,26,0,0,9054,186,436,437,438,236340,Belt
99,10341000,303203,28,0,0,10620,194,229,230,231,262080,Belt
100,10342000,303203,76,0,0,36015,240,232,233,234,809400,Belt
101,10343000,303203,76,0,0,36015,240,235,236,237,809400,Belt
102,10344000,303203,76,0,0,36015,240,238,239,240,809400,Belt
103,10350000,303204,91,0,0,80475,999,439,440,441,9999999,Belt
104,10351000,303204,92,0,0,82815,999,241,242,243,9999999,Belt
105,10352000,303204,93,0,0,85215,999,244,245,246,9999999,Belt
106,10353000,303204,94,0,0,87675,999,247,248,249,9999999,Belt
107,10354000,303204,94,0,0,90195,999,250,251,252,9999999,Belt
108,10410000,303300,2,0,0,5,15,442,443,444,10,Necklace
109,10411000,303300,2,0,0,11,21,253,254,255,19,Necklace
110,10412000,303300,4,0,0,53,31,256,257,258,41,Necklace
111,10413000,303300,15,0,0,368,84,259,260,261,315,Necklace
112,10414000,303300,20,0,0,4977,150,262,263,264,580,Necklace
113,10420000,303301,7,0,0,131,47,445,446,447,420,Necklace
114,10421000,303301,8,0,0,143,49,265,266,267,513,Necklace
115,10422000,303301,10,0,0,225,61,268,269,270,645,Necklace
116,10423000,303301,25,0,0,7728,178,271,272,273,2112,Necklace
117,10424000,303301,43,0,0,19419,202,274,275,276,27480,Necklace
118,10430000,303302,13,0,0,1005,102,448,449,450,23484,Necklace
119,10431000,303302,13,0,0,1038,105,277,278,279,23724,Necklace
120,10432000,303302,17,0,0,1409,126,280,281,282,31020,Necklace
121,10433000,303302,55,0,0,25284,212,283,284,285,130740,Necklace
122,10434000,303302,70,0,0,32649,232,286,287,288,241500,Necklace
123,10440000,303303,77,0,0,9093,249,451,452,453,699000,Necklace
124,10441000,303303,77,0,0,36375,249,289,290,291,936600,Necklace
125,10442000,303303,77,0,0,36375,249,292,293,294,936600,Necklace
126,10443000,303303,77,0,0,36375,249,295,296,297,936600,Necklace
127,10444000,303303,77,0,0,36375,249,298,299,300,936600,Necklace
128,10450000,303304,95,0,0,92775,999,454,455,456,9999999,Necklace
129,10451000,303304,96,0,0,95415,999,301,302,303,9999999,Necklace
130,10452000,303304,97,0,0,98115,999,304,305,306,9999999,Necklace
131,10453000,303304,98,0,0,100875,999,307,308,309,9999999,Necklace
132,10454000,303304,99,0,0,103695,999,310,311,312,9999999,Necklace
133,10510000,303400,2,0,0,5,17,457,458,459,10,Ring
134,10511000,303400,2,0,0,17,22,313,314,315,19,Ring
135,10512000,303400,5,0,0,61,33,316,317,318,46,Ring
136,10513000,303400,17,0,0,454,96,319,320,321,373,Ring
137,10514000,303400,24,0,0,6642,170,322,323,324,696,Ring
138,10520000,303401,8,0,0,168,53,460,461,462,480,Ring
139,10521000,303401,9,0,0,195,57,325,326,327,576,Ring
140,10522000,303401,12,0,0,292,72,328,329,330,768,Ring
141,10523000,303401,28,0,0,17493,198,331,332,333,2352,Ring
142,10524000,303401,49,0,0,22758,205,334,335,336,31260,Ring
143,10530000,303402,15,0,0,1220,117,463,464,465,27096,Ring
144,10531000,303402,16,0,0,1278,120,337,338,339,29184,Ring
145,10532000,303402,19,0,0,1731,142,340,341,342,34668,Ring
146,10533000,303402,64,0,0,29523,224,343,344,345,316800,Ring
147,10534000,303402,76,0,0,36075,243,346,347,348,376200,Ring
148,10540000,303403,80,0,0,46275,999,466,467,468,9999999,Ring
149,10541000,303403,80,0,0,47415,999,349,350,351,9999999,Ring
150,10542000,303403,81,0,0,48615,999,352,353,354,9999999,Ring
151,10543000,303403,81,0,0,49875,999,355,356,357,9999999,Ring
152,10544000,303403,81,0,0,51195,999,358,359,360,9999999,Ring
153,10550000,303404,100,0,0,106575,999,469,470,471,9999999,Ring
154,10551000,303404,101,0,0,109515,999,361,362,363,9999999,Ring
155,10552000,303404,102,0,0,112515,999,364,365,366,9999999,Ring
156,10553000,303404,103,0,0,115575,999,367,368,369,9999999,Ring
157,10554000,303404,104,0,0,118695,999,370,371,372,9999999,Ring
