id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
573,HP,2854,3045,,,,,
574,HIT,1130,1256,,,,,
575,,,,220000,,,8,8
576,HP,1522,3806,,,,,
577,HIT,753,1507,,,,,
578,HP,2283,3045,,,,,
579,,,,220000,,,8,8
580,HP,17695,33033,,,,,
581,DEF,1006,1825,,,,,
582,HP,28313,47189,,,,,
583,,,,220000,,,8,8
584,HP,3202,3417,,,,,
585,DEF,256,285,,,,,
586,,,,220000,,,8,8
587,HP,1708,4271,,,,,
588,DEF,170,342,,,,,
589,HP,2562,3417,,,,,
590,,,,220000,,,8,8
591,HP,19856,37067,,,,,
592,DEF,1412,2560,,,,,
593,HP,31771,52952,,,,,
594,,,,220000,,,8,8
595,HP,5343,5701,,,,,
596,SPD,1246,1386,,,,,
597,,,,220000,,,8,8
598,HP,2850,7126,,,,,
599,SPD,831,1663,,,,,
600,HP,4275,5701,,,,,
601,,,,220000,,,8,8
602,HP,33133,61850,,,,,
603,DEF,1767,3203,,,,,
604,HP,53014,88357,,,,,
605,,,,220000,,,8,8
606,HP,5017,5352,,,,,
607,ATK,490,546,,,,,
608,,,,220000,,,8,8
609,HP,2675,6690,,,,,
610,ATK,327,655,,,,,
611,HP,4013,5352,,,,,
612,,,,220000,,,8,8
613,HP,31107,58069,,,,,
614,DEF,1966,3564,,,,,
615,HP,49772,82955,,,,,
616,,,,220000,,,8,8
617,HP,4278,4565,,,,,
618,HIT,1694,1883,,,,,
619,,,,220000,,,8,8
620,HP,2282,5706,,,,,
621,HIT,1129,2260,,,,,
622,HP,3423,4565,,,,,
623,,,,220000,,,8,8
624,HP,26530,49524,,,,,
625,DEF,1509,2736,,,,,
626,HP,42448,70749,,,,,
627,,,,220000,,,8,8
628,HP,4795,5115,,,,,
629,DEF,383,427,,,,,
630,,,,220000,,,8,8
631,HP,2557,6394,,,,,
632,DEF,255,512,,,,,
633,HP,3836,5115,,,,,
634,,,,220000,,,8,8
635,HP,29731,55500,,,,,
636,DEF,2114,3833,,,,,
637,HP,47570,79285,,,,,
638,,,,220000,,,8,8
639,HP,7991,8525,,,,,
640,SPD,1864,2072,,,,,
641,,,,220000,,,8,8
642,HP,4262,10656,,,,,
643,SPD,1243,2487,,,,,
644,HP,6393,8525,,,,,
645,,,,220000,,,8,8
646,HP,49548,92491,,,,,
647,DEF,2642,4790,,,,,
648,HP,79277,132130,,,,,
649,,,,220000,,,8,8
650,HP,7489,7990,,,,,
651,ATK,732,814,,,,,
652,,,,220000,,,8,8
653,HP,3994,9987,,,,,
654,ATK,488,977,,,,,
655,HP,5991,7990,,,,,
656,,,,220000,,,8,8
657,HP,46440,86689,,,,,
658,DEF,2935,5321,,,,,
659,HP,74304,123841,,,,,
660,,,,220000,,,8,8
661,HP,8193,8740,,,,,
662,HIT,3244,3605,,,,,
663,,,,220000,,,8,8
664,HP,4369,10925,,,,,
665,HIT,2162,4326,,,,,
666,HP,6554,8740,,,,,
667,,,,220000,,,8,8
668,HP,50799,94826,,,,,
669,DEF,2889,5238,,,,,
670,HP,81278,135465,,,,,
671,,,,220000,,,8,8
672,HP,9161,9772,,,,,
673,DEF,732,815,,,,,
674,,,,220000,,,8,8
675,HP,4885,12215,,,,,
676,DEF,488,978,,,,,
677,HP,7328,9772,,,,,
678,,,,220000,,,8,8
679,HP,56801,106031,,,,,
680,DEF,4039,7322,,,,,
681,HP,90883,151472,,,,,
682,,,,220000,,,8,8
683,HP,15234,16251,,,,,
684,SPD,3554,3950,,,,,
685,,,,220000,,,8,8
686,HP,8125,20313,,,,,
687,SPD,2369,4740,,,,,
688,HP,12187,16251,,,,,
689,,,,220000,,,8,8
690,HP,94458,176324,,,,,
691,DEF,5037,9132,,,,,
692,HP,151134,251891,,,,,
693,,,,220000,,,8,8
694,HP,14217,15166,,,,,
695,ATK,1390,1545,,,,,
696,,,,220000,,,8,8
697,HP,7582,18957,,,,,
698,ATK,926,1854,,,,,
699,HP,11374,15166,,,,,
700,,,,220000,,,8,8
701,HP,88153,164553,,,,,
702,DEF,5572,10100,,,,,
703,HP,141045,235076,,,,,
704,,,,220000,,,8,8
705,SPD,14,16,,,,,
706,HIT,28,32,,,,,
707,,,,250000,,,8,8
708,SPD,7,20,,,,,
709,HIT,18,38,,,,,
710,SPD,11,16,,,,,
711,,,,250000,,,8,8
712,SPD,388,725,,,,,
713,HIT,650,1180,,,,,
714,SPD,465,777,,,,,
715,,,,250000,,,8,8
716,SPD,14,16,,,,,
717,HIT,28,32,,,,,
718,,,,250000,,,8,8
719,SPD,7,20,,,,,
720,HIT,19,39,,,,,
721,SPD,11,16,,,,,
722,,,,250000,,,8,8
723,SPD,91,172,,,,,
724,HIT,157,286,,,,,
725,SPD,146,245,,,,,
726,,,,250000,,,8,8
727,SPD,64,69,,,,,
728,HIT,89,100,,,,,
729,,,,250000,,,8,8
730,SPD,34,87,,,,,
731,HIT,59,120,,,,,
732,SPD,51,69,,,,,
733,,,,250000,,,8,8
734,SPD,400,748,,,,,
735,HIT,494,896,,,,,
736,SPD,640,1068,,,,,
737,,,,250000,,,8,8
738,SPD,197,211,,,,,
739,HIT,253,283,,,,,
740,,,,250000,,,8,8
741,SPD,105,264,,,,,
742,HIT,169,339,,,,,
743,SPD,157,211,,,,,
744,,,,250000,,,8,8
745,SPD,1224,2286,,,,,
746,HIT,1399,2537,,,,,
747,SPD,1959,3266,,,,,
748,,,,250000,,,8,8
749,SPD,34,37,,,,,
750,HIT,64,72,,,,,
751,,,,250000,,,8,8
752,SPD,18,46,,,,,
753,HIT,42,86,,,,,
754,SPD,27,37,,,,,
755,,,,250000,,,8,8
756,SPD,211,396,,,,,
757,HIT,355,645,,,,,
758,SPD,339,566,,,,,
759,,,,250000,,,8,8
760,SPD,35,39,,,,,
761,HIT,69,77,,,,,
762,,,,250000,,,8,8
763,SPD,19,48,,,,,
764,HIT,46,93,,,,,
765,SPD,28,39,,,,,
766,,,,250000,,,8,8
767,SPD,222,415,,,,,
768,HIT,380,691,,,,,
769,SPD,355,593,,,,,
770,,,,250000,,,8,8
771,SPD,193,207,,,,,
772,HIT,269,299,,,,,
773,,,,250000,,,8,8
774,SPD,103,259,,,,,
775,HIT,179,359,,,,,
776,SPD,154,207,,,,,
777,,,,250000,,,8,8
778,SPD,1201,2243,,,,,
779,HIT,1482,2688,,,,,
780,SPD,1922,3204,,,,,
781,,,,250000,,,8,8
782,SPD,425,454,,,,,
783,HIT,547,609,,,,,
784,,,,250000,,,8,8
785,SPD,226,568,,,,,
786,HIT,364,730,,,,,
787,SPD,340,454,,,,,
788,,,,250000,,,8,8
789,SPD,2638,4927,,,,,
790,HIT,3015,5467,,,,,
791,SPD,4222,7038,,,,,
792,,,,250000,,,8,8
793,SPD,87,94,,,,,
794,HIT,164,183,,,,,
795,,,,250000,,,8,8
796,SPD,46,117,,,,,
797,HIT,109,220,,,,,
798,SPD,69,94,,,,,
799,,,,250000,,,8,8
800,SPD,541,1010,,,,,
801,HIT,906,1644,,,,,
802,SPD,865,1443,,,,,
803,,,,250000,,,8,8
804,SPD,91,98,,,,,
805,HIT,177,197,,,,,
806,,,,250000,,,8,8
807,SPD,48,123,,,,,
808,HIT,118,237,,,,,
809,SPD,73,98,,,,,
810,,,,250000,,,8,8
811,SPD,569,1064,,,,,
812,HIT,976,1770,,,,,
813,SPD,911,1519,,,,,
814,,,,250000,,,8,8
815,SPD,459,490,,,,,
816,HIT,637,709,,,,,
817,,,,250000,,,8,8
818,SPD,244,613,,,,,
819,HIT,425,851,,,,,
820,SPD,367,490,,,,,
821,,,,250000,,,8,8
822,SPD,2847,5316,,,,,
823,HIT,3514,6371,,,,,
824,SPD,4556,7594,,,,,
825,,,,250000,,,8,8
826,SPD,2227,2376,,,,,
827,HIT,2863,3183,,,,,
828,,,,250000,,,8,8
829,SPD,1187,2970,,,,,
830,HIT,1909,3819,,,,,
831,SPD,1781,2376,,,,,
832,,,,250000,,,8,8
833,SPD,13810,25781,,,,,
834,HIT,15783,28609,,,,,
835,SPD,22097,36829,,,,,
836,,,,250000,,,8,8
837,SPD,306,327,,,,,
838,HIT,578,643,,,,,
839,,,,250000,,,8,8
840,SPD,163,409,,,,,
841,HIT,385,771,,,,,
842,SPD,245,327,,,,,
843,,,,250000,,,8,8
844,SPD,1900,3549,,,,,
845,HIT,3185,5775,,,,,
846,SPD,3041,5069,,,,,
847,,,,250000,,,8,8
848,SPD,494,528,,,,,
849,DEF,233,260,,,,,
850,,,,250000,,,8,8
851,SPD,263,660,,,,,
852,DEF,155,312,,,,,
853,SPD,395,528,,,,,
854,,,,250000,,,8,8
855,SPD,3069,5729,,,,,
856,HIT,5261,9537,,,,,
857,SPD,4910,8185,,,,,
858,,,,250000,,,8,8
859,SPD,618,660,,,,,
860,HP,3818,4243,,,,,
861,,,,250000,,,8,8
862,SPD,329,825,,,,,
863,HP,2545,5092,,,,,
864,SPD,494,660,,,,,
865,,,,250000,,,8,8
866,SPD,3836,7162,,,,,
867,HIT,4735,8583,,,,,
868,SPD,6138,10231,,,,,
869,,,,250000,,,8,8
870,SPD,742,792,,,,,
871,ATK,233,260,,,,,
872,,,,250000,,,8,8
873,SPD,395,990,,,,,
874,ATK,155,312,,,,,
875,SPD,593,792,,,,,
876,,,,250000,,,8,8
877,SPD,4603,8594,,,,,
878,HIT,5261,9537,,,,,
879,SPD,7365,12277,,,,,
880,,,,250000,,,8,8
881,SPD,989,1056,,,,,
882,HIT,1865,2073,,,,,
883,,,,250000,,,8,8
884,SPD,527,1320,,,,,
885,HIT,1243,2488,,,,,
886,SPD,791,1056,,,,,
887,,,,250000,,,8,8
888,SPD,6133,11450,,,,,
889,HIT,10281,18636,,,,,
890,SPD,9814,16357,,,,,
891,,,,250000,,,8,8
