id,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max,item6,item6_ratio,item6_min,item6_max,item7,item7_ratio,item7_min,item7_max,item8,item8_ratio,item8_min,item8_max,item9,item9_ratio,item9_min,item9_max,item10,item10_ratio,item10_min,item10_max
63,306025,0.3,1,1,306033,0.15,1,1,302003,0.15,1,1,303100,0.1,1,1,303301,0.1,1,1,303302,0.05,1,1,303303,0.01,1,1,,,,,,,,,,,,
64,306027,0.3,1,1,306033,0.15,1,1,302001,0.15,1,1,303400,0.1,1,1,303001,0.1,1,1,303402,0.05,1,1,303303,0.01,1,1,,,,,,,,,,,,
65,306029,0.3,1,1,306032,0.15,1,1,302008,0.15,1,1,303300,0.1,1,1,303101,0.1,1,1,303102,0.05,1,1,303003,0.01,1,1,,,,,,,,,,,,
66,306027,0.3,1,1,306032,0.15,1,1,302002,0.15,1,1,303400,0.1,1,1,303301,0.1,1,1,303402,0.05,1,1,303003,0.01,1,1,,,,,,,,,,,,
67,306031,0.3,1,2,306029,0.15,1,1,302003,0.15,1,1,303400,0.1,1,1,303101,0.1,1,1,303002,0.05,1,1,303103,0.01,1,1,,,,,,,,,,,,
68,306036,0.3,1,2,306029,0.15,1,1,302003,0.15,1,1,303000,0.1,1,1,303201,0.1,1,1,303202,0.05,1,1,303203,0.01,1,1,,,,,,,,,,,,
69,306033,0.3,1,2,306029,0.15,1,1,302008,0.15,1,1,303100,0.1,1,1,303101,0.1,1,1,303202,0.05,1,1,303303,0.01,1,1,,,,,,,,,,,,
70,306032,0.3,1,2,306029,0.15,1,1,302007,0.15,1,1,303200,0.1,1,1,303201,0.1,1,1,303402,0.05,1,1,303303,0.01,1,1,,,,,,,,,,,,
71,306023,0.3,1,2,306031,0.15,1,1,302007,0.15,1,1,303200,0.1,1,1,303101,0.1,1,1,303002,0.05,1,1,303103,0.01,1,1,,,,,,,,,,,,
72,306025,0.3,1,2,306031,0.15,1,1,302007,0.15,1,1,303100,0.1,1,1,303001,0.1,1,1,303302,0.05,1,1,303003,0.01,1,1,,,,,,,,,,,,
73,306025,0.3,1,2,306032,0.15,1,1,302007,0.15,1,1,303200,0.1,1,1,303201,0.1,1,1,303402,0.05,1,1,303203,0.01,1,1,,,,,,,,,,,,
74,306027,0.3,1,2,306032,0.15,1,1,302004,0.15,1,1,303000,0.1,1,1,303401,0.1,1,1,303402,0.05,1,1,303303,0.01,1,1,,,,,,,,,,,,
75,306027,0.3,1,3,306033,0.15,1,2,302000,0.15,1,1,303400,0.1,1,1,303001,0.1,1,1,303402,0.05,1,1,303203,0.01,1,1,,,,,,,,,,,,
76,306025,0.3,1,3,306033,0.15,1,2,302000,0.15,1,1,303000,0.1,1,1,303101,0.1,1,1,303002,0.05,1,1,303403,0.01,1,1,,,,,,,,,,,,
77,306031,0.3,1,3,306033,0.15,1,2,302009,0.15,1,1,303400,0.1,1,1,303401,0.1,1,1,303402,0.05,1,1,303003,0.01,1,1,,,,,,,,,,,,
78,306036,0.3,1,3,306033,0.15,1,2,302001,0.15,1,1,303200,0.1,1,1,303001,0.1,1,1,303202,0.05,1,1,303103,0.01,1,1,,,,,,,,,,,,
79,306036,0.3,1,3,306032,0.15,1,2,302008,0.15,1,1,303100,0.1,1,1,303201,0.1,1,1,303202,0.05,1,1,303203,0.01,1,1,,,,,,,,,,,,
80,306036,0.3,1,3,306029,0.15,1,2,302003,0.15,1,1,303400,0.1,1,1,303001,0.1,1,1,303302,0.05,1,1,303303,0.01,1,1,,,,,,,,,,,,
81,306031,0.3,1,3,306040,0.15,1,2,302007,0.15,1,1,303300,0.05,1,1,303101,0.15,1,1,303202,0.04,1,1,,,,,,,,,,,,,,,,
82,306029,0.3,1,3,306041,0.15,1,2,302009,0.15,1,1,303400,0.05,1,1,303001,0.15,1,1,303402,0.04,1,1,,,,,,,,,,,,,,,,
83,306029,0.3,1,4,306045,0.15,1,2,302003,0.15,1,1,303300,0.05,1,1,303001,0.15,1,1,303202,0.04,1,1,,,,,,,,,,,,,,,,
84,306029,0.3,1,4,306046,0.15,1,2,302002,0.15,1,1,303000,0.05,1,1,303301,0.15,1,1,303302,0.04,1,1,,,,,,,,,,,,,,,,
85,306029,0.3,1,4,306032,0.15,1,2,302002,0.15,1,1,303400,0.05,1,1,303201,0.15,1,1,303302,0.04,1,1,,,,,,,,,,,,,,,,
86,306031,0.3,1,4,306041,0.15,1,2,302007,0.15,1,1,303400,0.05,1,1,303401,0.15,1,1,303202,0.04,1,1,,,,,,,,,,,,,,,,
87,306033,0.3,1,4,306045,0.15,1,3,302005,0.15,1,1,303200,0.05,1,1,303101,0.15,1,1,303302,0.04,1,1,,,,,,,,,,,,,,,,
88,306033,0.3,1,4,306046,0.15,1,3,302001,0.15,1,1,303200,0.05,1,1,303101,0.15,1,1,303002,0.04,1,1,,,,,,,,,,,,,,,,
89,306033,0.3,1,4,306045,0.15,1,3,302008,0.15,1,1,303300,0.05,1,1,303301,0.15,1,1,303302,0.04,1,1,,,,,,,,,,,,,,,,
90,306033,0.3,1,4,306029,0.15,1,3,302007,0.15,1,1,303400,0.05,1,1,303201,0.15,1,1,303302,0.04,1,1,,,,,,,,,,,,,,,,
91,306031,0.3,1,5,306033,0.15,1,3,302000,0.15,1,1,303300,0.05,1,1,303001,0.15,1,1,303302,0.04,1,1,,,,,,,,,,,,,,,,
92,306033,0.3,1,5,306032,0.15,1,3,302000,0.15,1,1,303100,0.05,1,1,303101,0.15,1,1,303102,0.04,1,1,,,,,,,,,,,,,,,,
93,306032,0.3,1,5,306029,0.15,1,3,302005,0.15,1,1,303000,0.05,1,1,303101,0.15,1,1,303002,0.04,1,1,,,,,,,,,,,,,,,,
94,306029,0.3,1,5,306029,0.15,1,3,302002,0.15,1,1,303000,0.05,1,1,303401,0.15,1,1,303102,0.04,1,1,,,,,,,,,,,,,,,,
95,306029,0.3,1,5,306032,0.15,1,3,302002,0.15,1,1,303300,0.05,1,1,303101,0.15,1,1,303102,0.04,1,1,,,,,,,,,,,,,,,,
96,306025,0.3,1,5,306032,0.15,1,3,302007,0.15,1,1,303100,0.05,1,1,303401,0.15,1,1,303202,0.04,1,1,,,,,,,,,,,,,,,,
97,306033,0.3,1,5,306033,0.15,1,3,302001,0.15,1,1,303400,0.05,1,1,303001,0.15,1,1,303202,0.04,1,1,,,,,,,,,,,,,,,,
98,306033,0.3,1,5,306033,0.15,1,3,302001,0.15,1,1,303400,0.05,1,1,303101,0.15,1,1,303302,0.04,1,1,,,,,,,,,,,,,,,,
99,306031,0.3,1,6,306032,0.15,1,4,302006,0.15,1,1,303300,0.05,1,1,303401,0.15,1,1,303402,0.04,1,1,,,,,,,,,,,,,,,,
100,306031,0.3,1,6,306034,0.15,1,4,302002,0.15,1,1,303100,0.05,1,1,303001,0.15,1,1,303102,0.04,1,1,306031,0.07,1,1,,,,,,,,,,,,
101,306043,0.3,1,1,306043,0.15,1,1,302006,0.15,1,1,303401,0.15,1,1,303302,0.03,1,1,,,,,,,,,,,,,,,,,,,,
102,306043,0.3,1,1,306050,0.15,1,1,302001,0.15,1,1,303301,0.15,1,1,303402,0.03,1,1,,,,,,,,,,,,,,,,,,,,
103,306043,0.3,1,1,306050,0.15,1,1,302000,0.15,1,1,303201,0.15,1,1,303302,0.03,1,1,,,,,,,,,,,,,,,,,,,,
104,306043,0.3,1,1,306050,0.15,1,1,302005,0.15,1,1,303101,0.15,1,1,303002,0.03,1,1,,,,,,,,,,,,,,,,,,,,
105,306038,0.3,1,1,306051,0.15,1,1,302007,0.15,1,1,303101,0.15,1,1,303002,0.03,1,1,,,,,,,,,,,,,,,,,,,,
106,306038,0.3,1,1,306050,0.15,1,1,302001,0.15,1,1,303201,0.15,1,1,303102,0.03,1,1,,,,,,,,,,,,,,,,,,,,
107,306038,0.3,1,1,306050,0.15,1,1,302000,0.15,1,1,303101,0.15,1,1,303402,0.03,1,1,,,,,,,,,,,,,,,,,,,,
108,306038,0.3,1,1,306050,0.15,1,1,302006,0.15,1,1,303401,0.15,1,1,303202,0.03,1,1,,,,,,,,,,,,,,,,,,,,
109,306048,0.3,1,1,306050,0.15,1,1,302007,0.15,1,1,303201,0.15,1,1,303302,0.03,1,1,,,,,,,,,,,,,,,,,,,,
110,306048,0.3,1,1,306051,0.15,1,1,302004,0.15,1,1,303101,0.15,1,1,303002,0.03,1,1,,,,,,,,,,,,,,,,,,,,
111,306050,0.3,1,1,306051,0.15,1,1,302001,0.15,1,1,303201,0.1,1,1,303002,0.11,1,1,303303,0.02,1,1,,,,,,,,,,,,,,,,
112,306050,0.3,1,1,306051,0.15,1,1,302008,0.15,1,1,303101,0.1,1,1,303302,0.11,1,1,303003,0.02,1,1,,,,,,,,,,,,,,,,
113,306050,0.3,1,1,306051,0.15,1,1,302005,0.15,1,1,303201,0.1,1,1,303302,0.11,1,1,303403,0.02,1,1,,,,,,,,,,,,,,,,
114,306050,0.3,1,1,306051,0.15,1,1,302002,0.15,1,1,303301,0.1,1,1,303002,0.11,1,1,303103,0.02,1,1,,,,,,,,,,,,,,,,
115,306051,0.3,1,1,306051,0.15,1,1,302007,0.15,1,1,303401,0.1,1,1,303102,0.11,1,1,303003,0.02,1,1,,,,,,,,,,,,,,,,
116,306043,0.3,1,1,306051,0.15,1,1,302007,0.15,1,1,303101,0.1,1,1,303302,0.11,1,1,303303,0.02,1,1,,,,,,,,,,,,,,,,
117,306051,0.3,1,2,306051,0.15,1,1,302000,0.15,1,1,303301,0.1,1,1,303202,0.11,1,1,303003,0.02,1,1,,,,,,,,,,,,,,,,
118,306051,0.3,1,2,306051,0.15,1,1,302002,0.15,1,1,303001,0.1,1,1,303202,0.11,1,1,303303,0.02,1,1,,,,,,,,,,,,,,,,
119,306038,0.3,1,2,306051,0.15,1,1,302000,0.15,1,1,303001,0.1,1,1,303202,0.11,1,1,303103,0.02,1,1,,,,,,,,,,,,,,,,
120,306051,0.3,1,2,306051,0.15,1,1,302005,0.15,1,1,303001,0.1,1,1,303402,0.11,1,1,303303,0.02,1,1,,,,,,,,,,,,,,,,
121,306050,0.3,1,2,306051,0.15,1,1,302000,0.15,1,1,303101,0.1,1,1,303002,0.11,1,1,303103,0.02,1,1,,,,,,,,,,,,,,,,
122,306050,0.3,1,2,306051,0.15,1,1,302007,0.15,1,1,303401,0.1,1,1,303302,0.11,1,1,303203,0.02,1,1,,,,,,,,,,,,,,,,
123,306050,0.3,1,2,306051,0.15,1,1,302008,0.15,1,1,303101,0.1,1,1,303302,0.11,1,1,303203,0.02,1,1,,,,,,,,,,,,,,,,
124,306050,0.3,1,2,306051,0.15,1,1,302001,0.15,1,1,303201,0.1,1,1,303102,0.11,1,1,303103,0.02,1,1,,,,,,,,,,,,,,,,
125,306050,0.3,1,3,306051,0.15,1,2,302007,0.15,1,1,303101,0.1,1,1,303202,0.11,1,1,303203,0.02,1,1,,,,,,,,,,,,,,,,
126,306050,0.3,1,3,306051,0.15,1,2,302007,0.15,1,1,303301,0.1,1,1,303002,0.11,1,1,303303,0.02,1,1,,,,,,,,,,,,,,,,
127,306051,0.3,1,3,306051,0.15,1,2,302000,0.15,1,1,303001,0.1,1,1,303402,0.11,1,1,303203,0.02,1,1,,,,,,,,,,,,,,,,
128,306038,0.3,1,3,306051,0.15,1,2,302003,0.15,1,1,303401,0.1,1,1,303002,0.11,1,1,303303,0.02,1,1,,,,,,,,,,,,,,,,
129,306038,0.3,1,3,306051,0.15,1,2,302005,0.15,1,1,303101,0.1,1,1,303102,0.11,1,1,303403,0.02,1,1,,,,,,,,,,,,,,,,
130,306038,0.3,1,3,306051,0.15,1,2,302000,0.15,1,1,303001,0.1,1,1,303002,0.11,1,1,303403,0.02,1,1,,,,,,,,,,,,,,,,
131,306050,0.3,1,3,306040,0.15,1,2,302002,0.15,1,1,303201,0.05,1,1,303102,0.15,1,1,303303,0.04,1,1,303304,0.01,1,1,,,,,,,,,,,,
132,306051,0.3,1,3,306043,0.15,1,2,302008,0.15,1,1,303201,0.05,1,1,303102,0.15,1,1,303303,0.04,1,1,303204,0.01,1,1,,,,,,,,,,,,
133,306051,0.3,1,4,306045,0.15,1,2,302008,0.15,1,1,303301,0.05,1,1,303102,0.15,1,1,303403,0.04,1,1,303404,0.01,1,1,,,,,,,,,,,,
134,306051,0.3,1,4,306048,0.15,1,2,302001,0.15,1,1,303101,0.05,1,1,303302,0.15,1,1,303303,0.04,1,1,303004,0.01,1,1,,,,,,,,,,,,
135,306051,0.3,1,4,306051,0.15,1,2,302006,0.15,1,1,303101,0.05,1,1,303002,0.15,1,1,303403,0.04,1,1,303204,0.01,1,1,,,,,,,,,,,,
136,306050,0.3,1,4,306043,0.15,1,2,302002,0.15,1,1,303001,0.05,1,1,303402,0.15,1,1,303303,0.04,1,1,303004,0.01,1,1,,,,,,,,,,,,
137,306051,0.3,1,4,306045,0.15,1,3,302007,0.15,1,1,303001,0.05,1,1,303002,0.15,1,1,303003,0.04,1,1,303304,0.01,1,1,,,,,,,,,,,,
138,306051,0.3,1,4,306048,0.15,1,3,302002,0.15,1,1,303101,0.05,1,1,303002,0.15,1,1,303203,0.04,1,1,303304,0.01,1,1,,,,,,,,,,,,
139,306051,0.3,1,4,306045,0.15,1,3,302009,0.15,1,1,303401,0.05,1,1,303302,0.15,1,1,303203,0.04,1,1,303004,0.01,1,1,,,,,,,,,,,,
140,306050,0.3,1,4,306051,0.15,1,3,302006,0.15,1,1,303101,0.05,1,1,303202,0.15,1,1,303003,0.04,1,1,303404,0.01,1,1,,,,,,,,,,,,
141,306051,0.3,1,5,306051,0.15,1,3,302007,0.15,1,1,303401,0.05,1,1,303102,0.15,1,1,303403,0.04,1,1,303004,0.01,1,1,,,,,,,,,,,,
142,306051,0.3,1,5,306051,0.15,1,3,302002,0.15,1,1,303301,0.05,1,1,303002,0.15,1,1,303003,0.04,1,1,303104,0.01,1,1,,,,,,,,,,,,
143,306051,0.3,1,5,306051,0.15,1,3,302002,0.15,1,1,303101,0.05,1,1,303102,0.15,1,1,303103,0.04,1,1,303104,0.01,1,1,,,,,,,,,,,,
144,306050,0.3,1,5,306051,0.15,1,3,302007,0.15,1,1,303301,0.05,1,1,303102,0.15,1,1,303203,0.04,1,1,303104,0.01,1,1,,,,,,,,,,,,
145,306051,0.3,1,5,306051,0.15,1,3,302003,0.15,1,1,303301,0.05,1,1,303002,0.15,1,1,303003,0.04,1,1,303104,0.01,1,1,,,,,,,,,,,,
146,306050,0.3,1,5,306051,0.15,1,3,302005,0.15,1,1,303401,0.05,1,1,303002,0.15,1,1,303303,0.04,1,1,303104,0.01,1,1,,,,,,,,,,,,
147,306051,0.3,1,5,306051,0.15,1,3,302004,0.15,1,1,303201,0.05,1,1,303102,0.15,1,1,303403,0.04,1,1,303304,0.01,1,1,,,,,,,,,,,,
148,306051,0.3,1,5,306051,0.15,1,3,302009,0.15,1,1,303201,0.05,1,1,303202,0.15,1,1,303003,0.04,1,1,303204,0.01,1,1,,,,,,,,,,,,
149,306051,0.3,1,6,306051,0.15,1,4,302007,0.15,1,1,303301,0.05,1,1,303402,0.15,1,1,303003,0.04,1,1,303404,0.01,1,1,,,,,,,,,,,,
150,306051,0.3,1,6,306054,0.15,1,4,302005,0.15,1,1,303401,0.05,1,1,303002,0.15,1,1,303303,0.04,1,1,303304,0.01,1,1,306053,0.1,1,1,306055,0.05,1,1,,,,
10001,304002,0.05,1,1,304002,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,304001,0.05,1,1,304001,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007,304003,0.05,1,1,304003,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008,304002,0.05,1,1,304002,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,304002,0.05,1,1,304002,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010,304001,0.05,1,1,304001,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,304002,0.05,1,1,304002,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,304003,0.05,1,1,304003,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,304001,0.05,1,1,304001,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
