id,wave,monster1_id,monster1_level,monster1_count,monster2_id,monster2_level,monster2_count,monster3_id,monster3_level,monster3_count,monster4_id,monster4_level,monster4_count,is_boss,reward,exp
14,1,202000,3,2,,,,,,,,,,0,0,0
14,2,202004,3,1,204001,3,3,,,,,,,0,0,0
14,3,204000,3,2,204001,3,2,,,,,,,0,0,0
14,4,202000,3,2,202001,3,1,202002,3,1,202003,3,1,0,14,162
15,1,202000,3,2,,,,,,,,,,0,0,0
15,2,202000,3,2,202001,3,1,,,,,,,0,0,0
15,3,204000,3,2,204001,3,2,,,,,,,0,0,0
15,4,202000,3,1,202002,3,3,,,,,,,0,0,0
15,5,202000,3,2,202001,3,1,,,,,,,1,15,170
16,1,204000,4,2,204001,4,2,,,,,,,0,0,0
16,2,202000,4,2,202001,4,1,,,,,,,0,0,0
16,3,202001,4,2,,,,,,,,,,0,0,0
16,4,202000,4,1,202001,4,1,202002,4,1,,,,0,0,0
16,5,202000,4,2,202001,4,1,202003,4,1,,,,0,0,0
16,6,204000,4,2,204001,4,2,,,,,,,0,0,0
16,7,202004,4,1,204001,4,3,,,,,,,0,16,178
17,1,202004,4,1,204001,4,3,,,,,,,0,0,0
17,2,202004,4,1,204001,4,3,,,,,,,0,0,0
17,3,202006,4,1,204001,4,3,,,,,,,0,0,0
17,4,202005,4,1,204001,4,3,,,,,,,0,0,0
17,5,202004,4,1,204001,4,3,,,,,,,0,17,186
18,1,202000,4,2,202001,4,1,202002,4,1,202003,4,1,0,0,0
18,2,202005,4,1,204001,4,3,,,,,,,0,0,0
18,3,204000,4,2,204001,4,2,,,,,,,0,0,0
18,4,202000,4,1,202002,4,3,,,,,,,0,0,0
18,5,202000,4,2,202001,4,1,202002,4,1,202003,4,1,0,18,194
19,1,204000,4,2,204001,4,2,,,,,,,0,0,0
19,2,202000,4,2,202001,4,1,202002,4,1,202003,4,1,0,0,0
19,3,202000,4,2,202001,4,1,202002,4,1,202003,4,1,0,0,0
19,4,202004,4,1,202005,4,1,,,,,,,0,0,0
19,5,202006,4,1,204001,4,3,,,,,,,0,19,202
20,1,202003,4,1,202004,4,1,202006,4,1,,,,0,0,0
20,2,202000,4,2,202001,4,1,,,,,,,0,0,0
20,3,204000,4,2,204001,4,2,,,,,,,0,0,0
20,4,202002,4,2,202006,4,1,202007,4,1,,,,1,20,210
21,1,204010,5,2,,,,,,,,,,0,0,0
21,2,204010,5,3,,,,,,,,,,0,0,0
21,3,204000,5,1,204010,5,2,,,,,,,0,0,0
21,4,204000,5,3,,,,,,,,,,0,21,218
22,1,204000,5,1,204010,5,2,,,,,,,0,0,0
22,2,201000,5,2,,,,,,,,,,0,0,0
22,3,201000,5,3,,,,,,,,,,0,0,0
22,4,204000,5,2,,,,,,,,,,0,22,226
23,1,204000,5,1,204010,5,2,,,,,,,0,0,0
23,2,204011,5,2,,,,,,,,,,0,0,0
23,3,201000,5,1,201002,5,2,,,,,,,0,0,0
23,4,204000,5,2,,,,,,,,,,0,0,0
23,5,201000,5,1,201002,5,2,,,,,,,0,23,234
24,1,201000,5,3,,,,,,,,,,0,0,0
24,2,204000,5,1,204010,5,2,,,,,,,0,0,0
24,3,204000,5,3,,,,,,,,,,0,0,0
24,4,201001,5,1,201004,5,2,,,,,,,0,0,0
24,5,201002,5,1,201004,5,2,,,,,,,0,24,242
25,1,201001,5,1,201004,5,2,,,,,,,0,0,0
25,2,204000,5,1,204010,5,2,,,,,,,0,0,0
25,3,201000,5,3,,,,,,,,,,0,0,0
25,4,201000,5,1,201002,5,2,,,,,,,0,0,0
25,5,201002,5,2,201003,5,1,,,,,,,1,25,250
26,1,204011,6,2,,,,,,,,,,0,0,0
26,2,204001,6,2,,,,,,,,,,0,0,0
26,3,204000,6,1,204010,6,2,,,,,,,0,0,0
26,4,204000,6,3,,,,,,,,,,0,0,0
26,5,201000,6,2,201002,6,2,,,,,,,0,0,0
26,6,204001,6,2,204011,6,2,,,,,,,0,26,258
27,1,201000,6,3,,,,,,,,,,0,0,0
27,2,204000,6,1,204010,6,2,,,,,,,0,0,0
27,3,204000,6,3,,,,,,,,,,0,0,0
27,4,201001,6,2,201002,6,2,,,,,,,0,0,0
27,5,201002,6,2,201004,6,2,,,,,,,0,27,266
28,1,204000,6,3,,,,,,,,,,0,0,0
28,2,201000,6,1,201002,6,2,,,,,,,0,0,0
28,3,204000,6,3,,,,,,,,,,0,0,0
28,4,201000,6,2,201002,6,2,,,,,,,0,0,0
28,5,204001,6,2,204011,6,2,,,,,,,0,0,0
28,6,201001,6,2,201002,6,2,,,,,,,0,28,274
29,1,201001,6,1,201004,6,2,,,,,,,0,0,0
29,2,204000,6,1,204010,6,2,,,,,,,0,0,0
29,3,201000,6,3,,,,,,,,,,0,0,0
29,4,201000,6,1,201002,6,2,,,,,,,0,0,0
29,5,201002,6,2,201003,6,1,,,,,,,0,29,282
30,1,201000,6,2,201002,6,2,,,,,,,0,0,0
30,2,201001,6,2,201002,6,2,,,,,,,0,0,0
30,3,204000,6,2,204001,6,2,,,,,,,0,0,0
30,4,204000,6,1,204010,6,2,,,,,,,0,0,0
30,5,201000,6,1,201002,6,2,,,,,,,0,0,0
30,6,201001,6,1,201002,6,1,201004,6,1,201005,6,1,1,30,290
31,1,204010,7,2,,,,,,,,,,0,0,0
31,2,204010,7,3,,,,,,,,,,0,0,0
31,3,204000,7,1,204010,7,2,,,,,,,0,0,0
31,4,204000,7,3,,,,,,,,,,0,31,298
32,1,204000,7,1,204010,7,2,,,,,,,0,0,0
32,2,201000,7,2,,,,,,,,,,0,0,0
32,3,201000,7,3,,,,,,,,,,0,0,0
32,4,204000,7,2,,,,,,,,,,0,32,306
33,1,204000,7,1,204010,7,2,,,,,,,0,0,0
33,2,204011,7,2,,,,,,,,,,0,0,0
33,3,201000,7,1,201002,7,2,,,,,,,0,0,0
33,4,204000,7,2,,,,,,,,,,0,0,0
33,5,201000,7,1,201002,7,2,,,,,,,0,33,314
34,1,201000,7,3,,,,,,,,,,0,0,0
34,2,204000,7,1,204010,7,2,,,,,,,0,0,0
34,3,204000,7,3,,,,,,,,,,0,0,0
34,4,201001,7,1,201004,7,2,,,,,,,0,0,0
34,5,201002,7,1,201004,7,2,,,,,,,0,34,322
35,1,201001,7,1,201004,7,2,,,,,,,0,0,0
35,2,204000,7,1,204010,7,2,,,,,,,0,0,0
35,3,201000,7,3,,,,,,,,,,0,0,0
35,4,201000,7,1,201002,7,2,,,,,,,0,0,0
35,5,201002,7,2,201003,7,1,,,,,,,1,35,330
36,1,204011,8,2,,,,,,,,,,0,0,0
36,2,204001,8,2,,,,,,,,,,0,0,0
36,3,204000,8,1,204010,8,2,,,,,,,0,0,0
36,4,204000,8,3,,,,,,,,,,0,0,0
36,5,201000,8,2,201002,8,2,,,,,,,0,0,0
36,6,204001,8,2,204011,8,2,,,,,,,0,36,338
37,1,201000,8,3,,,,,,,,,,0,0,0
37,2,204000,8,1,204010,8,2,,,,,,,0,0,0
37,3,204000,8,3,,,,,,,,,,0,0,0
37,4,201001,8,2,201002,8,2,,,,,,,0,0,0
37,5,201002,8,2,201004,8,2,,,,,,,0,37,346
38,1,204000,8,3,,,,,,,,,,0,0,0
38,2,201000,8,1,201002,8,2,,,,,,,0,0,0
38,3,204000,8,3,,,,,,,,,,0,0,0
38,4,201000,8,2,201002,8,2,,,,,,,0,0,0
38,5,204001,8,2,204011,8,2,,,,,,,0,0,0
38,6,201001,8,2,201002,8,2,,,,,,,0,38,354
39,1,201001,8,1,201004,8,2,,,,,,,0,0,0
39,2,204000,8,1,204010,8,2,,,,,,,0,0,0
39,3,201000,8,3,,,,,,,,,,0,0,0
39,4,201000,8,1,201002,8,2,,,,,,,0,0,0
39,5,201002,8,2,201003,8,1,,,,,,,0,39,362
40,1,201000,8,2,201002,8,2,,,,,,,0,0,0
40,2,201001,8,2,201002,8,2,,,,,,,0,0,0
40,3,204000,8,2,204001,8,2,,,,,,,0,0,0
40,4,204000,8,1,204010,8,2,,,,,,,0,0,0
40,5,201000,8,1,201002,8,2,,,,,,,0,0,0
40,6,201001,8,1,201002,8,1,201004,8,1,201005,8,1,1,40,370
41,1,204010,9,2,,,,,,,,,,0,0,0
41,2,204010,9,3,,,,,,,,,,0,0,0
41,3,204000,9,1,204010,9,2,,,,,,,0,0,0
41,4,204000,9,3,,,,,,,,,,0,41,378
42,1,204000,9,1,204010,9,2,,,,,,,0,0,0
42,2,201000,9,2,,,,,,,,,,0,0,0
42,3,201000,9,3,,,,,,,,,,0,0,0
42,4,204000,9,2,,,,,,,,,,0,42,386
43,1,204000,9,1,204010,9,2,,,,,,,0,0,0
43,2,204011,9,2,,,,,,,,,,0,0,0
43,3,201000,9,1,201002,9,2,,,,,,,0,0,0
43,4,204000,9,2,,,,,,,,,,0,0,0
43,5,201000,9,1,201002,9,2,,,,,,,0,43,394
44,1,201000,9,3,,,,,,,,,,0,0,0
44,2,204000,9,1,204010,9,2,,,,,,,0,0,0
44,3,204000,9,3,,,,,,,,,,0,0,0
44,4,201001,9,1,201004,9,2,,,,,,,0,0,0
44,5,201002,9,1,201004,9,2,,,,,,,0,44,402
45,1,201001,9,1,201004,9,2,,,,,,,0,0,0
45,2,204000,9,1,204010,9,2,,,,,,,0,0,0
45,3,201000,9,3,,,,,,,,,,0,0,0
45,4,201000,9,1,201002,9,2,,,,,,,0,0,0
45,5,201002,9,2,201003,9,1,,,,,,,1,45,410
46,1,204011,10,2,,,,,,,,,,0,0,0
46,2,204001,10,2,,,,,,,,,,0,0,0
46,3,204000,10,1,204010,10,2,,,,,,,0,0,0
46,4,204000,10,3,,,,,,,,,,0,0,0
46,5,201000,10,2,201002,10,2,,,,,,,0,0,0
46,6,204001,10,2,204011,10,2,,,,,,,0,46,418
47,1,201000,10,3,,,,,,,,,,0,0,0
47,2,204000,10,1,204010,10,2,,,,,,,0,0,0
47,3,204000,10,3,,,,,,,,,,0,0,0
47,4,201001,10,2,201002,10,2,,,,,,,0,0,0
47,5,201002,10,2,201004,10,2,,,,,,,0,47,426
48,1,204000,10,3,,,,,,,,,,0,0,0
48,2,201000,10,1,201002,10,2,,,,,,,0,0,0
48,3,204000,10,3,,,,,,,,,,0,0,0
48,4,201000,10,2,201002,10,2,,,,,,,0,0,0
48,5,204001,10,2,204011,10,2,,,,,,,0,0,0
48,6,201001,10,2,201002,10,2,,,,,,,0,48,434
49,1,201001,10,1,201004,10,2,,,,,,,0,0,0
49,2,204000,10,1,204010,10,2,,,,,,,0,0,0
49,3,201000,10,3,,,,,,,,,,0,0,0
49,4,201000,10,1,201002,10,2,,,,,,,0,0,0
49,5,201002,10,2,201003,10,1,,,,,,,0,49,442
50,1,201000,10,2,201002,10,2,,,,,,,0,0,0
50,2,201001,10,2,201002,10,2,,,,,,,0,0,0
50,3,204000,10,2,204001,10,2,,,,,,,0,0,0
50,4,204000,10,1,204010,10,2,,,,,,,0,0,0
50,5,201000,10,1,201002,10,2,,,,,,,0,0,0
50,6,201001,10,1,201002,10,1,201004,10,1,201005,10,1,1,50,450
51,1,204010,11,2,,,,,,,,,,0,0,0
51,2,204010,11,3,,,,,,,,,,0,0,0
51,3,204000,11,1,204010,11,2,,,,,,,0,0,0
51,4,204000,11,3,,,,,,,,,,0,51,458
52,1,204000,11,1,204010,11,2,,,,,,,0,0,0
52,2,201000,11,2,,,,,,,,,,0,0,0
52,3,201000,11,3,,,,,,,,,,0,0,0
52,4,204000,11,2,,,,,,,,,,0,52,466
53,1,204000,11,1,204010,11,2,,,,,,,0,0,0
53,2,204011,11,2,,,,,,,,,,0,0,0
53,3,201000,11,1,201002,11,2,,,,,,,0,0,0
53,4,204000,11,2,,,,,,,,,,0,0,0
53,5,201000,11,1,201002,11,2,,,,,,,0,53,474
54,1,201000,11,3,,,,,,,,,,0,0,0
54,2,204000,11,1,204010,11,2,,,,,,,0,0,0
54,3,204000,11,3,,,,,,,,,,0,0,0
54,4,201001,11,1,201004,11,2,,,,,,,0,0,0
54,5,201002,11,1,201004,11,2,,,,,,,0,54,482
55,1,201001,11,1,201004,11,2,,,,,,,0,0,0
55,2,204000,11,1,204010,11,2,,,,,,,0,0,0
55,3,201000,11,3,,,,,,,,,,0,0,0
55,4,201000,11,1,201002,11,2,,,,,,,0,0,0
55,5,201002,11,2,201003,11,1,,,,,,,1,55,490
56,1,204011,12,2,,,,,,,,,,0,0,0
56,2,204001,12,2,,,,,,,,,,0,0,0
56,3,204000,12,1,204010,12,2,,,,,,,0,0,0
56,4,204000,12,3,,,,,,,,,,0,0,0
56,5,201000,12,2,201002,12,2,,,,,,,0,0,0
56,6,204001,12,2,204011,12,2,,,,,,,0,56,498
57,1,201000,12,3,,,,,,,,,,0,0,0
57,2,204000,12,1,204010,12,2,,,,,,,0,0,0
57,3,204000,12,3,,,,,,,,,,0,0,0
57,4,201001,12,2,201002,12,2,,,,,,,0,0,0
57,5,201002,12,2,201004,12,2,,,,,,,0,57,506
58,1,204000,12,3,,,,,,,,,,0,0,0
58,2,201000,12,1,201002,12,2,,,,,,,0,0,0
58,3,204000,12,3,,,,,,,,,,0,0,0
58,4,201000,12,2,201002,12,2,,,,,,,0,0,0
58,5,204001,12,2,204011,12,2,,,,,,,0,0,0
58,6,201001,12,2,201002,12,2,,,,,,,0,58,514
59,1,201001,12,1,201004,12,2,,,,,,,0,0,0
59,2,204000,12,1,204010,12,2,,,,,,,0,0,0
59,3,201000,12,3,,,,,,,,,,0,0,0
59,4,201000,12,1,201002,12,2,,,,,,,0,0,0
59,5,201002,12,2,201003,12,1,,,,,,,0,59,522
60,1,201000,12,2,201002,12,2,,,,,,,0,0,0
60,2,201001,12,2,201002,12,2,,,,,,,0,0,0
60,3,204000,12,2,204001,12,2,,,,,,,0,0,0
60,4,204000,12,1,204010,12,2,,,,,,,0,0,0
60,5,201000,12,1,201002,12,2,,,,,,,0,0,0
60,6,201001,12,1,201002,12,1,201004,12,1,201005,12,1,1,60,530
61,1,204010,13,2,,,,,,,,,,0,0,0
61,2,204010,13,3,,,,,,,,,,0,0,0
61,3,204000,13,1,204010,13,2,,,,,,,0,0,0
61,4,204000,13,3,,,,,,,,,,0,61,538
62,1,204000,13,1,204010,13,2,,,,,,,0,0,0
62,2,201000,13,2,,,,,,,,,,0,0,0
62,3,201000,13,3,,,,,,,,,,0,0,0
62,4,204000,13,2,,,,,,,,,,0,62,546
63,1,204000,13,1,204010,13,2,,,,,,,0,0,0
63,2,204011,13,2,,,,,,,,,,0,0,0
63,3,201000,13,1,201002,13,2,,,,,,,0,0,0
63,4,204000,13,2,,,,,,,,,,0,0,0
63,5,201000,13,1,201002,13,2,,,,,,,0,63,554
64,1,201000,13,3,,,,,,,,,,0,0,0
64,2,204000,13,1,204010,13,2,,,,,,,0,0,0
64,3,204000,13,3,,,,,,,,,,0,0,0
64,4,201001,13,1,201004,13,2,,,,,,,0,0,0
64,5,201002,13,1,201004,13,2,,,,,,,0,64,562
65,1,201001,13,1,201004,13,2,,,,,,,0,0,0
65,2,204000,13,1,204010,13,2,,,,,,,0,0,0
65,3,201000,13,3,,,,,,,,,,0,0,0
65,4,201000,13,1,201002,13,2,,,,,,,0,0,0
65,5,201002,13,2,201003,13,1,,,,,,,1,65,570
66,1,204011,14,2,,,,,,,,,,0,0,0
66,2,204001,14,2,,,,,,,,,,0,0,0
66,3,204000,14,1,204010,14,2,,,,,,,0,0,0
66,4,204000,14,3,,,,,,,,,,0,0,0
66,5,201000,14,2,201002,14,2,,,,,,,0,0,0
66,6,204001,14,2,204011,14,2,,,,,,,0,66,578
67,1,201000,14,3,,,,,,,,,,0,0,0
67,2,204000,14,1,204010,14,2,,,,,,,0,0,0
67,3,204000,14,3,,,,,,,,,,0,0,0
67,4,201001,14,2,201002,14,2,,,,,,,0,0,0
67,5,201002,14,2,201004,14,2,,,,,,,0,67,586
68,1,204000,14,3,,,,,,,,,,0,0,0
68,2,201000,14,1,201002,14,2,,,,,,,0,0,0
68,3,204000,14,3,,,,,,,,,,0,0,0
68,4,201000,14,2,201002,14,2,,,,,,,0,0,0
68,5,204001,14,2,204011,14,2,,,,,,,0,0,0
68,6,201001,14,2,201002,14,2,,,,,,,0,68,594
69,1,201001,14,1,201004,14,2,,,,,,,0,0,0
69,2,204000,14,1,204010,14,2,,,,,,,0,0,0
69,3,201000,14,3,,,,,,,,,,0,0,0
69,4,201000,14,1,201002,14,2,,,,,,,0,0,0
69,5,201002,14,2,201003,14,1,,,,,,,0,69,602
70,1,201000,14,2,201002,14,2,,,,,,,0,0,0
70,2,201001,14,2,201002,14,2,,,,,,,0,0,0
70,3,204000,14,2,204001,14,2,,,,,,,0,0,0
70,4,204000,14,1,204010,14,2,,,,,,,0,0,0
70,5,201000,14,1,201002,14,2,,,,,,,0,0,0
70,6,201001,14,1,201002,14,1,201004,14,1,201005,14,1,1,70,610
71,1,204010,15,2,,,,,,,,,,0,0,0
71,2,204010,15,3,,,,,,,,,,0,0,0
71,3,204000,15,1,204010,15,2,,,,,,,0,0,0
71,4,204000,15,3,,,,,,,,,,0,71,618
72,1,204000,15,1,204010,15,2,,,,,,,0,0,0
72,2,201000,15,2,,,,,,,,,,0,0,0
72,3,201000,15,3,,,,,,,,,,0,0,0
72,4,204000,15,2,,,,,,,,,,0,72,626
73,1,204000,15,1,204010,15,2,,,,,,,0,0,0
73,2,204011,15,2,,,,,,,,,,0,0,0
73,3,201000,15,1,201002,15,2,,,,,,,0,0,0
73,4,204000,15,2,,,,,,,,,,0,0,0
73,5,201000,15,1,201002,15,2,,,,,,,0,73,634
74,1,201000,15,3,,,,,,,,,,0,0,0
74,2,204000,15,1,204010,15,2,,,,,,,0,0,0
74,3,204000,15,3,,,,,,,,,,0,0,0
74,4,201001,15,1,201004,15,2,,,,,,,0,0,0
74,5,201002,15,1,201004,15,2,,,,,,,0,74,642
75,1,201001,15,1,201004,15,2,,,,,,,0,0,0
75,2,204000,15,1,204010,15,2,,,,,,,0,0,0
75,3,201000,15,3,,,,,,,,,,0,0,0
75,4,201000,15,1,201002,15,2,,,,,,,0,0,0
75,5,201002,15,2,201003,15,1,,,,,,,1,75,650
76,1,204011,16,2,,,,,,,,,,0,0,0
76,2,204001,16,2,,,,,,,,,,0,0,0
76,3,204000,16,1,204010,16,2,,,,,,,0,0,0
76,4,204000,16,3,,,,,,,,,,0,0,0
76,5,201000,16,2,201002,16,2,,,,,,,0,0,0
76,6,204001,16,2,204011,16,2,,,,,,,0,76,658
77,1,201000,16,3,,,,,,,,,,0,0,0
77,2,204000,16,1,204010,16,2,,,,,,,0,0,0
77,3,204000,16,3,,,,,,,,,,0,0,0
77,4,201001,16,2,201002,16,2,,,,,,,0,0,0
77,5,201002,16,2,201004,16,2,,,,,,,0,77,666
78,1,204000,16,3,,,,,,,,,,0,0,0
78,2,201000,16,1,201002,16,2,,,,,,,0,0,0
78,3,204000,16,3,,,,,,,,,,0,0,0
78,4,201000,16,2,201002,16,2,,,,,,,0,0,0
78,5,204001,16,2,204011,16,2,,,,,,,0,0,0
78,6,201001,16,2,201002,16,2,,,,,,,0,78,674
79,1,201001,16,1,201004,16,2,,,,,,,0,0,0
79,2,204000,16,1,204010,16,2,,,,,,,0,0,0
79,3,201000,16,3,,,,,,,,,,0,0,0
79,4,201000,16,1,201002,16,2,,,,,,,0,0,0
79,5,201002,16,2,201003,16,1,,,,,,,0,79,682
80,1,201000,16,2,201002,16,2,,,,,,,0,0,0
80,2,201001,16,2,201002,16,2,,,,,,,0,0,0
80,3,204000,16,2,204001,16,2,,,,,,,0,0,0
80,4,204000,16,1,204010,16,2,,,,,,,0,0,0
80,5,201000,16,1,201002,16,2,,,,,,,0,0,0
80,6,201001,16,1,201002,16,1,201004,16,1,201005,16,1,1,80,690
81,1,204010,17,2,,,,,,,,,,0,0,0
81,2,204010,17,3,,,,,,,,,,0,0,0
81,3,204000,17,1,204010,17,2,,,,,,,0,0,0
81,4,204000,17,3,,,,,,,,,,0,81,698
82,1,204000,17,1,204010,17,2,,,,,,,0,0,0
82,2,201000,17,2,,,,,,,,,,0,0,0
82,3,201000,17,3,,,,,,,,,,0,0,0
82,4,204000,17,2,,,,,,,,,,0,82,706
83,1,204000,17,1,204010,17,2,,,,,,,0,0,0
83,2,204011,17,2,,,,,,,,,,0,0,0
83,3,201000,17,1,201002,17,2,,,,,,,0,0,0
83,4,204000,17,2,,,,,,,,,,0,0,0
83,5,201000,17,1,201002,17,2,,,,,,,0,83,714
84,1,201000,17,3,,,,,,,,,,0,0,0
84,2,204000,17,1,204010,17,2,,,,,,,0,0,0
84,3,204000,17,3,,,,,,,,,,0,0,0
84,4,201001,17,1,201004,17,2,,,,,,,0,0,0
84,5,201002,17,1,201004,17,2,,,,,,,0,84,722
85,1,201001,17,1,201004,17,2,,,,,,,0,0,0
85,2,204000,17,1,204010,17,2,,,,,,,0,0,0
85,3,201000,17,3,,,,,,,,,,0,0,0
85,4,201000,17,1,201002,17,2,,,,,,,0,0,0
85,5,201002,17,2,201003,17,1,,,,,,,1,85,730
86,1,204011,18,2,,,,,,,,,,0,0,0
86,2,204001,18,2,,,,,,,,,,0,0,0
86,3,204000,18,1,204010,18,2,,,,,,,0,0,0
86,4,204000,18,3,,,,,,,,,,0,0,0
86,5,201000,18,2,201002,18,2,,,,,,,0,0,0
86,6,204001,18,2,204011,18,2,,,,,,,0,86,738
87,1,201000,18,3,,,,,,,,,,0,0,0
87,2,204000,18,1,204010,18,2,,,,,,,0,0,0
87,3,204000,18,3,,,,,,,,,,0,0,0
87,4,201001,18,2,201002,18,2,,,,,,,0,0,0
87,5,201002,18,2,201004,18,2,,,,,,,0,87,746
88,1,204000,18,3,,,,,,,,,,0,0,0
88,2,201000,18,1,201002,18,2,,,,,,,0,0,0
88,3,204000,18,3,,,,,,,,,,0,0,0
88,4,201000,18,2,201002,18,2,,,,,,,0,0,0
88,5,204001,18,2,204011,18,2,,,,,,,0,0,0
88,6,201001,18,2,201002,18,2,,,,,,,0,88,754
89,1,201001,18,1,201004,18,2,,,,,,,0,0,0
89,2,204000,18,1,204010,18,2,,,,,,,0,0,0
89,3,201000,18,3,,,,,,,,,,0,0,0
89,4,201000,18,1,201002,18,2,,,,,,,0,0,0
89,5,201002,18,2,201003,18,1,,,,,,,0,89,762
90,1,201000,18,2,201002,18,2,,,,,,,0,0,0
90,2,201001,18,2,201002,18,2,,,,,,,0,0,0
90,3,204000,18,2,204001,18,2,,,,,,,0,0,0
90,4,204000,18,1,204010,18,2,,,,,,,0,0,0
90,5,201000,18,1,201002,18,2,,,,,,,0,0,0
90,6,201001,18,1,201002,18,1,201004,18,1,201005,18,1,1,90,770
91,1,202000,19,2,,,,,,,,,,0,0,0
91,2,202000,19,2,202001,19,1,,,,,,,0,0,0
91,3,204000,19,2,204001,19,2,,,,,,,0,0,0
91,4,202001,19,1,202002,19,1,204000,19,2,,,,0,91,778
92,1,202000,19,2,202001,19,1,,,,,,,0,0,0
92,2,204000,19,2,204001,19,2,,,,,,,0,0,0
92,3,202000,19,1,202002,19,3,,,,,,,0,0,0
92,4,202000,19,2,202001,19,1,202003,19,1,,,,0,92,786
93,1,202004,19,1,202005,19,1,,,,,,,0,0,0
93,2,202000,19,2,202001,19,1,,,,,,,0,0,0
93,3,204000,19,2,204001,19,2,,,,,,,0,0,0
